G1	第一個字母
G136	讚美
G137	哀嫩
G138	選擇
G139	共同原則的群體
G140	選擇
G141	製造分裂
G142	舉起
G143	注意
G144	感受
G145	理解力
G146	貪婪錢財的
G147	貪心地
G148	污穢的言語
G149	羞恥
G150	不潔的
G151	淫穢
G152	羞慚
G153	有羞恥感
G154	問
G155	請求
G156	理由
G157	控訴
G158	肇因
G159	肇因
G160	突然
G161	被俘
G162	俘虜
G163	擄獲
G164	俘虜
G165	過去
G166	很久以前
G167	穢物
G168	不潔
G169	不潔
G170	缺乏機會
G171	不合時宜
G172	純真無偽
G173	帶刺的植物
G174	多刺的
G175	字意
G176	不受譴責的
G177	無遮蓋的
G178	未判刑的
G179	無止境的
G180	不止
G181	不穩定
G182	不穩定的
G183	無從限制的
G184	亞革大馬
G185	字意
G186	不傾倒
G187	盛開
G188	仍然
G189	聽覺
G190	尾隨
G191	聽
G192	缺乏自我控制
G193	不能自我約束
G194	未攙雜的
G195	正確
G196	絲豪不差
G197	更精確的
G198	精確的知道
G199	精確地
G200	蝗蟲
G201	一個設作公聽及決斷事情的地方
G202	聽者
G203	包皮
G204	房角石
G205	戰利品
G206	高點
G207	亞居拉
G208	廢掉
G209	毫無妨礙
G210	非自願的
G211	一種由雪花石所製的盒子
G212	傲慢
G213	自吹自擂的人
G214	大聲哀哭
G215	表達不出的
G216	啞的
G217	鹽
G218	以油膏……
G219	雞鳴
G220	公雞
G221	埃及亞力山太城的人
G222	埃及亞歷山大港的居民
G223	亞力山大
G224	小麥磨製的麵粉
G225	真誠
G226	說真話
G227	真誠
G228	真實的
G229	磨
G230	真實地
G231	捕魚人
G232	捕魚
G233	鹽醃
G234	污染
G235	但是
G236	改變
G237	從他處
G238	寓意表達
G239	你們要讚美神
G240	彼此
G241	外來的
G242	字意
G243	其他的
G244	插手別人的事
G245	陌生的，敵對的
G246	外國的
G247	否則
G248	打穀
G249	缺乏理性
G250	沉香
G251	鹽
G252	鹹的
G253	沒有悲傷的
G254	鐵鍊
G255	無利可圖的
G256	亞勒腓
G257	打榖場
G258	狐狸
G259	捉住
G260	副詞
G261	無知的
G262	不會退色的
G263	不消退
G264	犯罪
G265	罪
G266	罪
G267	沒有證據
G268	形容詞
G269	溫和
G270	收割
G271	紫晶
G272	忽略
G273	無可指摘的
G274	無可指摘地
G275	無慮無慮
G276	不改變的
G277	無從移動的
G278	不後悔的
G279	無悔意的
G280	無從計量的
G281	阿們
G282	沒有母親
G283	不可褻瀆的
G284	亞米拿達
G285	砂子
G286	羔羊
G287	回報
G288	葡萄樹
G289	園丁
G290	葡萄園
G291	暗伯利
G292	援助
G293	網
G294	穿上衣服
G295	暗妃波里
G296	街道
G297	兩者
G298	無可指責的
G299	沒有瑕疵的
G300	亞們
G301	亞摩斯
G302	虛詞
G303	在……之間
G304	階梯
G305	登高
G306	拖延
G307	拉上去
G308	仰看
G309	恢復視力
G310	發出喊叫
G311	耽延
G312	報告
G313	再生
G314	閱讀
G315	迫使
G316	必需的
G317	勉強
G318	必須性
G319	重新熟悉
G320	重新認識
G321	帶上去
G322	指派
G323	委任
G324	接受
G325	送達
G326	死而復生
G327	尋找
G328	綁緊
G329	重燃
G330	再次生長
G331	受咒詛的
G332	咒詛
G333	仔細地看
G334	供物
G335	不知羞恥
G336	殺害
G337	挪走
G338	無罪的
G339	坐起來
G340	更新
G341	更新
G342	更新
G343	移去覆蓋物
G344	折回
G345	躺下
G346	總結
G347	使人躺下
G348	抑制
G349	呼喊
G350	仔細質問
G351	偵查
G352	直立
G353	拿起
G354	被接上升
G355	吞沒
G356	部份
G357	思想
G358	無鹽的
G359	離去
G360	解開
G361	無罪的
G362	等候
G363	提醒某人某事
G364	回想
G365	更新
G366	醒悟明白過來
G367	亞拿尼亞
G368	沒辦法反駁
G369	沒有提出任何反對
G370	不值得的
G371	不相稱地
G372	停止動作
G373	使休息
G374	勸誘
G375	差送
G376	跛腿的
G377	躺臥
G378	填補
G379	沒有藉口
G380	展開卷軸
G381	點燃
G382	無以數計的
G383	煽動
G384	字意
G385	拉起來
G386	舉起
G387	騷擾
G388	釘十字架
G389	長嘆
G390	顛覆
G391	生活方式
G392	依照次序組合
G393	使升起
G394	宣告
G395	上升
G396	使傾倒
G397	養大
G398	使出現
G399	引領
G400	大聲喊叫
G401	巨流
G402	離開
G403	鬆口氣
G404	更新
G405	奴隸販子
G406	安得烈
G407	勇敢行事
G408	安多尼古
G409	謀殺者
G410	無可指摘的
G411	無法形容的
G412	無以言述的
G413	無盡的
G414	可忍受的
G415	沒有憐憫的
G416	被風吹動
G417	風
G418	不能免的
G419	難揣測的
G420	寬容有耐心的
G421	不可理解的
G422	不羞恥的
G423	無可責難的
G424	上去
G425	些許自由
G426	聽證
G427	沒有
G428	不適合的
G429	尋找
G430	忍受
G431	表堂兄弟
G432	茴香
G433	相關
G434	殘酷的
G435	人
G436	反對
G437	讚美
G438	花
G439	炭火
G440	木炭
G441	專研討人歡心的
G442	人類的
G443	殺人者
G444	人類
G445	作總督
G446	總督
G447	放鬆
G448	沒有憐憫的
G449	沒有洗過的
G450	使升起
G451	亞拿
G452	亞那
G453	愚蠢的
G454	愚昧
G455	開
G456	重建
G457	開的動作
G458	不法的行為
G459	律法之外
G460	無法無天地
G461	重建
G462	不聖潔的
G463	克制
G464	掙扎
G465	交換
G466	補充
G467	正面的意思
G468	報答
G469	回報
G470	答覆
G471	回答
G472	依附
G473	代替
G474	交換
G475	反對
G476	仇敵
G477	矛盾
G478	反對
G479	回請
G480	反對
G481	在……對面
G482	參與
G483	唱反調
G484	幫助
G485	矛盾
G486	還口辱罵
G487	贖金
G488	量還
G489	回報
G490	安提阿
G491	安提阿人
G492	從另一邊經過
G493	安提帕
G494	安提帕底
G495	對面
G496	抗拒
G497	交戰
G498	反對
G499	相像的
G500	敵基督
G501	舀水
G502	桶
G503	直視
G504	無水
G505	真誠無偽的
G506	不受管轄
G507	在……之上
G508	從地面升起的東西
G509	從上面
G510	上面的
G511	較高的
G512	無用的
G513	斧子
G514	配得
G515	合適
G516	適合地
G517	不能看見
G518	報告
G519	懸樑自盡
G520	帶走
G521	未受教育的
G522	拿走
G523	要回
G524	麻木
G525	離開
G526	使疏離
G527	柔軟的
G528	與……見面
G529	會晤
G530	一次
G531	永久
G532	未預備
G533	否定
G534	從此以後
G535	完成
G536	第一份
G537	全部
G538	欺騙
G539	欺騙
G540	在家族譜系中無其父的資料記載
G541	光輝
G542	注意力從某樣東西轉到另一樣
G543	不信
G544	不順從
G545	不聽勸說的
G546	威脅
G547	威脅
G548	不在
G549	離開
G550	棄絕
G551	不能被試探的
G552	不熟練的
G553	殷勤且耐心的等候
G554	喻意
G555	脫去
G556	驅趕
G557	駁斥
G558	自由人
G559	亞比利
G560	期望收回
G561	對面
G562	無窮盡的
G563	不分心地
G564	未受割禮的
G565	離開
G566	足夠
G567	自絕於
G568	完全得到
G569	不相信
G570	不信
G571	不可置信
G572	單純
G573	專一
G574	完全地
G575	從……
G576	離開
G577	脫下
G578	專心注目
G579	被棄的
G580	棄絕
G581	死
G582	登記
G583	登記
G584	展現
G585	證明
G586	獻什一
G587	認可的
G588	歡迎
G589	出外旅行
G590	在外旅行的
G591	給
G592	分裂
G593	棄絕
G594	接受
G595	除去
G596	倉庫
G597	儲存
G598	擠壓
G599	死
G600	恢復
G601	啓示
G602	啓示
G603	熱切期盼
G604	和好
G605	恢復
G606	保留
G607	斬首
G608	關上
G609	切除
G610	正式報告
G611	回答
G612	回覆
G613	隱藏
G614	掩藏的
G615	殺
G616	生出
G617	輥開
G618	得到
G619	享受
G620	留下
G621	舔
G622	毀滅
G623	亞玻倫
G624	亞波羅尼亞
G625	亞波羅
G626	為自己辯護
G627	辯護
G628	洗淨自己
G629	獲釋
G630	使自由
G631	擦去
G632	指派
G633	洗淨
G634	掉下來
G635	誤導
G636	啓航
G637	洗掉
G638	嗆到
G639	沒有資源
G640	困惑
G641	下墜
G642	使成為孤兒
G643	放在一旁
G644	影子
G645	拉出
G646	墮落
G647	離婚通知
G648	掀開屋頂
G649	差遣人
G650	詐欺
G651	使徒職份
G652	代表
G653	盤問
G654	離開
G655	憎惡
G656	被禁止的
G657	道別
G658	貫徹
G659	脫下
G660	甩掉
G661	補償
G662	大膽
G663	嚴格
G664	嚴格地
G665	迴避
G666	缺席
G667	拿走
G668	逃避
G669	發言
G670	卸下
G671	用盡
G672	離去
G673	分離
G674	昏倒
G675	亞比烏
G676	孤傲冷漠的
G677	無損的
G678	不偏不倚地
G679	不失腳
G680	點亮
G681	點亮
G682	亞腓亞
G683	推到一旁
G684	毀壞
G685	詛咒
G686	因而
G687	希臘文疑問質詞/語助詞
G688	亞拉伯
G689	亞蘭
G690	亞拉伯人
G691	閒懶
G692	閒散的
G693	銀的
G694	銀子
G695	銀匠
G696	銀子
G697	亞略古巴
G698	亞略巴古法庭的一位成員
G699	討人喜歡的渴望
G700	取悅
G701	令人滿意的
G702	亞哩達
G703	神蹟
G704	綿羊
G705	計算
G706	數目
G707	亞利馬太
G708	亞里達古
G709	吃早餐
G710	左邊的
G711	亞利多布
G712	早餐
G713	足夠的
G714	足夠
G715	熊
G716	旅行用馬車
G717	哈米吉多頓
G718	許配
G719	接合
G720	否定
G721	羔羊
G722	犁
G723	犁
G724	掠奪
G725	搶劫
G726	奪取
G727	兇殘的
G728	頭期付款
G729	沒有縫合的
G730	男的
G731	無法表達的
G732	生病
G733	好男色者
G734	亞提馬
G735	亞底米
G736	前帆
G737	剛才
G738	新生的
G739	完全的
G740	麵包
G741	調味
G742	亞法撒
G743	天使長
G744	舊有的
G745	亞基老
G746	開始
G747	領袖
G748	大祭司的
G749	祭司長
G750	牧羊人首領
G751	亞基布
G752	猶太人會堂領袖
G753	建築專家
G754	稅吏長
G755	主管筵席的
G756	開始
G757	統治
G758	統治者
G759	香料
G760	亞撒
G761	不動的
G762	無法止息的
G763	對神不敬
G764	不敬神
G765	不端正
G766	自我放縱
G767	無記號的
G768	亞設
G769	疾病
G770	生病
G771	軟弱心志
G772	生病的
G773	亞細亞
G774	亞細亞人
G775	亞細亞行省的領袖
G776	沒有食慾
G777	禁食
G778	操練
G779	酒袋
G780	高興地
G781	不智
G782	問候
G783	致意
G784	沒有瑕疵的
G785	角奎
G786	難以和解的
G787	羅馬銅幣
G788	接近
G789	亞朔
G790	流離失所
G791	有教養的
G792	一顆星
G793	不穩定的
G794	硬心
G795	偏離
G796	閃電
G797	發亮
G798	星星
G799	亞遜其土
G800	意見不合的
G801	愚蠢的
G802	背約的
G803	安全
G804	堅穩的
G805	看守
G806	確實地
G807	作出不得體
G808	暴露
G809	不體面的
G810	放蕩
G811	放蕩荒淫地
G812	行為不得體
G813	混亂失序地
G814	沒有次序地
G815	無後的
G816	凝視
G817	沒有
G818	羞辱
G819	不名譽
G820	不名譽的
G821	被羞辱
G822	煙霧
G823	不能分為二的
G824	不尋常
G825	亞大利
G826	照耀
G827	破曉
G828	亞古士督
G829	執柪的
G830	自願的
G831	下令
G832	吹笛
G833	庭院
G834	笛手
G835	過夜
G836	笛子
G837	使之成長
G838	增長
G839	隔天
G840	嚴厲
G841	充足
G842	知足
G843	自我譴責的
G844	自動
G845	目擊證人
G846	形容詞
G847	他的
G848	他自己
G849	親手
G850	乾燥之意
G851	拿走
G852	不可見的
G853	毀滅
G854	消滅
G855	無形的
G856	廁所
G857	嚴苛
G858	單純
G859	赦免
G860	關節
G861	不朽壞的
G862	不能朽壞的
G863	遣走某人
G864	達到
G865	不愛良善的
G866	不愛錢財的
G867	離去
G868	使抵抗
G869	突然地
G870	無所懼怕
G871	使相像
G872	定睛於
G873	限制
G874	機會
G875	吐白沫
G876	泡沬
G877	愚昧
G878	愚昧
G879	入睡
G880	沈默的
G881	亞哈斯
G882	亞該亞
G883	亞該古
G884	不知感激的
G885	亞金
G886	非手工作的
G887	霧靄
G888	無用的
G889	使成為無用
G890	無用
G891	直到……
G892	穀殼
G893	無欺瞞的
G894	苦艾
G895	沒有生氣的
G896	巴力
G897	巴比倫
G898	階段
G899	深度
G900	深入
G901	深的
G902	棕樹枝
G903	巴蘭
G904	巴勒
G905	錢囊
G906	投擲
G907	清洗
G908	洗
G909	潔淨禮
G910	施洗者
G911	蘸
G912	巴拉巴
G913	巴拉
G914	巴拉加
G915	講外語的
G916	重壓
G917	困難地
G918	巴多羅買
G919	巴耶穌
G920	巴約拿
G921	巴拿巴
G922	重擔
G923	巴撒巴
G924	巴底買
G925	重壓
G926	沉重
G927	很珍貴的
G928	折磨
G929	折磨
G930	殘忍的獄吏
G931	折磨
G932	王權
G933	王宮
G934	皇室的
G935	國王
G936	作王
G937	皇家的
G938	女王
G939	腳
G940	蠱惑
G941	拾起來
G942	荊棘叢
G943	簍
G944	青蛙
G945	像口吃的人一樣
G946	污穢
G947	可憎的
G948	厭惡
G949	穩定的
G950	使堅固
G951	證實
G952	沒有重點
G953	褻瀆的
G954	別西卜
G955	彼列
G956	箭
G957	勝於
G958	便雅憫
G959	百尼基
G960	庇哩亞
G961	來自庇哩亞的
G962	伯大巴喇
G963	伯大尼
G964	畢士大
G965	伯利恆
G966	伯賽大
G967	伯法其
G968	一步之寬
G969	水蒼玉
G970	猛力
G971	轄制
G972	暴力的
G973	暴烈的
G974	小書卷
G975	記錄
G976	書卷
G977	吃喝
G978	每西亞
G979	生命
G980	生活
G981	生活態度
G982	生活的
G983	有害的
G984	傷害
G985	發芽
G986	伯拉斯都
G987	中傷誹謗
G988	誹謗
G989	惡毒的話
G990	看
G991	以肉眼看
G992	必須放在
G993	半尼其
G994	呼叫
G995	呼喊
G996	幫助
G997	幫助
G998	有助於
G999	坑
G1000	丟
G1001	拋出測深錘
G1002	投擲物
G1003	波阿斯
G1004	黏土
G1005	北方
G1006	看管
G1007	比珥
G1008	植物
G1009	一串葡萄
G1010	議員
G1011	仔細考量
G1012	計畫
G1013	意向
G1014	希冀
G1015	丘陵
G1016	牛
G1017	獎賞
G1018	裁定
G1019	延遲
G1020	慢慢地航行
G1021	緩慢的
G1022	緩慢
G1023	膀臂
G1024	短的
G1025	胎兒
G1026	弄濕
G1027	雷聲
G1028	雨
G1029	套索
G1030	咬牙切齒
G1031	咬牙切齒
G1032	湧出
G1033	食物
G1034	可吃
G1035	吃的動作
G1036	使下沉
G1037	海
G1038	製革工
G1039	細麻製的
G1040	細麻
G1041	祭壇
G1042	厄巴大
G1043	加百列
G1044	壞疽
G1045	迦得
G1046	ֲ加大拉	
G1047	經管財務的
G1048	迦薩
G1049	寶庫
G1050	該猶
G1051	奶
G1052	加拉太人
G1053	加拉太
G1054	加拉太的
G1055	平靜
G1056	加利利
G1057	加利利人
G1058	迦流
G1059	迦瑪列
G1060	結婚
G1061	嫁
G1062	婚禮
G1063	因為
G1064	肚腹
G1065	的確
G1066	基甸
G1067	地獄
G1068	客西馬尼
G1069	鄰居
G1070	笑
G1071	笑
G1072	填滿
G1073	滿有
G1074	種族
G1075	追溯祖先
G1076	家譜
G1077	慶生會
G1078	歷史
G1079	誕生
G1080	生
G1081	子女
G1082	革尼撒勒
G1083	產生
G1084	所產出的
G1085	後代
G1086	ֲ格拉森	
G1087	元老院
G1088	老人
G1089	品嚐
G1090	耕耘
G1091	耕種的田地
G1092	農夫
G1093	地
G1094	老年
G1095	漸漸老舊
G1096	生成
G1097	知道
G1098	新釀的甜酒
G1099	甜的
G1100	舌頭
G1101	錢盒
G1102	漂布者
G1103	真誠的
G1104	真誠地
G1105	黑暗
G1106	目的
G1107	使之知情
G1108	知識
G1109	專家
G1110	認識的
G1111	抱怨
G1112	背地裡交談
G1113	愛發牢騷的人
G1114	欺瞞
G1115	各各他
G1116	蛾摩拉
G1117	貨物
G1118	雙親
G1119	膝蓋
G1120	跪下
G1121	字
G1122	書記
G1123	寫下來的
G1124	文章
G1125	寫
G1126	像老婦人的
G1127	提高警覺
G1128	通常指裸露著訓練
G1129	訓練
G1130	衣衫整襤褸的
G1131	赤裸的
G1132	赤身露體
G1133	軟弱
G1134	女性的
G1135	成年婦女
G1136	歌革
G1137	角落
G1138	大衛
G1139	被邪靈附身
G1140	靈
G1141	像靈一樣的
G1142	邪靈
G1143	用牙齒啃咬
G1144	淚水
G1145	哭泣
G1146	戒指
G1147	指頭
G1148	大馬努他
G1149	撻馬太
G1150	制服
G1151	小母牛
G1152	大馬哩
G1153	大馬色來的
G1154	大馬色
G1155	借出
G1156	借貸
G1157	放款人
G1158	但以理
G1159	花費
G1160	花費
G1161	並且
G1162	禱告
G1163	必須
G1164	跡象
G1165	作為例子
G1166	顯示
G1167	膽怯
G1168	膽小易受驚的
G1169	膽怯的
G1170	某人
G1171	可怕地
G1172	用餐
G1173	晚餐
G1174	正面意義
G1175	正面意思
G1176	十
G1177	十二
G1178	十五
G1179	低加波利
G1180	十四
G1181	某物的十分之一
G1182	第十
G1183	收取或接受十分之一
G1184	被收納的
G1185	用餌引誘
G1186	樹
G1187	擲標槍者
G1188	右邊
G1189	要求
G1190	特庇來的
G1191	特庇
G1192	皮
G1193	皮製的
G1194	剝皮
G1195	綁
G1196	綁住
G1197	捆
G1198	囚犯
G1199	捆綁物
G1200	獄吏
G1201	監獄
G1202	囚犯
G1203	主人
G1204	論地方
G1205	來這裡！
G1206	隔天
G1207	下一個
G1208	第二
G1209	拿取
G1210	捆綁
G1211	的確
G1212	清楚的
G1213	披露
G1214	底馬
G1215	公開演說
G1216	底米丟
G1217	工藝匠
G1218	人民
G1219	公家的
G1220	羅馬錢幣
G1221	任何時候
G1222	確實
G1223	帶所有格
G1224	穿過
G1225	控告
G1226	斷言
G1227	凝視
G1228	好誹謗的
G1229	宣告
G1230	過去
G1231	判定
G1232	準確報告
G1233	判決
G1234	抱怨
G1235	保持清醒
G1236	度過
G1237	輪到
G1238	冠冕
G1239	分發
G1240	繼承人
G1241	束上
G1242	盟約
G1243	分開
G1244	分開
G1245	徹底認真的清洗
G1246	駁斥
G1247	中介人/代理人
G1248	調解
G1249	助手
G1250	兩百
G1251	從頭聽到尾
G1252	分開
G1253	爭吵
G1254	攔阻
G1255	討論
G1256	對談
G1257	停頓
G1258	語言
G1259	彼此和好
G1260	思索
G1261	推論
G1262	解散
G1263	作證
G1264	爭執尖銳
G1265	持續不斷
G1266	分開
G1267	分裂
G1268	分配
G1269	以肢體動作示意
G1270	想法
G1271	理解力
G1272	打開
G1273	花費了整晚的時間
G1274	完成
G1275	經常地
G1276	越過
G1277	穿越
G1278	大受干擾
G1279	走
G1280	十分迷惑
G1281	賺取
G1282	字意
G1283	洗劫一空
G1284	撕開
G1285	明說
G1286	恐赫勒索
G1287	分散
G1288	裂開
G1289	分散
G1290	分散
G1291	命令
G1292	間隔
G1293	區別
G1294	扭曲
G1295	安然經過
G1296	諭令
G1297	訓諭
G1298	困惑
G1299	安排就緒
G1300	繼續
G1301	持守
G1302	為什麼？
G1303	頒布
G1304	度過
G1305	食物
G1306	破曉
G1307	透明的
G1308	帶著經過
G1309	逃脫
G1310	傳遍
G1311	毀壞
G1312	腐敗
G1313	不同的
G1314	看守
G1315	施暴
G1316	分開
G1317	善於教導的
G1318	教導的
G1319	教導
G1320	教師
G1321	指示
G1322	教訓
G1323	古希臘銀幣
G1324	低土馬
G1325	饋贈
G1326	醒來
G1327	出口
G1328	翻譯者
G1329	解釋
G1330	經歷
G1331	打聽
G1332	兩歲大
G1333	兩年的時間
G1334	告知
G1335	敘事
G1336	連續的
G1337	兩水中間的
G1338	穿透
G1339	離去
G1340	堅決
G1341	公義公正的審判
G1342	正直的
G1343	公正
G1344	伸張公義
G1345	條例
G1346	正直
G1347	宣告為義
G1348	審判官
G1349	刑罰
G1350	漁網
G1351	不誠懇的
G1352	為此
G1353	周遊
G1354	丟尼修
G1355	即因為此
G1356	字意
G1357	改革
G1358	挖穿
G1359	Castor
G1360	因為
G1361	丟特腓
G1362	雙倍的
G1363	加倍
G1364	兩次
G1365	疑惑
G1366	雙刃的
G1367	二千
G1368	過濾
G1369	分割成兩部分
G1370	意見不合
G1371	切割為二
G1372	口渴
G1373	渴
G1374	懷疑
G1375	迫害
G1376	迫害者
G1377	急忙
G1378	諭令
G1379	守義務
G1380	思考
G1381	試驗
G1382	試驗
G1383	考驗
G1384	認可的
G1385	樑木
G1386	欺詐的
G1387	詐欺
G1388	狡詐
G1389	誘使
G1390	禮物
G1391	燦爛
G1392	頌讚
G1393	多加
G1394	恩賜
G1395	給予者
G1396	奴役
G1397	奴隸
G1398	身為奴隸
G1399	女奴
G1400	奴隸
G1401	奴隸
G1402	奴役
G1403	宴會
G1404	龍
G1405	捉住
G1406	一種希臘銀幣
G1407	鐮刀
G1408	路程
G1409	土西拉
G1410	能夠
G1411	權勢
G1412	使能夠
G1413	統治者
G1414	有能力的
G1415	有能力的
G1416	日落
G1417	二個
G1418	字首
G1419	難以承擔的
G1420	痢疾
G1421	難以闡述
G1422	困難的
G1423	困難地
G1424	落下
G1425	不容易了解的
G1426	誣蔑
G1427	十二
G1428	第十二
G1429	十二支派
G1430	屋頂
G1431	禮物
G1432	作為禮物
G1433	授與
G1434	禮物
G1435	禮物
G1436	唉！表示內心很深的情感
G1437	若是
G1438	沒有主格
G1439	許可
G1440	七十
G1441	七十次
G1442	第七
G1443	希伯
G1444	希伯來人的
G1445	希伯來民族
G1446	希伯來語
G1447	按希伯來文/亞蘭文
G1448	接近
G1449	寫下來
G1450	擔保人
G1451	靠近
G1452	更近
G1453	使起來
G1454	字意
G1455	受僱埋伏等候的
G1456	獻殿節
G1457	更新
G1458	起訴
G1459	留下
G1460	居住在
G1461	接枝
G1462	控告
G1463	穿上
G1464	障礙
G1465	介入
G1466	自我控制
G1467	自制
G1468	自制
G1469	分類
G1470	隱藏
G1471	懷胎的
G1472	塗上
G1473	我
G1474	丟擲到地上
G1475	地面
G1476	穩固的
G1477	依靠
G1478	希西家
G1479	人為宗教
G1480	遵循習俗
G1481	領袖
G1482	不信的
G1483	如同外邦人
G1484	國家
G1485	習俗
G1486	慣於
G1487	如果
G1488	你是
G1489	若是
G1490	否則
G1491	形狀
G1492	看見
G1493	偶像廟
G1494	指肉類
G1495	偶像敬拜
G1496	敬拜偶像的人
G1497	形象
G1498	是
G1499	即使
G1500	無緣由地
G1501	二十
G1502	讓步
G1503	如同
G1504	相像
G1505	動機純正
G1506	真摯的
G1507	捲起來
G1508	除非
G1509	若不
G1510	是
G1511	是
G1512	若果真
G1513	若果真
G1514	和好
G1515	和平
G1516	平安的
G1517	促使和平
G1518	締結和睦的
G1519	後加直接受格
G1520	一
G1521	帶入
G1522	遵從
G1523	親切的接待
G1524	進入
G1525	出去或進來
G1526	是
G1527	一個接著一個
G1528	邀請進去
G1529	入口
G1530	跳進
G1531	進入
G1532	跑進去
G1533	帶入
G1534	然後
G1535	如果……如果
G1536	無論是誰
G1537	接所有格
G1538	各個
G1539	任何時候
G1540	一百
G1541	一百歲的
G1542	百倍的
G1543	百夫長
G1544	逐出
G1545	出路
G1546	棄貨
G1547	出嫁
G1548	出嫁
G1549	後代
G1550	耗盡
G1551	接到
G1552	明顯的
G1553	離開
G1554	出租
G1555	全部供出
G1556	伸張公義
G1557	報復
G1558	懲處
G1559	逐出
G1560	提交
G1561	期望
G1562	脫去
G1563	那裡
G1564	從那裡
G1565	那個人
G1566	那裡
G1567	尋求
G1568	極為激動
G1569	極為詫異的
G1570	驅逐
G1571	清除
G1572	點燃
G1573	灰心
G1574	戳穿
G1575	折斷
G1576	排拒
G1577	議會
G1578	避開
G1579	游開
G1580	抬出
G1581	切斷
G1582	專注
G1583	告訴
G1584	散發光輝
G1585	完全忘記
G1586	替自己選擇
G1587	失靈
G1588	被選上的
G1589	揀選
G1590	字意
G1591	擦去
G1592	嗤之以鼻
G1593	轉彎
G1594	酒醒
G1595	心甘情願的
G1596	自動自發地
G1597	很久以前
G1598	試驗
G1599	打發
G1600	伸展開來
G1601	掉下來
G1602	啓航
G1603	應驗
G1604	實現
G1605	驚訝
G1606	氣絕
G1607	去
G1608	行淫
G1609	厭惡
G1610	拔起根來
G1611	希奇
G1612	偏離
G1613	惹事
G1614	往外伸展
G1615	結束
G1616	伸展
G1617	更熱心地
G1618	熱烈的
G1619	熱切
G1620	暴露
G1621	抖落
G1622	外表
G1623	第六
G1624	轉離
G1625	餵養
G1626	流產
G1627	搬出去
G1628	脫逃
G1629	威嚇
G1630	極度驚嚇的
G1631	字意
G1632	大量流出
G1633	離開
G1634	死亡
G1635	自願甘心的
G1636	橄欖樹
G1637	橄欖油
G1638	橄欖園
G1639	以攔人
G1640	較少的
G1641	有的很少
G1642	使居下位
G1643	驅動
G1644	不定
G1645	重量上輕的
G1646	短小的最高級
G1647	小於最小的
G1648	以利亞撒
G1649	駁斥
G1650	證據
G1651	揭露
G1652	可憐的
G1653	施憐恤
G1654	賙濟
G1655	慈悲憐憫的
G1656	慈悲
G1657	自由
G1658	自由
G1659	使自由
G1660	來到
G1661	象牙的
G1662	以利亞敬
G1663	以利以謝
G1664	以律
G1665	以利沙伯
G1666	以利沙
G1667	捲起
G1668	傷口
G1669	使之生瘡
G1670	拉
G1671	希臘
G1672	希臘的
G1673	希臘的
G1674	希臘婦女
G1675	操希臘語的
G1676	按照希臘文
G1677	記到某人帳上
G1678	以摩當
G1679	希望
G1680	盼望
G1681	以呂馬
G1682	以羅伊
G1683	我自己
G1684	字意
G1685	丟擲
G1686	浸
G1687	進入
G1688	加入
G1689	看
G1690	嚴厲警誡
G1691	我
G1692	吐出
G1693	發怒
G1694	以馬內利
G1695	以馬忤斯
G1696	留下
G1697	哈抹
G1698	我
G1699	我的
G1700	我的
G1701	嘲笑
G1702	戲弄
