αὐτοῦ	<p id="lx"><lx>αὐτοῦ</lx> </p><p id="mf"><mf></mf> <fr>4<small>x</small></fr> </p><br/><p id="gl"><gl></gl> </p><p id="df"><df>here, <a href="B:470 26:36">Mt. 26:36</a>; <a href="B:490 9:27">Lk. 9:27</a>; <br/>there, <a href="B:510 18:19">Acts 18:19</a>; <a href="B:510 21:4">21:4</a>*</df> </p><p id="st"><trl>autou</trl> | GK <gk>7000</gk> </p>	here		autou	
γραπτός	<p id="lx"><lx>γραπτός, ή, όν</lx> </p><p id="mf"><mf>a-1a(2a)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>written</gl> </p><p id="df"><df>written, <a href="B:520 2:15">Rom. 2:15</a>*</df> </p><p id="st"><trl>graptos</trl> | S <a href="S:G1123"><st>1123</st></a> | GK <gk>1209</gk> </p>	written		graptos	
ῥυτίς	<p id="lx"><lx>ῥυτίς, ίδος, ἡ</lx> </p><p id="mf"><mf>n-3c(2)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>wrinkle</gl> </p><p id="df"><df>a wrinkle; <ab>met.</ab> a disfiguring wrinkle, flaw, blemish, <a href="B:560 5:27">Eph. 5:27</a>*</df> </p><p id="st"><trl>rhytis</trl> | S <a href="S:G4512"><st>4512</st></a> | GK <gk>4869</gk> </p>	wrinkle		rhytis	
ταλαίπωρος	<p id="lx"><lx>ταλαίπωρος, ον</lx> </p><p id="mf"><mf>a-3a</mf> <fr>2<small>x</small></fr> </p><br/><p id="gl"><gl>wretched, miserable</gl> </p><p id="df"><df><ab>pr.</ab> enduring severe effort and hardship; <ab>hence</ab>, wretched, miserable, afflicted, <a href="B:520 7:24">Rom. 7:24</a>; <a href="B:730 3:17">Rev. 3:17</a>*</df> </p><p id="st"><trl>talaipōros</trl> | S <a href="S:G5005"><st>5005</st></a> | GK <gk>5417</gk> </p>	wretched		talaipōros	
στέμμα	<p id="lx"><lx>στέμμα, ατος, τό</lx> </p><p id="mf"><mf>n-3c(4)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>wreath, garland</gl> </p><p id="df"><df>a crown, wreath, <a href="B:510 14:13">Acts 14:13</a>*</df> </p><p id="st"><trl>stemma</trl> | S <a href="S:G4725"><st>4725</st></a> | GK <gk>5098</gk> </p>	wreath		stemma	
θυμός	<p id="lx"><lx>θυμός, -οῦ, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>18<small>x</small></fr> </p><br/><p id="gl"><gl>wrath, fury, anger, rage, a state of intense displeasure based in some real or perceived wrong. <i>The anger of God</i> is due to moral offense and has a focus on righteous punishment</gl> </p><p id="df"><df><ab>pr.</ab> the soul, mind; <ab>hence</ab>, a strong passion or emotion of the mind; anger, wrath, <a href="B:490 4:28">Lk. 4:28</a>; <a href="B:510 19:28">Acts 19:28</a>; <br/><ab>pl.</ab> swellings of anger, <a href="B:540 12:20">2 Cor. 12:20</a>; <a href="B:550 5:20">Gal. 5:20</a></df> </p><p id="st"><trl>thumos</trl> | S <a href="S:G2372"><st>2372</st></a> | GK <gk>2596</gk> </p>	wrath		thumos	
ὀργή	<p id="lx"><lx>ὀργή, -ῆς, ἡ</lx> </p><p id="mf"><mf>n-1b</mf> <fr>36<small>x</small></fr> </p><br/><p id="gl"><gl>wrath, anger, the feeling and expression of strong displeasure and hostility; this can range from petty human anger to the righteous anger of God toward sinful disobedience</gl> </p><p id="df"><df><ab>pr.</ab> mental bent, impulse; anger, indignation, wrath, <a href="B:560 4:31">Eph. 4:31</a>; <a href="B:580 3:8">Col. 3:8</a>; <br/><el>μετ᾿ ὀργῆς</el>, indignantly, <a href="B:480 3:5">Mk. 3:5</a>; <br/>vengeance, punishment, <a href="B:470 3:7">Mt. 3:7</a>; <a href="B:490 3:7">Lk. 3:7</a>; <a href="B:490 21:23">21:23</a>; <a href="B:520 13:4">Rom. 13:4</a>, <a href="B:520 13:5">5</a></df> </p><p id="st"><trl>orgē</trl> | S <a href="S:G3709"><st>3709</st></a> | GK <gk>3973</gk> </p>	wrath		orgē	
στέφανος	<p id="lx"><lx>Στέφανος, ου, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>7<small>x</small></fr> </p><br/><p id="gl"><gl>Stephen, <i>victor's wreath</i></gl> </p><p id="df"><df>Stephen, <ab>pr.</ab> name, <a href="B:510 6:5">Acts 6:5</a>, <a href="B:510 6:8">8</a>f.; <a href="B:510 7:59">7:59</a>; <a href="B:510 8:2">8:2</a>; <a href="B:510 11:19">11:19</a>; <a href="B:510 22:20">22:20</a>*</df> </p><p id="st"><trl>Stephanos</trl> | S <a href="S:G4736"><st>4736</st></a> | GK <gk>5108</gk> </p>	Stephen		Stephanos	
ὑφαντός	<p id="lx"><lx>ὑφαντός, ή, όν</lx> </p><p id="mf"><mf>a-1a(2a)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>woven</gl> </p><p id="df"><df>woven, <a href="B:500 19:23">Jn. 19:23</a>*</df> </p><p id="st"><trl>hyphantos</trl> | S <a href="S:G5307"><st>5307</st></a> | GK <gk>5733</gk> </p>	woven		hyphantos	
μώλωψ	<p id="lx"><lx>μώλωψ, ωπος, ὁ</lx> </p><p id="mf"><mf>n-3a(1)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>wound, welt, bruise</gl> </p><p id="df"><df>the mark of a blow; a stripe, a wound, <a href="B:670 2:24">1 Pet. 2:24</a>*</df> </p><p id="st"><trl>mōlōps</trl> | S <a href="S:G3468"><st>3468</st></a> | GK <gk>3698</gk> </p>	wound		mōlōps	
σεμνός	<p id="lx"><lx>σεμνός, ή, όν</lx> </p><p id="mf"><mf>a-1a(2a)</mf> <fr>4<small>x</small></fr> </p><br/><p id="gl"><gl>worthy of respect, noble</gl> </p><p id="df"><df>august, venerable; honorable, reputable, <a href="B:570 4:8">Phil. 4:8</a>; <br/>grave, serious, dignified, <a href="B:610 3:8">1 Tim. 3:8</a>, <a href="B:610 3:11">11</a>; <a href="B:630 2:2">Tit. 2:2</a>*</df> </p><p id="st"><trl>semnos</trl> | S <a href="S:G4586"><st>4586</st></a> | GK <gk>4948</gk> </p>	worthy of respect		semnos	
εὐλογητός	<p id="lx"><lx>εὐλογητός, ή, όν</lx> </p><p id="mf"><mf>a-1a(2a)</mf> <fr>8<small>x</small></fr> </p><br/><p id="gl"><gl>worthy of being praised, blessed, or commended</gl> </p><p id="df"><df>worthy of praise, or blessing, blessed, <a href="B:480 14:61">Mk. 14:61</a>; <a href="B:490 1:68">Lk. 1:68</a></df> </p><p id="st"><trl>eulogētos</trl> | S <a href="S:G2128"><st>2128</st></a> | GK <gk>2329</gk> </p>	worthy of being praised		eulogētos	
ἀχρεῖος	<p id="lx"><lx>ἀχρεῖος, ον</lx> </p><p id="mf"><mf>a-3a</mf> <fr>2<small>x</small></fr> </p><br/><p id="gl"><gl>worthless, useless, unworthy</gl> </p><p id="df"><df>useless, unprofitable, worthless, <a href="B:470 25:30">Mt. 25:30</a>; <br/>unmeritorious, <a href="B:490 17:10">Lk. 17:10</a>*</df> </p><p id="st"><trl>achreios</trl> | S <a href="S:G888"><st>888</st></a> | GK <gk>945</gk> </p>	worthless		achreios	
μάταιος	<p id="lx"><lx>μάταιος, αία, αιον</lx> </p><p id="mf"><mf>a-1a(1)</mf> <fr>6<small>x</small></fr> </p><br/><p id="gl"><gl>worthless, futile, useless, empty</gl> </p><p id="df"><df>idle, ineffective, worthless, <a href="B:530 3:20">1 Cor. 3:20</a>; <br/>groundless, deceptive, fallacious, <a href="B:530 15:17">1 Cor. 15:17</a>; <br/>useless, fruitless, unprofitable, <a href="B:630 3:9">Tit. 3:9</a>; <a href="B:660 1:26">Jas. 1:26</a>; <br/>from the Hebrew, erroneous in principle, corrupt, perverted, <a href="B:670 1:18">1 Pet. 1:18</a>; <br/><el>τὰ μάταια</el>, superstition, idolatry, <a href="B:510 14:15">Acts 14:15</a>*</df> </p><p id="st"><trl>mataios</trl> | S <a href="S:G3152"><st>3152</st></a> | GK <gk>3469</gk> </p>	worthless		mataios	
προσκυνητής	<p id="lx"><lx>προσκυνητής, ου, ὁ</lx> </p><p id="mf"><mf>n-1f</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>worshiper</gl> </p><p id="df"><df>a worshiper, <a href="B:500 4:23">Jn. 4:23</a>*</df> </p><p id="st"><trl>proskynētēs</trl> | S <a href="S:G4353"><st>4353</st></a> | GK <gk>4687</gk> </p>	worshiper		proskynētēs	
λατρεία	<p id="lx"><lx>λατρεία, ας, ἡ</lx> </p><p id="mf"><mf>n-1a</mf> <fr>5<small>x</small></fr> </p><br/><p id="gl"><gl>worship, ministry, service <pr>(to God)</pr></gl> </p><p id="df"><df>service, servitude; religious service, worship, <a href="B:500 16:2">Jn. 16:2</a>; <a href="B:520 9:4">Rom. 9:4</a>; <a href="B:520 12:1">12:1</a>; <a href="B:650 9:1">Heb. 9:1</a>, <a href="B:650 9:6">6</a>*</df> </p><p id="st"><trl>latreia</trl> | S <a href="S:G2999"><st>2999</st></a> | GK <gk>3301</gk> </p>	worship		latreia	
θεοσέβεια	<p id="lx"><lx>θεοσέβεια, ας, ἡ</lx> </p><p id="mf"><mf>n-1a</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>worship of God, reverence for God</gl> </p><p id="df"><df>worshipping of God, reverence towards God, piety, <a href="B:610 2:10">1 Tim. 2:10</a>*</df> </p><p id="st"><trl>theosebeia</trl> | S <a href="S:G2317"><st>2317</st></a> | GK <gk>2537</gk> </p>	worship of God		theosebeia	
χείρων	<p id="lx"><lx>χείρων, -ον</lx> </p><p id="mf"><mf>a-4b(1)</mf> <fr>11<small>x</small></fr> </p><br/><p id="gl"><gl>worse <pr>(than)</pr>; more severe than</gl> </p><p id="df"><df>worse, <a href="B:470 9:16">Mt. 9:16</a>; <br/>more severe, <a href="B:500 5:14">Jn. 5:14</a>; <a href="B:650 10:29">Heb. 10:29</a></df> </p><p id="st"><trl>cheirōn</trl> | S <a href="S:G5501"><st>5501</st></a> | GK <gk>5937</gk> </p>	worse (than)		cheirōn	
μέριμνα	<p id="lx"><lx>μέριμνα, ης, ἡ</lx> </p><p id="mf"><mf>n-1c</mf> <fr>6<small>x</small></fr> </p><br/><p id="gl"><gl>worry, concern, anxiety</gl> </p><p id="df"><df>care, <a href="B:470 13:22">Mt. 13:22</a>; <a href="B:480 4:19">Mk. 4:19</a>; <a href="B:490 8:14">Lk. 8:14</a>; <a href="B:490 21:34">21:34</a>; <br/>anxiety, anxious interest, <a href="B:540 11:28">2 Cor. 11:28</a>; <a href="B:670 5:7">1 Pet. 5:7</a>*</df> </p><p id="st"><trl>merimna</trl> | S <a href="S:G3308"><st>3308</st></a> | GK <gk>3533</gk> </p>	worry		merimna	
ἀψίνθιον	<p id="lx"><lx>ἀψίνθιον, ου, τό</lx> </p><p id="mf"><mf>n-2c</mf> <fr>0<small>x</small></fr> </p><br/><p id="gl"><gl>wormwood</gl> </p><p id="df"><df></df> </p><p id="st"><trl>apsinthion</trl> | S <a href="S:G894"><st>894</st></a> | GK <gk>951</gk> </p>	wormwood		apsinthion	
σκώληξ	<p id="lx"><lx>σκώληξ, ηκος, ὁ</lx> </p><p id="mf"><mf>n-3b(1)</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>worm</gl> </p><p id="df"><df>a worm; <ab>met.</ab> gnawing anguish, <a href="B:480 9:48">Mk. 9:48</a>*</df> </p><p id="st"><trl>skōlēx</trl> | S <a href="S:G4663"><st>4663</st></a> | GK <gk>5038</gk> </p>	worm		skōlēx	
κόσμος	<p id="lx"><lx>κόσμος, ου, -ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>186<small>x</small></fr> </p><br/><p id="gl"><gl>world: earth, world system, whole universe; adornment. In some contexts, the world is simply the place where people live, in other contexts <pr>(especially in John)</pr>, the world is a system opposed to God</gl> </p><p id="df"><df>(1) <ab>pr.</ab> order, regular disposition; ornament, decoration, embellishment, <a href="B:670 3:3">1 Pet. 3:3</a>; <br/>(2) the world, the material universe, <a href="B:470 13:35">Mt. 13:35</a>; <br/>the world, the aggregate of sensitive existence, <a href="B:530 4:9">1 Cor. 4:9</a>; <br/>the lower world, the earth, <a href="B:480 16:15">Mk. 16:15</a>; <br/>the world, the aggregate of mankind, <a href="B:470 5:14">Mt. 5:14</a>; <br/>the world, the public, <a href="B:500 7:4">Jn. 7:4</a>; <br/><ab>in NT</ab> the present order of things, the secular world, <a href="B:500 18:36">Jn. 18:36</a>; <br/>the human race external to the Jewish nation, the heathen world, <a href="B:520 11:12">Rom. 11:12</a>, <a href="B:520 11:15">15</a>; <br/>the world external to the Christian body, <a href="B:690 3:1">1 Jn. 3:1</a>, <a href="B:690 3:13">13</a>; <br/>the world or material system of the Mosaic covenant, <a href="B:550 4:3">Gal. 4:3</a>; <a href="B:580 2:8">Col. 2:8</a>, <a href="B:580 2:20">20</a></df> </p><p id="st"><trl>kosmos</trl> | S <a href="S:G2889"><st>2889</st></a> | GK <gk>3180</gk> </p>	world: earth		kosmos	
ἐνέργεια	<p id="lx"><lx>ἐνέργεια, ας, ἡ</lx> </p><p id="mf"><mf>n-1a</mf> <fr>8<small>x</small></fr> </p><br/><p id="gl"><gl>working, power, energy</gl> </p><p id="df"><df>energy, efficacy, power, <a href="B:570 3:21">Phil. 3:21</a>; <a href="B:580 2:12">Col. 2:12</a>; <br/>active energy, operation, <a href="B:560 1:19">Eph. 1:19</a>; <a href="B:560 3:7">3:7</a>; <a href="B:560 4:16">4:16</a>; <a href="B:580 1:29">Col. 1:29</a>; <a href="B:600 2:9">2 Thess. 2:9</a>, <a href="B:600 2:11">11</a>*</df> </p><p id="st"><trl>energeia</trl> | S <a href="S:G1753"><st>1753</st></a> | GK <gk>1918</gk> </p>	working		energeia	
ἐνέργημα	<p id="lx"><lx>ἐνέργημα, ατος, τό</lx> </p><p id="mf"><mf>n-3c(4)</mf> <fr>2<small>x</small></fr> </p><br/><p id="gl"><gl>working, activity</gl> </p><p id="df"><df>an effect, thing effected, activity, <a href="B:530 12:6">1 Cor. 12:6</a>; <br/>operation, working, <a href="B:530 12:10">1 Cor. 12:10</a>*</df> </p><p id="st"><trl>energēma</trl> | S <a href="S:G1755"><st>1755</st></a> | GK <gk>1920</gk> </p>	working		energēma	
