G70001	Ἀαρών	aarōn	aaron	Aaron
G70054	ἁγνός	hagnos	agnos	pure
G70055	ἁγνότης	hagnotēs	agnotiys	purity
G70056	ἁγνῶς	hagnōs	agnos	purely
G70057	ἀγνωσία	agnōsia	agnosiya	ignorance
G70058	ἄγνωστος	agnōstos	agnostos	unknown
G70059	ἀγορά	agora	agora	marketplace
G70060	ἀγοράζω	agorazō	agorazo	to buy
G70061	ἀγοραῖος	agoraios	agoreos	marketplace
G70062	ἄγρα	agra	agra	catch
G70063	ἀγράμματος	agrammatos	agrammatos	unschooled
G70064	ἀγραυλέω	agrauleō	agravleo	to live outdoors
G70065	ἀγρεύω	agreuō	agrevo	to catch
G70066	ἀγριέλαιος	agrielaios	agriyeleos	wild olive tree
G70067	ἄγριος	agrios	agriyos	wild
G70068	Ἀγρίππας	agrippas	agriyppas	Agrippa
G70069	ἀγρός	agros	agros	field
G70070	ἀγρυπνέω	agrypneō	agriypneo	to keep awake
G70071	ἀγρυπνία	agrypnia	agriypniya	sleeplessness
G70072	ἄγω	agō	ago	to bring
G70073	ἀγωγή	agōgē	agoyiy	way of life
G70074	ἀγών	agōn	agon	struggle
G70075	ἀγωνία	agōnia	agoniya	anguish
G70076	ἀγωνίζομαι	agōnizomai	agoniyzome	to fight
G70077	Ἀδάμ	adam	aðam	Adam
G70078	ἀδάπανος	adapanos	aðapanos	free of charge
G70079	Ἀδδί	addi	aððiy	Addi
G70080	ἀδελφή	adelphē	aðelfiy	sister
G70081	ἀδελφός	adelphos	aðelfos	brother
G70082	ἀδελφότης	adelphotēs	aðelfotiys	brotherhood
G70083	ἄδηλος	adēlos	aðiylos	not clear
G70084	ἀδηλότης	adēlotēs	aðiylotiys	uncertainty
G70085	ἀδήλως	adēlōs	aðiylos	not manifestly
G70086	ἀδημονέω	adēmoneō	aðiymoneo	to be troubled
G70087	ᾅδης	hadēs	aðiys	Hades
G70088	ἀδιάκριτος	adiakritos	aðiyakriytos	impartial
G70089	ἀδιάλειπτος	adialeiptos	aðiyaliyptos	constant
G70090	ἀδιαλείπτως	adialeiptōs	aðiyaliyptos	unceasingly
G70091	ἀδικέω	adikeō	aðiykeo	to do wrong
G70092	ἀδίκημα	adikēma	aðiykiyma	crime
G70093	ἀδικία	adikia	aðiykiya	wickedness
G70094	ἄδικος	adikos	aðiykos	unjust
G70095	ἀδίκως	adikōs	aðiykos	unjustly
G70096	Ἀδμίν	admin	aðmiyn	Admin
G70097	ἀδόκιμος	adokimos	aðokiymos	failing the test
G70098	ἄδολος	adolos	aðolos	pure
G70099	Ἀδραμυττηνός	adramyttēnos	aðramiyttiynos	of Adramyttium
G70100	Ἀδρίας	adrias	aðriyas	Adriatic Sea
G70101	ἁδρότης	hadrotēs	aðrotiys	liberal gift
G70102	ἀδυνατέω	adynateō	aðiynateo	to be impossible
G70103	ἀδύνατος	adynatos	aðiynatos	impossible
G70104	ᾄδω	adō	aðo	to sing
G70105	ἀεί	aei	aiy	always
G70106	ἀετός	aetos	aetos	eagle
G70107	ἄζυμος	azymos	aziymos	unleavened
G70108	Ἀζώρ	azōr	azor	Azor
G70109	Ἄζωτος	azōtos	azotos	Azotus
G70110	ἀήρ	aēr	er	air
G70111	ἀθανασία	athanasia	aθanasiya	immortality
G70112	ἀθέμιτος	athemitos	aθemiytos	unlawful
G70113	ἄθεος	atheos	aθeos	without God
G70114	ἄθεσμος	athesmos	aθezmos	lawless
G70115	ἀθετέω	atheteō	aθeteo	to reject
G70116	ἀθέτησις	athetēsis	aθetiysiys	setting aside
G70117	Ἀθῆναι	athēnai	aθiyne	Athens
G70118	Ἀθηναῖος	athēnaios	aθiyneos	Athenian
G70119	ἀθλέω	athleō	aθleo	to compete in a contest
G70120	ἄθλησις	athlēsis	aθliysiys	contest
G70121	ἀθροίζω	athroizō	aθriyzo	to assemble together
G70122	ἀθυμέω	athymeō	aθiymeo	to be discouraged
G70123	ἀθῷος	athōos	aθoos	innocent
G70124	αἴγειος	aigeios	eyiyos	of a goat
G70125	αἰγιαλός	aigialos	eyiyalos	shore
G70126	Αἰγύπτιος	aigyptios	eyiyptiyos	Egyptian
G70127	Αἴγυπτος	aigyptos	eyiyptos	Egypt
G70128	ἀΐδιος	aidios	aiyðiyos	eternal
G70129	αἰδώς	aidōs	eðos	decency
G70130	Αἰθίοψ	aithiops	eθiyops	Ethiopian
G70131	αἷμα	haima	ema	blood
G70132	αἱματεκχυσία	haimatekchysia	ematekkhiysiya	shedding
G70133	αἱμορροέω	haimorroeō	emorroeo	to be subject to bleeding
G70134	Αἰνέας	aineas	eneas	Aeneas
G70135	αἴνεσις	ainesis	enesiys	praise
G70136	αἰνέω	aineō	eneo	to praise
G70137	αἴνιγμα	ainigma	eniygma	poor reflection
G70138	αἶνος	ainos	enos	praise
G70139	Αἰνών	ainōn	enon	Aenon
G70140	αἱρέομαι	haireomai	ereome	to choose
G70141	αἵρεσις	hairesis	eresiys	sect
G70142	αἱρετίζω	hairetizō	eretiyzo	to choose
G70143	αἱρετικός	hairetikos	eretiykos	divisive
G70144	αἴρω	airō	ero	to take up
G70145	αἰσθάνομαι	aisthanomai	esθanome	to grasp
G70146	αἴσθησις	aisthēsis	esθiysiys	insight
G70147	αἰσθητήριον	aisthētērion	esθiytiyriyon	sense
G70148	αἰσχροκερδής	aischrokerdēs	eskhrokerðiys	pursuing dishonest gain
G70149	αἰσχροκερδῶς	aischrokerdōs	eskhrokerðos	in greediness for money
G70150	αἰσχρολογία	aischrologia	eskhroloyiya	filthy language
G70151	αἰσχρός	aischros	eskhros	disgraceful
G70152	αἰσχρότης	aischrotēs	eskhrotiys	obscenity
G70153	αἰσχύνη	aischynē	eskhiyniy	shamefulness
G70154	αἰσχύνομαι	aischynomai	eskhiynome	to be ashamed
G70155	αἰτέω	aiteō	eteo	to ask
G70156	αἴτημα	aitēma	etiyma	request
G70157	αἰτία	aitia	etiya	charge
G70158	αἴτιον	aition	etiyon	basis
G70159	αἴτιος	aitios	etiyos	basis
G70160	αἰτίωμα	aitiōma	etiyoma	charge
G70161	αἰφνίδιος	aiphnidios	efniyðiyos	sudden
G70162	αἰχμαλωσία	aichmalōsia	ekhmalosiya	captivity
G70163	αἰχμαλωτεύω	aichmalōteuō	ekhmalotevo	to take captive
G70164	αἰχμαλωτίζω	aichmalōtizō	ekhmalotiyzo	to take captive
G70165	αἰχμάλωτος	aichmalōtos	ekhmalotos	prisoner
G70166	αἰών	aiōn	eon	eternity
G70167	αἰώνιος	aiōnios	eoniyos	eternal
G70168	ἀκαθαρσία	akatharsia	akaθarsiya	impurity
G70169	ἀκάθαρτος	akathartos	akaθartos	unclean
G70170	ἀκαιρέομαι	akaireomai	akereome	to have no opportunity
G70171	ἀκαίρως	akairōs	akeros	out of season
G70172	ἄκακος	akakos	akakos	blameless
G70173	ἄκανθα	akantha	akanθa	thorn
G70174	ἀκάνθινος	akanthinos	akanθiynos	of thorns
G70175	ἄκαρπος	akarpos	akarpos	unfruitful
G70176	ἀκατάγνωστος	akatagnōstos	akatagnostos	not condemned
G70177	ἀκατακάλυπτος	akatakalyptos	akatakaliyptos	uncovered
G70178	ἀκατάκριτος	akatakritos	akatakriytos	uncondemned
G70179	ἀκατάλυτος	akatalytos	akataliytos	indestructible
G70180	ἀκατάπαυστος	akatapaustos	akatapafstos	never stopping
G70181	ἀκαταστασία	akatastasia	akatastasiya	disorder
G70182	ἀκατάστατος	akatastatos	akatastatos	unstable
G70183	Ἁκελδαμάχ	hakeldamach	akelðamakh	Akeldama
G70184	ἀκέραιος	akeraios	akereos	innocent
G70185	ἀκλινής	aklinēs	akliyniys	unswerving
G70186	ἀκμάζω	akmazō	akmazo	to flourish
G70187	ἀκμήν	akmēn	akmiyn	still
G70188	ἀκοή	akoē	akiy	hearing
G70189	ἀκολουθέω	akoloutheō	akoluθeo	to follow
G70190	ἀκούω	akouō	akuo	to hear
G70191	ἀκρασία	akrasia	akrasiya	lack of self-control
G70192	ἀκρατής	akratēs	akratiys	without self-control
G70193	ἄκρατος	akratos	akratos	undiluted
G70194	ἀκρίβεια	akribeia	akriyviya	thoroughness
G70195	ἀκριβέστερον	akribesteron	akriyvesteron	accurately
G70196	ἀκριβής	akribēs	akriyviys	strict
G70197	ἀκριβόω	akriboō	akriyvoo	to find out exactly
G70198	ἀκριβῶς	akribōs	akriyvos	accurately
G70199	ἀκρίς	akris	akriys	locust
G70200	ἀκροατήριον	akroatērion	akroatiyriyon	audience room
G70201	ἀκροατής	akroatēs	akroatiys	hearer
G70202	ἀκροβυστία	akrobystia	akroviystiya	uncircumcision
G70203	ἀκρογωνιαῖος	akrogōniaios	akrogoniyeos	cornerstone
G70204	ἀκροθίνιον	akrothinion	akroθiyniyon	plunder
G70205	ἄκρον	akron	akron	end
G70206	Ἀκύλας	akylas	akiylas	Aquila
G70207	ἀκυρόω	akyroō	akiyroo	to nullify
G70208	ἀκωλύτως	akōlytōs	akoliytos	without hinderance
G70209	ἄκων	akōn	akon	not voluntary
G70210	ἅλα	hala	ala	salt
G70211	ἀλάβαστρον	alabastron	alavastron	alabaster jar
G70212	ἀλάβαστρος	alabastros	alavastros	alabaster jar
G70213	ἀλαζονεία	alazoneia	alazoniya	boasting
G70214	ἀλαζών	alazōn	alazon	boaster
G70215	ἀλαλάζω	alalazō	alalazo	to clang
G70216	ἀλάλητος	alalētos	alaliytos	inexpressible
G70217	ἄλαλος	alalos	alalos	mute
G70218	ἅλας	halas	alas	salt
G70219	ἀλείφω	aleiphō	aliyfo	to pour on
G70220	ἀλεκτοροφωνία	alektorophōnia	alektorofoniya	crowing of a rooster
G70221	ἀλέκτωρ	alektōr	alektor	rooster
G70222	Ἀλεξανδρεύς	alexandreus	aleksanðrefs	Alexandrian
G70223	Ἀλεξανδρῖνος	alexandrinos	aleksanðriynos	Alexandrian
G70224	Ἀλέξανδρος	alexandros	aleksanðros	Alexander
G70225	ἄλευρον	aleuron	alevron	flour
G70226	ἀλήθεια	alētheia	aliyθiya	truth
G70227	ἀληθεύω	alētheuō	aliyθevo	to be truthful
G70228	ἀληθής	alēthēs	aliyθiys	true
G70229	ἀληθινός	alēthinos	aliyθiynos	true
G70230	ἀλήθω	alēthō	aliyθo	to grind grain
G70231	ἀληθῶς	alēthōs	aliyθos	truly
G70232	ἁλιεύς	halieus	aliyefs	fisherman
G70233	ἁλιεύω	halieuō	aliyevo	to catch fish
G70234	ἁλίζω	halizō	aliyzo	to salt
G70235	ἀλίσγημα	alisgēma	aliyzyiyma	pollution
G70236	ἀλλά	alla	alla	but
G70237	ἀλλάσσω	allassō	allasso	to change
G70238	ἀλλαχόθεν	allachothen	allakhoθen	from another way
G70239	ἀλλαχοῦ	allachou	allakhu	elsewhere
G70240	ἀλληγορέω	allēgoreō	alliygoreo	to take figuratively
G70241	ἁλληλουϊά	hallēlouia	alliyluiya	hallelujah
G70242	ἀλλήλων	allēlōn	alliylon	one another
G70243	ἀλλογενής	allogenēs	alloyeniys	foreign
G70244	ἅλλομαι	hallomai	allome	to jump up
G70245	ἄλλος	allos	allos	another
G70246	ἀλλοτριεπίσκοπος	allotriepiskopos	allotriyepiyskopos	meddler
G70247	ἀλλότριος	allotrios	allotriyos	belonging to another
G70248	ἀλλόφυλος	allophylos	allofiylos	Gentile
G70249	ἄλλως	allōs	allos	otherwise
G70250	ἀλοάω	aloaō	aloao	to tread
G70251	ἄλογος	alogos	alogos	unreasonable
G70252	ἀλόη	aloē	aliy	aloes
G70253	ἁλυκός	halykos	aliykos	salt spring
G70254	ἀλυπότερος	alypoteros	aliypoteros	free from anxiety
G70255	ἅλυσις	halysis	aliysiys	chain
G70256	ἀλυσιτελής	alysitelēs	aliysiyteliys	unadvantageous
G70257	Ἄλφα	alpha	alfa	Alpha
G70258	Ἁλφαῖος	halphaios	alfeos	Alphaeus
G70259	ἅλων	halōn	alon	threshing floor
G70260	ἀλώπηξ	alōpēx	alopiyks	fox
G70261	ἅλωσις	halōsis	alosiys	capture
G70262	ἅμα	hama	ama	together
G70263	ἀμαθής	amathēs	amaθiys	ignorant
G70264	ἀμαράντινος	amarantinos	amarantiynos	unfading
G70265	ἀμάραντος	amarantos	amarantos	never fading
G70266	ἁμαρτάνω	hamartanō	amartano	to sin
G70267	ἁμάρτημα	hamartēma	amartiyma	sin
G70268	ἁμαρτία	hamartia	amartiya	sin
G70269	ἀμάρτυρος	amartyros	amartiyros	without testimony
G70270	ἁμαρτωλός	hamartōlos	amartolos	sinful
G70271	ἄμαχος	amachos	amakhos	peaceable
G70272	ἀμάω	amaō	amao	to mow
G70273	ἀμέθυστος	amethystos	ameθiystos	amethyst
G70274	ἀμελέω	ameleō	ameleo	to neglect
G70275	ἄμεμπτος	amemptos	amemptos	blameless
G70276	ἀμέμπτως	amemptōs	amemptos	blamelessly
G70277	ἀμέριμνος	amerimnos	ameriymnos	free from concern
G70278	ἀμετάθετος	ametathetos	ametaθetos	unchangeable
G70279	ἀμετακίνητος	ametakinētos	ametakiyniytos	not moveable
G70280	ἀμεταμέλητος	ametamelētos	ametameliytos	without regret
G70281	ἀμετανόητος	ametanoētos	ametaniytos	unrepentant
G70282	ἄμετρος	ametros	ametros	beyond limits
G70283	ἀμήν	amēn	amiyn	amen
G70284	ἀμήτωρ	amētōr	amiytor	without a mother
G70285	ἀμίαντος	amiantos	amiyantos	pure
G70286	Ἀμιναδάβ	aminadab	amiynaðav	Amminadab
G70287	ἄμμος	ammos	ammos	sand
G70288	ἀμνός	amnos	amnos	lamb
G70289	ἀμοιβή	amoibē	amiyviy	repayment
G70290	ἄμπελος	ampelos	ampelos	vine
G70291	ἀμπελουργός	ampelourgos	ampelurgos	one who takes care of a vineyard
G70292	ἀμπελών	ampelōn	ampelon	vineyard
G70293	Ἀμπλιᾶτος	ampliatos	ampliyatos	Ampliatus
G70294	ἀμύνομαι	amynomai	amiynome	to defend
G70295	ἀμφιάζω	amphiazō	amfiyazo	to dress
G70296	ἀμφιβάλλω	amphiballō	amfiyvallo	to cast a fishnet
G70297	ἀμφίβληστρον	amphiblēstron	amfiyvliystron	casting net
G70298	ἀμφιέννυμι	amphiennymi	amfiyenniymiy	to dress
G70299	Ἀμφίπολις	amphipolis	amfiypoliys	Amphipolis
G70300	ἄμφοδον	amphodon	amfoðon	street
G70301	ἀμφότεροι	amphoteroi	amfoteriy	both
G70302	ἀμώμητος	amōmētos	amomiytos	blameless
G70303	ἄμωμον	amōmon	amomon	spice
G70304	ἄμωμος	amōmos	amomos	unblemished
G70305	Ἀμώς	amōs	amos	Amos
G70306	ἄν	an	an	if … would
G70307	ἀνά	ana	ana	each
G70308	ἀναβαθμός	anabathmos	anavaθmos	step
G70309	ἀναβαίνω	anabainō	anaveno	to go up
G70310	ἀναβάλλομαι	anaballomai	anavallome	to adjourn a proceeding
G70311	ἀναβιβάζω	anabibazō	anaviyvazo	to pull up
G70312	ἀναβλέπω	anablepō	anavlepo	to look up
G70313	ἀνάβλεψις	anablepsis	anavlepsiys	recovery of sight
G70314	ἀναβοάω	anaboaō	anavoao	to cry out
G70315	ἀναβολή	anabolē	anavoliy	delay
G70316	ἀνάγαιον	anagaion	anayeon	upper room
G70317	ἀναγγέλλω	anangellō	ananggello	to tell
G70318	ἀναγεννάω	anagennaō	anayennao	to give new birth
G70319	ἀναγινώσκω	anaginōskō	anayiynosko	to read
G70320	ἀναγκάζω	anankazō	ananggazo	to compel
G70321	ἀναγκαῖος	anankaios	ananggeos	necessary
G70322	ἀναγκαστῶς	anankastōs	ananggastos	a must
G70323	ἀνάγκη	anankē	ananggiy	necessity
G70324	ἀναγνωρίζομαι	anagnōrizomai	anagnoriyzome	to tell
G70325	ἀνάγνωσις	anagnōsis	anagnosiys	reading
G70326	ἀνάγω	anagō	anago	to lead up
G70327	ἀναδείκνυμι	anadeiknymi	anaðiykniymiy	to show
G70328	ἀνάδειξις	anadeixis	anaðiyksiys	public appearance
G70329	ἀναδέχομαι	anadechomai	anaðekhome	to receive
G70330	ἀναδίδωμι	anadidōmi	anaðiyðomiy	to deliver
G70331	ἀναζάω	anazaō	anazao	to become alive again
G70332	ἀναζητέω	anazēteō	anaziyteo	to look for
G70333	ἀναζώννυμι	anazōnnymi	anazonniymiy	to gird
G70334	ἀναζωπυρέω	anazōpyreō	anazopiyreo	to fan a flame
G70335	ἀναθάλλω	anathallō	anaθallo	to renew
G70336	ἀνάθεμα	anathema	anaθema	curse
G70337	ἀναθεματίζω	anathematizō	anaθematiyzo	to bind with an oath
G70338	ἀναθεωρέω	anatheōreō	anaθeoreo	to look carefully at
G70339	ἀναίδεια	anaideia	aneðiya	boldness
G70340	ἀναίρεσις	anairesis	aneresiys	death
G70341	ἀναιρέω	anaireō	anereo	to kill
G70342	ἀναίτιος	anaitios	anetiyos	innocent
G70343	ἀνακαθίζω	anakathizō	anakaθiyzo	to sit up
G70344	ἀνακαινίζω	anakainizō	anakeniyzo	to bring back
G70345	ἀνακαινόω	anakainoō	anakenoo	to renew
G70346	ἀνακαίνωσις	anakainōsis	anakenosiys	renewal
G70347	ἀνακαλύπτω	anakalyptō	anakaliypto	to unveil
G70348	ἀνακάμπτω	anakamptō	anakampto	to return
G70349	ἀνάκειμαι	anakeimai	anakiyme	to recline for a meal
G70350	ἀνακεφαλαιόω	anakephalaioō	anakefaleoo	to bring together under one head
G70351	ἀνακλίνω	anaklinō	anakliyno	to cause to lie down
G70352	ἀνακράζω	anakrazō	anakrazo	to cry out
G70353	ἀνακρίνω	anakrinō	anakriyno	to examine
G70354	ἀνάκρισις	anakrisis	anakriysiys	investigation
G70355	ἀνακύπτω	anakyptō	anakiypto	to straighten up
G70356	ἀναλαμβάνω	analambanō	analamvano	to take up
G70357	ἀνάλημψις	analēmpsis	analiympsiys	taking up
G70358	ἀναλίσκω	analiskō	analiysko	to consume
G70359	ἀναλογία	analogia	analoyiya	proportion
G70360	ἀναλογίζομαι	analogizomai	analoyiyzome	to consider
G70361	ἄναλος	analos	analos	not salty
G70362	ἀνάλυσις	analysis	analiysiys	departure
G70363	ἀναλύω	analyō	analiyo	to depart
G70364	ἀναμένω	anamenō	anameno	to wait for
G70365	ἀναμιμνῄσκω	anamimnēskō	anamiymniysko	to remember
G70366	ἀνάμνησις	anamnēsis	anamniysiys	reminder
G70367	ἀνανεόω	ananeoō	ananeoo	to be made new
G70368	ἀνανήφω	ananēphō	ananiyfo	to come to one's senses
G70369	Ἁνανίας	hananias	ananiyas	Ananias
G70370	ἀναντίρρητος	anantirrētos	anantiyrriytos	undeniable
G70371	ἀναντιρρήτως	anantirrētōs	anantiyrriytos	promptly
G70372	ἀνάξιος	anaxios	anaksiyos	not competent
G70373	ἀναξίως	anaxiōs	anaksiyos	unworthily
G70374	ἀνάπαυσις	anapausis	anapafsiys	rest
G70375	ἀναπαύω	anapauō	anapavo	to rest
G70376	ἀναπείθω	anapeithō	anapiyθo	to persuade
G70377	ἀναπέμπω	anapempō	anapempo	to send
G70378	ἀναπηδάω	anapēdaō	anapiyðao	jump up
G70379	ἀνάπηρος	anapēros	anapiyros	crippled
G70380	ἀναπίπτω	anapiptō	anapiypto	recline
G70381	ἀναπληρόω	anaplēroō	anapliyroo	to fulfill
G70382	ἀναπολόγητος	anapologētos	anapoloyiytos	without excuse
G70383	ἀναπτύσσω	anaptyssō	anaptiysso	to unroll
G70384	ἀνάπτω	anaptō	anapto	to set on fire
G70385	ἀναρίθμητος	anarithmētos	anariyθmiytos	countless
G70386	ἀνασείω	anaseiō	anasiyo	to stir up
G70387	ἀνασκευάζω	anaskeuazō	anaskevazo	to trouble
G70388	ἀνασπάω	anaspaō	anaspao	to pull up
G70389	ἀνάστασις	anastasis	anastasiys	resurrection
G70390	ἀναστατόω	anastatoō	anastatoo	to cause trouble
G70391	ἀνασταυρόω	anastauroō	anastavroo	to crucify again
G70392	ἀναστενάζω	anastenazō	anastenazo	to sigh deeply
G70393	ἀναστρέφω	anastrephō	anastrefo	to conduct oneself
G70394	ἀναστροφή	anastrophē	anastrofiy	way of life
G70395	ἀνατάσσομαι	anatassomai	anatassome	to draw up
G70396	ἀνατέλλω	anatellō	anatello	to rise
G70397	ἀνατίθεμαι	anatithemai	anatiyθeme	to set before
G70398	ἀνατολή	anatolē	anatoliy	east
G70399	ἀνατρέπω	anatrepō	anatrepo	to overturn
G70400	ἀνατρέφω	anatrephō	anatrefo	to bring up
G70401	ἀναφαίνω	anaphainō	anafeno	to appear
G70402	ἀναφέρω	anapherō	anafero	to lead up
G70403	ἀναφωνέω	anaphōneō	anafoneo	to exclaim
G70404	ἀνάχυσις	anachysis	anakhiysiys	flood
G70405	ἀναχωρέω	anachōreō	anakhoreo	to withdraw
G70406	ἀνάψυξις	anapsyxis	anapsiyksiys	refreshment
G70407	ἀναψύχω	anapsychō	anapsiykho	to refresh
G70408	ἀνδραποδιστής	andrapodistēs	anðrapoðiystiys	slave trader
G70409	Ἀνδρέας	andreas	anðreas	Andrew
G70410	ἀνδρίζομαι	andrizomai	anðriyzome	to act courageously
G70411	Ἀνδρόνικος	andronikos	anðroniykos	Andronicus
G70412	ἀνδροφόνος	androphonos	anðrofonos	murderer
G70413	ἀνέγκλητος	anenklētos	anenggliytos	blameless
G70414	ἀνεκδιήγητος	anekdiēgētos	anekðiyiyyiytos	indescribable
G70415	ἀνεκλάλητος	aneklalētos	aneklaliytos	inexpressible
G70416	ἀνέκλειπτος	anekleiptos	anekliyptos	not exhaustible
G70417	ἀνεκτός	anektos	anektos	bearable
G70418	ἀνελεήμων	aneleēmōn	aneliymon	ruthless
G70419	ἀνέλεος	aneleos	aneleos	merciless
G70420	ἀνεμίζομαι	anemizomai	anemiyzome	to be moved by the wind
G70421	ἄνεμος	anemos	anemos	wind
G70422	ἀνένδεκτος	anendektos	anenðektos	impossible
G70423	ἀνεξεραύνητος	anexeraunētos	anekseravniytos	unsearchable
G70424	ἀνεξίκακος	anexikakos	aneksiykakos	not resentful
G70425	ἀνεξιχνίαστος	anexichniastos	aneksiykhniyastos	unsearchable
G70426	ἀνεπαίσχυντος	anepaischyntos	anepeskhiyntos	unashamed
G70427	ἀνεπίλημπτος	anepilēmptos	anepiyliymptos	above reproach
G70428	ἀνέρχομαι	anerchomai	anerkhome	to go up
G70429	ἄνεσις	anesis	anesiys	rest
G70430	ἀνετάζω	anetazō	anetazo	to question
G70431	ἄνευ	aneu	anev	without
G70432	ἀνεύθετος	aneuthetos	anefθetos	unsuitable
G70433	ἀνευρίσκω	aneuriskō	anevriysko	to find
G70434	ἀνέχομαι	anechomai	anekhome	to put up with
G70435	ἀνεψιός	anepsios	anepsiyos	cousin
G70436	ἄνηθον	anēthon	aniyθon	dill
G70437	ἀνήκω	anēkō	aniyko	to be fitting
G70438	ἀνήμερος	anēmeros	aniymeros	brutal
G70439	ἀνήρ	anēr	aniyr	man
G70440	ἀνθίστημι	anthistēmi	anθiystiymiy	to resist
G70441	ἀνθομολογέομαι	anthomologeomai	anθomoloyeome	to give thanks
G70442	ἄνθος	anthos	anθos	flower
G70443	ἀνθρακιά	anthrakia	anθrakiya	charcoal fire
G70444	ἄνθραξ	anthrax	anθraks	coal
G70445	ἀνθρωπάρεσκος	anthrōpareskos	anθropareskos	one who wins favor
G70446	ἀνθρώπινος	anthrōpinos	anθropiynos	human
G70447	ἀνθρωποκτόνος	anthrōpoktonos	anθropoktonos	murderer
G70448	ἄνθρωπος	anthrōpos	anθropos	human being
G70449	ἀνθύπατος	anthypatos	anθiypatos	proconsul
G70450	ἀνίημι	aniēmi	aniyiymiy	loosen
G70451	ἄνιπτος	aniptos	aniyptos	unwashed
G70452	ἀνίστημι	anistēmi	aniystiymiy	to get up
G70453	Ἅννα	hanna	anna	Anna
G70454	Ἅννας	hannas	annas	Annas
G70455	ἀνόητος	anoētos	aniytos	foolish
G70456	ἄνοια	anoia	aniya	folly
G70457	ἀνοίγω	anoigō	aniygo	to open
G70458	ἀνοικοδομέω	anoikodomeō	aniykoðomeo	to rebuild
G70459	ἄνοιξις	anoixis	aniyksiys	opening
G70460	ἀνομία	anomia	anomiya	wickedness
G70461	ἄνομος	anomos	anomos	without law
G70462	ἀνόμως	anomōs	anomos	without law
G70463	ἀνορθόω	anorthoō	anorθoo	to restore
G70464	ἀνόσιος	anosios	anosiyos	unholy
G70465	ἀνοχή	anochē	anokhiy	tolerance
G70466	ἀνταγωνίζομαι	antagōnizomai	antagoniyzome	to struggle against
G70467	ἀντάλλαγμα	antallagma	antallagma	something given in exchange
G70468	ἀνταναπληρόω	antanaplēroō	antanapliyroo	to fill up
G70469	ἀνταποδίδωμι	antapodidōmi	antapoðiyðomiy	to repay
G70470	ἀνταπόδομα	antapodoma	antapoðoma	repayment
