α	alpha
ἀμάραντος	never fading
ἁμαρτάνω	to sin
ἁμάρτημα	sin
ἁμαρτία	sin
ἀμάρτυρος	without testimony
ἁμαρτωλός	(a.) sinful
Ἀμασίας	Amaziah
ἄμαχος	peaceable
ἀμάω	to mow
ἀμέθυστος	amethyst
ἀμελέω	to neglect
ἀμέμπτως	blameless
ἀμέριμνος	free from concern
ἀμετάθετος	unchangeable
ἀμετακίνητος	not moveable
ἀμεταμέλητος	without regret
ἀμετανόητοςς	unrepentant
ἄμετρος	beyond limits
ἀμήν	amen
ἀμήτωρ	without a mother
ἀμίαντος	pure
Ἀμιναδάβ	Amminadab
ἄμμον	sand
ἄμμορφος	misshapen
ἄμμος	sand
ἀμνός	lamb
ἀμοιβή	repayment
ἄμπελος	vine
ἀμπελουργός	one who takes care of a vineyard
ἀμπελών	vineyard
Ἀμπλιᾶτος	Ampliatus
ἀμύνομαι	to defend
ἀμφιβάλλω	to cast a fishnet (a round net with small weights along its edge)
ἀμφίβληστρον	casting net
ἀμφιέζω	to clothe
ἀμφιέννυμι	to dress
Ἀμφίπολις	Amphipolis
ἄμφοδον	street
ἀμφότεροι	both
ἀμώμητος	blameless
ἄμωμον	spice
ἄμωμοςς	unblemished
Ἀμών	Amon
Ἀμώς	Amos
ἄν	not easily translated: indicates potential or condition
ἀνά	each
ἀναβαθμός	step
ἀναβαίνω	to go up
ἀναβάλλω	to adjourn a proceeding (a legal term)
ἀναβιβάζω	to pull up
ἀναβλέπω	to look up
ἀνάβλεψις	recovery of sight
ἀναβοάω	to cry out
ἀναβολή	delay
ἀνάγαιον	upper room
ἀναγγέλλω	to tell
ἀναγεννάω	to give new birth
ἀναγινώσκω	to read
ἀναγκάζω	to compel
ἀναγκαῖος	necessary
ἀναγκαστῶς	a must
ἀνάγκη	necessity
ἀναγνωρίζω	to tell
ἀνάγνωσις	reading
ἀνάγω	to lead up
ἀναδείκνυμι	to show
ἀνάδειξις	public appearance
ἀναδέχομαι	to receive
ἀναδίδωμι	to deliver
ἀναζάω	to become alive again
ἀναζητέω	to look for
ἀναζώννυμι	to gird (the loins)
ἀναζωπυρέω	to fan a flame
ἀναθάλλω	to renew
ἀναθεματίζω	to bind with an oath
ἀναθεωρέω	to look carefully at
ἀνάθημα	curse
ἀναίδεια	boldness
ἀναίρεσις	death
ἀναιρέω	to kill
ἀναίτιος	innocent
ἀνακαθίζω	to sit up (from a reclining or lying position)
ἀνακαινίζω	to bring back
ἀνακαινόω	to renew
ἀνακαίνωσις	renewal
ἀνακαλύπτω	to unveil
ἀνακάμπτω	to return
ἀνάκειμαι	to recline for a meal
ἀνακεφαλαιόω	to bring together under one head
ἀνακλίνω	to cause to lie down
ἀνακόπτω	to hinder
ἀνακράζω	to cry out
ἀνακραυγάζω	to cry out
ἀνακρίνω	to examine
ἀνάκρισις	investigation
ἀνακυλίω	to roll away
ἀνακύπτω	to straighten up
ἀναλαμβάνω	to take up
ἀνάλημψις	taking up
ἀναλίσκω	to consume
ἀνάλλομαι	to jump up
ἀναλογία	proportion
ἀναλογίζομαι	to consider
ἄναλος	not salty
ἀναλόω	to destroy
ἀνάλυσις	departure (death)
ἀναλύω	to depart (die)
ἀναμάρτητος	without sin
ἀναμένω	to wait for
ἀναμιμνῄσκω	to remember
ἀνάμνησις	reminder
ἀνανεόω	to be made new
ἀνανήφω	to come to one's senses
Ἁνανίας	Ananias
ἀναντιρρήτως	undeniable
ἀναξίως	not competent
ἀνάπαυσις	rest
ἀναπαύω	to rest
ἀναπείθω	to persuade
ἀνάπειρος	crippled
ἀναπέμπω	to send
ἀναπηδάω	jump up
ἀναπίπτω	recline
ἀναπληρόω	to fulfill
ἀναπολόγητος	without excuse
ἀναπράσσω	to demand
ἀναπτύσσω	to unroll (a scroll)
ἀνάπτω	to set on fire
ἀναρίθμητος	countless
ἀνασείω	to stir up
ἀνασκευάζω	to trouble
ἀνασπάω	to pull up
ἀνάστασις	resurrection
ἀναστατόω	to cause trouble
ἀνασταυρόω	to crucify again
ἀναστενάζω	to sigh deeply
ἀναστρέφω	to conduct oneself
ἀναστροφή	way of life
ἀνασῴζω	to save
ἀνατάσσομαι	to draw up (an account)
ἀνατέλλω	to rise
ἀνατίθημι	to set before
ἀνατολή	east
ἀνατολικός	eastern
ἀνατρέπω	to overturn
ἀνατρέφω	to bring up
ἀναφαίνω	to appear
ἀναφέρω	to lead up
ἀναφωνέω	to exclaim
ἀνάχυσις	flood
ἀναχωρέω	to withdraw
ἀνάψυξις	refreshment
ἀναψύχω	to refresh
ἀνδραποδιστής	slave trader
Ἀνδρέας	Andrew
ἀνδρίζομαι	to act courageously
Ἀνδρόνικος	Andronicus
ἀνδροφόνος	murderer
ἀνεγκλησία	blamelessness
ἀνέγκλητος	blameless
ἀνεκδιήγητος	indescribable
ἀνεκλάλητος	inexpressible
ἀνέκλειπτος	not exhaustible
ἀνεκτός	bearable
ἀνελεήμων	ruthless
ἀνέλεος	merciless
ἀνεμίζω	to be moved by the wind
ἄνεμος	wind
ἀνένδεκτος	impossible
ἀνεξεραύνητος	unsearchable
ἀνεξίκακος	not resentful
ἀνεξιχνίαστος	unsearchable
ἀνεπαίσχυντος	unashamed
ἀνεπίλημπτος	above reproach
ἀνέρχομαι	to go up
ἄνεσις	rest
ἀνετάζω	to question
ἄνευ	without
ἀνεύθετος	unsuitable
ἀνευρίσκω	to find
ἀνέχομαι	to put up with
ἀνεψιός	cousin
ἄνηθον	dill
ἀνήκω	to be fitting
ἀνήμερος	brutal
ἀνήρ	man
ἀνθίστημι	to resist
ἀνθομολογέομαι	to give thanks
ἄνθος	flower
ἀνθρακιά	charcoal fire
ἄνθραξ	coal
ἀνθρωπάρεσκος	one who wins favor
ἀνθρώπινος	human
ἀνθρωποκτόνος	murderer
ἄνθρωπος	human being
ἀνθυπατεύω	to be proconsul
ἀνθύπατος	proconsul
ἀνίημι	loosen
ἀνίλεως	merciless
ἄνιπτος	unwashed
ἀνίστημι	to get up
Ἅννα	Anna
Ἅννας	Annas
ἀνόητος	foolish
ἄνοια	folly
ἀνοίγω	to open
ἀνοικοδομέω	to rebuild
ἄνοιξις	(the act of) opening
ἀνομία	wickedness
ἀνόμως	without law
ἀνόνητος	useless
ἀνορθόω	to restore
ἀνόσιος	unholy
ἀνοχή	tolerance
ἀνταγωνίζομαι	to struggle against
ἀντάλλαγμα	something given in exchange
ἀνταναπληρόω	to fill up
ἀνταποδίδωμι	to repay
ἀνταπόδομα	repayment
ἀνταπόδοσις	reward
ἀνταποκρίνομαι	to talk back
ἀντέχω	to be devoted
ἀντί	in exchange for
ἀντιβάλλω	to discuss
ἀντιδιατίθημι	to oppose
ἀντίδικος	enemy
ἀντίθεσις	opposition
ἀντικαθίστημι	to resist
ἀντικαλέω	to invite in reciprocation
ἀντίκειμαι	to be an opponent
ἄντικρυς	opposite of
ἀντιλαμβάνω	to help
ἀντιλέγω	to speak against
ἀντίλημψις	help
ἀντιλογία	argument
ἀντιλοιδορέω	to retaliate
ἀντίλυτρον	ransom
ἀντιμετρέω	to measure in return
ἀντιμισθία	an exchange
Ἀντιόχεια	Antioch
Ἀντιοχεύς	from Antioch
ἀντιπαρέρχομαι	to pass by on the opposite side
Ἀντιπᾶς	Antipas
Ἀντιπατρίς	Antipatris
ἀντιπέρα	across from
ἀντιπίπτω	to resist
ἀντιστρατεύομαι	to wage war against
ἀντιτάσσω	to oppose
ἀντίτυπος	copy
ἀντίχριστος	antichrist
ἀντλέω	to draw (water)
ἄντλημα	container to draw water with
ἀντοφθαλμέω	to head into
ἄνυδρος	arid
ἀνυπόκριτος	sincere
ἀνυπότακτος	rebellious
ἄνω	above
ἄνωθεν	from above
ἀνωτερικός	interior
ἀνώτερον	higher
ἀνωφελής	unprofitable
ἀξίνη	ax
ἀξιόω	to consider worthy
ἀξίως	worthy
ἀόρατος	invisible
ἀπαγγέλλω	to tell
ἀπάγχω	to hang (oneself)
ἀπάγω	to lead away
ἀπαίδευτος	stupid
ἀπαίρω	to take away
ἀπαιτέω	to demand back
ἀπαλγέω	to lose all sensitivity
ἀπαλλάσσω	(act.) to set free
ἀπαλλοτριόω	to be excluded
ἁπαλός	tender (referring to sprouts)
ἀπαντάω	to meet
ἀπάντησις	(the act of) meeting
ἅπαξ	once
ἀπαράβατος	permanent
ἀπαρασκεύαστος	unprepared
ἀπαρνέομαι	to disown
ἀπαρτί	exactly
ἀπαρτισμός	completion
ἀπαρχή	firstfruits
ἅπας	all
ἀπασπάζομαι	to say farewell
ἀπατάω	to deceive
ἀπάτη	deception
ἀπάτωρ	fatherless
ἀπαύγασμα	radiance
ἀπαφρίζω	to cast off like foam
ἀπείθεια	disobedience
ἀπειθέω	to disobey
ἀπειθής	disobedient
ἀπειλέω	to threaten
ἀπειλή	threat
ἄπειμι	to be absent
ἀπεῖπον	to renounce
ἀπείραστος	incapable of being tempted
ἄπειρος	not acquainted with
ἀπεκδέχομαι	wait eagerly for
ἀπεκδύομαι	to take off
ἀπέκδυσις	removal
ἀπελαύνω	to eject from (court)
ἀπελεγμός	disrepute
ἀπελεύθερος	freedman
Ἀπελλῆς	Apelles
ἀπελπίζω	to expect nothing in return
ἀπέναντι	opposite
ἀπέραντος	endless
ἀπερισπάστως	undivided
ἀπερίτμητος	uncircumcised (with a possible implication of being stubborn and obstinate)
ἀπέρχομαι	to go away
ἀπέχω	to receive (in full)
ἀπιστέω	to disbelieve
ἀπιστία	unbelief
ἄπιστος	unbelieving
ἀπλόος	good
ἁπλότης	Formally <i>the quality of singleness
ἁπλοῦς	good in the sense of healthy
ἁπλῶς	generously
ἀπό	from
ἀποβαίνω	to leave
ἀποβάλλω	to throw away
ἀποβλέπω	to look ahead
ἀπόβλητος	rejected (as unclean)
ἀποβολή	rejection
ἀπογίνομαι	to die
ἀπογραφή	census
ἀπογράφω	to take a census
ἀποδείκνυμι	to display
ἀπόδειξις	demonstration
ἀποδεκατεύω	to tithe
ἀποδεκατόω	to give a tenth
ἀπόδεκτος	pleasing
ἀποδέχομαι	to welcome
ἀποδημέω	to go away on a journey
ἀπόδημος	going away on a journey
ἀποδίδωμι	give
ἀποδιορίζω	to divide
ἀποδοκιμάζω	to reject
ἀποδοχή	acceptance
ἀπόθεσις	removal
ἀποθήκη	barn
ἀποθησαυρίζω	to store up treasure
ἀποθλίβω	to press against
ἀποθνῄσκω	to die (in a literal or fig. sense)
ἀποκαθιστάνω	to restore
ἀποκαθίστημι	to (completely) restore
ἀποκαλύπτω	to reveal
ἀποκάλυψις	revelation
ἀποκαραδοκία	eager expectation
ἀποκαταλλάσσω	to reconcile
ἀποκατάστασις	restoration
ἀπόκειμαι	to be stored up
ἀποκεφαλίζω	to behead
ἀποκλείω	to close
ἀποκόπτω	to cut off
ἀπόκριμα	sentence
ἀποκρίνομαι	to answer
ἀπόκρισις	answer
ἀποκρύπτω	to hide
ἀπόκρυφος	concealed
ἀποκτείνω	to kill (either natural life or spiritual life)
ἀποκτέννω	to kill
ἀποκυέω	to give birth to
ἀποκυλίω	to roll away
ἀπολαμβάνω	to receive
ἀπόλαυσις	enjoyment
ἀπολείπω	to leave behind
ἀπολείχω	lick
ἀπολιμπάνω	leave behind
ἀπόλλυμι	to destroy (an inanimate object)
Ἀπολλύων	Apollyon
Ἀπολλωνία	Apollonia
Ἀπολλῶς	Apollos
ἀπολογέομαι	to defend oneself
ἀπολογία	defense
ἀπολούω	to wash away
ἀπολύτρωσις	redemption
ἀπολύω	to release (forgive
ἀπομάσσω	to wipe off (this refers to an action of protest)
ἀπονέμω	to treat with
ἀπονίπτω	to wash off
ἀποπέμπω	to send out
ἀποπίπτω	to fall away
ἀποπλανάω	to deceive
ἀποπλέω	to sail away from
ἀποπλύνω	to wash off
ἀποπνίγω	to choke
ἀπορέω	to be puzzled
ἀπορία	perplexity
ἀπορίπτω	to jump into
ἀπορφανίζω	to make an orphan of
ἀποσκευάζω	to pack up
ἀποσκίασμα	shadow
ἀποσπάω	to draw out
ἀποστασία	turning away
ἀποστάσιον	divorce
ἀποστάτης	deserter
ἀποστεγάζω	to make an opening in a roof
ἀποστέλλω	to send
ἀποστερέω	to defraud
ἀποστολή	apostleship
ἀπόστολος	apostle
ἀποστοματίζω	to besiege with questions
ἀποστρέφω	to turn away from
ἀποστυγέω	to hate
ἀποσυνάγωγος	put out of the synagogue
ἀποτάσσω	to say good-by
ἀποτελέω	to bring to completion
ἀποτίθημι	to put aside
ἀποτινάσσω	to shake off
ἀποτίνω	to pay back
ἀποτολμάω	to bring forth boldly
ἀποτομία	sternness
ἀποτόμως	harshly
ἀποτρέπω	to have nothing to do with
ἀπουσία	absence
ἀποφέρω	to carry away
ἀποφεύγω	to escape (from)
ἀποφθέγγομαι	to say
ἀποφορτίζομαι	to unload
ἀπόχρησις	using up
ἀποχωρέω	to go away from
ἀποχωρίζω	to part company
ἀποψύχω	to faint (some translate <i>to die</i>)
Ἄππιος	Appius
ἀπρόσιτος	unapproachable
ἀπρόσκοπος	blameless
ἀπροσωπολήμπτως	impartially
ἄπταιστος	without falling
ἅπτω	to touch
Ἀπφία	Apphia
ἀπωθέω	to reject
ἀπώλεια	destruction
ἆρα	curse
Ἀραβία	Arabia
Ἄραβοι	Arabs
Ἀράμ	Ram
ἄραφος	seamless
Ἄραψ	Arab
ἀργέω	to be idle
ἀργός	idle
ἀργύρεος	(made of) silver
ἀργύριον	silver (always referring to money)
ἀργυροκόπος	silversmith
ἄργυρος	silver
ἀργυροῦς	(made of) silver
ἄρειος	meeting of the Areopagus
Ἀρεοπαγίτης	member of the Areopagus
ἀρεσκεία	pleasing
ἀρέσκω	to please
ἀρεστός	pleasing
Ἁρέτας	Aretas
ἀρετή	(moral) goodness
ἀρήν	lamb
ἀριθμέω	to count
ἀριθμός	number
Ἁριμαθαία	Arimathea
Ἀρίσταρχος	Aristarchus
ἀριστάω	to eat (breakfast)
ἀριστερός	left side
Ἀριστόβουλος	Aristobulus
ἄριστον	meal
ἀρκετός	enough
ἀρκέω	(mid./pass.) to be content
ἄρκος	bear
ἄρκτος	bear
ἅρμα	chariot
Ἁρμαγεδών	Armageddon
ἁρμόζω	to promise for marriage
ἁρμός	joint (where bones connect)
ἀρνέομαι	to deny
Ἀρνί	Arni
ἀρνίον	lamb
ἀροτριάω	to plow
ἄροτρον	plow
ἁρπαγή	greediness
ἁρπαγμός	something to hold onto
ἁρπάζω	to catch
ἅρπαξ	swindling
ἀρραβών	deposit which guarantees
ἄρρην	male
ἄρρητος	inexpressible
ἄρρωστος	sick
ἀρσενοκοίτης	one engaging in homosexual acts (likely referring to the active male partner)
ἄρσην	male
Ἀρτεμᾶς	Artemas
Ἄρτεμις	Artemis
ἀρτέμων	foresail
ἄρτι	now
ἀρτιγέννητος	newborn
ἄρτιος	thorough
ἄρτος	(loaf of) bread
ἀρτύω	to make salty
Ἀρφαξάδ	Arphaxad
ἀρχάγγελος	archangel
ἀρχαῖος	ancient
Ἀρχέλαος	Archelaus
ἀρχή	beginning
ἀρχηγός	author
ἀρχιερατικός	of the high priest
ἀρχιερεύς	chief priest
ἀρχιλῃστής	head of a rebellion
ἀρχιποίμην	chief shepherd
Ἄρχιππος	Archippus
ἀρχισυνάγωγος	leader of the synagogue
ἀρχιτέκτων	expert builder
ἀρχιτελώνης	chief tax collector
ἀρχιτρίκλινος	master of the banquet
ἄρχω	(act.) to rule
ἄρχων	ruler
ἄρωμα	spices
Ἀσά	Asa
ἀσάλευτος	unshakable
Ἀσάφ	Asaph
ἄσβεστος	unquenchable
ἀσέβεια	ungodliness
ἀσεβέω	to do ungodly acts
ἀσεβής	ungodly
ἀσέλγεια	debauchery
ἄσημος	ordinary
Ἀσήρ	Asher
ἀσθένεια	weakness
ἀσθενέω	to be weak
ἀσθένημα	failing
ἀσθενής	weak
Ἀσία	Asia
Ἀσιανός	one from the Roman province of Asia
Ἀσιάρχης	official of the province of Asia
ἀσιτία	going without food
ἄσιτος	going without food
ἀσκέω	to strive
ἀσκός	wineskin
ἀσμένως	warmly
ἄσοφος	unwise
ἀσπάζομαι	to give greetings (hello or good-bye)
ἀσπασμός	greeting
ἄσπιλος	without spot
ἀσπίς	viper
ἄσπονδος	unforgiving
ἀσσάριον	assarion (coin worth one-sixteenth of a day's wage)
Ἀσσάρων	Assaron
ἆσσον	nearer
Ἆσσος	Assos
ἀστατέω	to be homeless
ἀστεῖος	not ordinary
ἀστήρ	star
ἀστήρικτος	unstable
ἄστοργος	without love
ἀστοχέω	to wander away
ἀστραπή	lightning
ἀστράπτω	to flash
ἄστρον	star
Ἀσύγκριτος	Asyncritus
ἀσύμφωνος	disagreeable
ἀσύνετος	senseless
ἀσύνθετος	faithless
ἀσφάλεια	security
ἀσφαλής	safe
ἀσφαλίζω	to make secure
ἀσφαλῶς	carefully
ἀσχημονέω	to act improperly
ἀσχημοσύνη	indecent act
ἀσχήμων	unpresentable
ἀσωτία	debauchery
ἀσώτως	wildly
ἀτακτέω	to be idle
ἀτάκτως	idle
ἄτεκνος	childless
ἀτενίζω	to look intently
ἄτερ	without
ἀτιμάζω	to dishonor
ἀτιμάω	to treat shamefully
ἀτιμία	dishonor
ἄτιμος	without honor
ἀτιμόω	to disgrace
ἀτμίς	mist
ἄτομος	in a flash
ἄτοπος	wrong
Ἀττάλεια	Attalia
αὐγάζω	to see
αὐγή	daylight
Αὐγοῦστος	Augustus
αὐθάδης	overbearing
αὐθαίρετος	on one's own initiative
αὐθεντέω	to have authority over
αὐλέω	to play the flute
αὐλή	palace
αὐλητής	flute player
αὐλίζομαι	to spend the night
αὐλός	flute
αὐξάνω	to cause to grow
αὔξησις	growth
αὔξω	to cause to grow
αὔριον	tomorrow
αὐστηρός	hard
αὐτάρκεια	contentment
αὐτάρκης	content
αὐτοκατάκριτος	self-condemned
αὐτόματος	by itself
αὐτόπτης	eyewitness
αὐτός	he
αὐτοῦ	here
αὐτόφωρος	in the act
αὐτόχειρ	with one's own hand
αὐχέω	to boast
αὐχμηρός	dark
ἀφαιρέω	to take away from
ἀφανής	hidden
ἀφανίζω	to destroy
ἀφανισμός	disappearance
ἄφαντος	disappearing
ἀφεδρών	latrine
ἀφειδία	harsh treatment
ἀφελότης	sincerity
ἄφεσις	forgiveness
ἁφή	ligament
ἀφθαρσία	imperishableness
ἄφθαρτος	imperishable
ἀφθονία	willingness
ἀφθορία	integrity
ἀφίημι	to forgive
ἀφικνέομαι	to reach
ἀφιλάγαθος	not loving good
ἀφιλάργυρος	not loving money
ἄφιξις	leaving
ἀφίστημι	to leave
ἄφνω	suddenly
ἀφόβως	fearlessly
ἀφομοιόω	(pass.) to be like
ἀφοράω	to fix one's eyes
ἀφορίζω	to separate
ἀφορμή	opportunity
ἀφρίζω	to foam at the mouth
ἀφρός	foam
ἀφροσύνη	foolishness
ἄφρων	foolish
ἀφυπνόω	to fall asleep
ἀφυστερέω	withhold
ἄφωνος	silent
Ἀχάζ	Ahaz
Ἀχαι&κός	Achaicus
Ἀχαΐα	Achaia
ἀχάριστος	ungrateful
Ἅχας	Ahaz
ἀχειροποίητος	not made by human hands
Ἀχίμ	Akim
ἀχλύς	mistiness
ἀχρεῖος	worthless
ἀχρειόω	(pass.) to become worthless
ἄχρηστος	useless
ἄχρι	until
ἄχυρον	chaff
ἀψευδής	not a liar
ἀψίνθιον	wormwood
ἄψινθος	(m.) Wormwood
ἄψυχος	lifeless
β	letter of the Greek alphabet
Βάαλ	Baal
Βαβυλών	Babylon
βαθμός	standing
βάθος	depth
βαθύνω	to go down deep
βαθύς	deep
βάι&ον	(palm) branch
Βαλαάμ	Balaam
Βαλάκ	Balak
βαλλάντιον	purse
βάλλω	to throw
βαπτίζω	to baptize
βάπτισμα	baptism
βαπτισμός	baptism
βαπτιστής	Baptist
βάπτω	to dip (in)
βάρ	Not in NIV. son
Βαραββᾶς	Barabbas
Βαράκ	Barak
Βαραχίας	Berekiah
βάρβαρος	non-Greek
βαρέω	(pass.) to be burdened
