G1	阿拉法
G134	讚美
G135	不清楚的講說
G136	故事
G137	哀嫩
G138	取為己有
G139	選擇
G140	揀選
G141	宗派分立論者
G142	舉起
G143	明瞭
G144	感覺力
G145	感覺官能
G146	下賤的
G147	下賤地
G148	卑鄙的談話
G149	可恥的事
G150	可恥的
G151	可恥
G152	羞恥
G153	感覺羞恥
G154	問
G155	所求之物
G156	原因
G157	加罪於某事
G158	理由
G159	原因的
G160	預料不到的
G161	囚禁
G162	擄獲
G163	俘虜
G164	被俘擄
G165	時代
G166	永遠的
G167	不純潔
G168	不純潔
G169	不純潔的
G170	時機不宜的
G171	不合時宜的
G172	還算不壞
G173	荊棘
G174	多刺的
G175	不生產的
G176	無可指責
G177	揭開的
G178	不被定罪的
G179	不可分解的
G180	無約束的
G181	不穩定
G182	無定向的
G183	不受約束的
G184	亞革大馬
G185	不混雜的
G186	不傾斜的
G187	頂點
G188	此刻
G189	聽覺
G190	同走一路
G191	聽見
G192	無自制能力
G193	無能力
G194	未沖淡的
G195	正確
G196	最正確
G197	更正確地
G198	要正確
G199	正確地
G200	蝗蟲
G201	聽眾-場所
G202	聽者
G203	包皮
G204	屬於最外角
G205	堆峰
G206	極度
G207	亞居拉
G208	作廢
G209	不被攔阻地
G210	不願意
G211	玉瓶
G212	自誇
G213	自誇的
G214	哀號
G215	不能以言語表達
G216	啞的
G217	鹽
G218	敷油
G219	雞啼
G220	公雞
G221	亞力山太
G222	亞力山太的
G223	亞力山大
G224	麵粉
G225	真理
G226	說真理
G227	真實的
G228	真的
G229	磨碎
G230	真實地
G231	船夫
G232	作漁夫
G233	加以鹽
G234	髒物
G235	其餘的
G236	作成不同
G237	從別處
G2370001	另一
G238	用比喻
G239	你們要讚美耶和華
G240	彼此
G241	外來的
G242	跳
G243	別的
G244	督導
G245	別人的
G246	外來的
G247	不同地
G248	踐踏
G249	不合理的
G250	沉香
G251	鹽
G252	鹹的
G253	少些憂愁
G254	腳鐐
G255	無益的
G256	亞勒腓
G257	打穀場
G258	狐狸^
G259	擄獲
G260	同時
G261	無學問的
G262	不朽的
G263	不衰殘的
G264	未中目標
G265	罪
G266	罪
G267	未經證實的
G268	有罪的
G269	溫和的
G270	收集
G271	紫晶
G272	忽略
G273	無可指摘的
G274	無可指摘地
G275	無掛慮的
G276	不改變的
G277	不可移動的
G278	不後悔的
G279	不悔改的
G280	無節制的
G281	實實在在
G282	無母的
G283	未玷污的
G284	亞米拿達
G285	沙
G286	羔羊
G287	報答
G288	葡萄樹
G289	葡萄園管理者
G290	葡萄園
G291	暗伯利
G292	護庇
G2920001	四圍拋投
G293	網
G294	穿衣
G295	暗妃波里
G296	叉路
G297	雙方
G298	無可指摘的
G2980001	香料植物
G299	無瑕疵的
G300	亞們
G301	亞摩斯
G302	假定
G303	上
G304	樓梯
G305	上去
G306	推諉
G307	使其往上去
G308	望
G309	視力的恢復
G310	喊叫
G311	延期
G312	宣告
G313	生
G314	再知道
G315	迫使
G316	必須的
G317	強制地
G318	強迫
G319	告知
G320	閱讀
G321	引到
G322	展示
G323	展覽
G324	款待
G325	讓與
G326	恢復生命
G327	搜索
G328	再束縛
G329	再燃熾
G330	再茂盛
G331	被革除
G332	宣告
G333	重覆察看
G334	許願祭
G335	鹵莽
G336	殺死
G337	拿起
G338	無罪的
G339	坐起
G340	重建
G341	使更新
G342	更新
G343	揭幕
G344	轉回
G345	側躺
G346	集中
G347	傾身向後
G348	攔阻
G349	尖叫
G350	審問
G351	調查
G352	伸直
G353	接
G354	被接上升
G355	耗盡
G356	比率
G357	評定
G358	無鹽的
G359	離去
G360	離散
G361	沒有罪的
G362	等候
G363	想起
G364	記起來
G365	更新
G366	醒悟
G367	亞拿尼亞
G368	不容置辯的
G369	迅速地
G370	不合適
G371	不恭敬地
G372	間歇
G373	舒暢
G374	引起
G375	送回去
G3750001	跳起來
G376	殘廢的
G377	靠後
G378	完成
G379	無可推諉的
G380	展開
G381	點燃
G382	不可勝數的
G383	煽動
G384	包裝
G385	拉上來
G386	復起
G387	逐出
G388	重釘十字架
G389	深深地歎息
G390	推翻
G391	品行
G392	處理
G393	起來
G394	宣布
G395	日出
G396	顛覆
G397	養育
G398	顯出來
G399	帶上
G400	喊叫
G401	流瀉
G402	退去
G403	恢復呼吸
G404	使冷靜
G405	奴役人者
G406	安得烈
G407	行動像男人
G408	安多尼古
G409	謀殺犯
G410	無可指責
G411	無法盡言的
G412	說不出來的
G413	用不盡的
G414	較能忍受的
G415	無憐憫的
G416	隨風飄動
G417	風
G418	不容許的
G419	不能探求出來
G420	忍受傷害
G421	未追蹤出來的
G422	不羞恥的
G423	不被抓住的
G424	上升
G425	鬆弛
G426	調查
G427	無
G428	不適當
G429	找出來
G430	恒忍
G431	同血統的
G432	茴香
G433	達到
G434	殘酷的
G435	人
G436	對抗
G437	稱謝
G438	花
G439	燒著的炭
G440	炭火
G441	求寵於人
G442	人類的
G443	殺人者
G444	人類
G445	作最高行政長官
G446	最高行政長官
G447	鬆開
G448	無情的
G449	未洗淨的
G450	站起
G451	亞拿
G452	亞那
G453	無智慧的
G454	愚昧
G455	揭開
G456	重新建造
G457	開
G458	不法
G459	不法的
G460	不法地
G461	直立起來
G462	不虔誠的
G463	自行抑制
G464	努力對抗
G465	等值交換
G466	補滿
G467	回報
G468	報答
G469	酬答
G470	辯駁
G471	駁斥
G472	堅持
G473	相對
G474	寒喧
G475	抵擋
G476	對頭
G477	相對
G478	從事於抵抗
G479	回請
G480	對立
G481	對面
G482	援助
G483	辯駁
G484	救濟
G485	辯論
G486	對罵
G487	贖價
G488	量還
G489	酬報
G490	安提阿
G491	阿提阿人
G492	沿著對面走去
G493	安提帕
G494	安提帕底
G495	在對面
G496	抗拒
G497	攻擊
G498	定意抵抗
G499	相當的
G500	彌賽亞敵對者
G501	舀上來
G502	舀水器具
G503	面對
G504	無水的
G505	不虛偽的
G506	不服的
G507	向上
G508	地上
G509	從上頭
G510	上級的
G511	較高的
G512	無益的
G513	斧子
G514	應得的
G515	視為有資格
G516	適合地
G517	不能看見的
G518	宣告
G519	自己吊死
G520	除去
G521	未受教育的
G522	取去
G523	要求還報
G524	失去痛感
G525	轉離
G526	疏遠
G527	柔軟的
G528	迎面而來
G529	迎接
G530	從前的
G531	不終止的
G532	沒有預備的
G533	完全的否認
G534	從今
G535	完成
G536	開始獻祭
G537	全部
G5370001	告辭
G538	欺騙
G539	欺瞞
G540	無父的
G541	閃爍出來
G542	完全看見
G543	不信的
G544	不信從
G545	不受勸導的
G546	威脅
G547	脅迫
G548	離開
G549	走開
G550	為自己說不
G551	不能被試探的
G552	沒有經驗的
G553	完全的期待
G554	完全脫去
G555	脫除
G556	革退
G557	反駁
G558	釋放的人
G559	亞比利
G560	盼望出現
G561	在⋯面前
G562	無窮的
G563	未被分心地
G564	未受割禮的
G565	離去
G566	夠了
G567	自行戒絕
G568	得出結果
G569	不相信
G570	不信
G571	不信的
G572	單一
G573	疊在一起
G574	慷慨地
G575	離
G576	上岸
G577	丟棄
G578	望斷於
G579	捨棄
G580	被棄之物
G581	不在
G582	列入
G583	登記
G584	顯露
G585	顯出
G586	獻上十分之一
G587	被接受的
G588	接待
G589	往國外去
G590	遠離本地民眾
G591	贈送
G592	脫離
G593	不贊成
G594	接受
G595	拋棄
G596	倉庫
G597	儲存
G598	擠迫
G599	死去
G600	恢復原狀
G601	除去遮蓋
G602	揭發
G603	切望
G604	使完全和好
G605	復原
G606	被保留
G607	斬首
G608	完全關閉
G609	切斷
G610	斷定
G611	作出結論
G612	回應
G613	隱藏起來
G614	祕密
G615	殺害
G616	生出
G617	輥開
G618	受
G619	完滿享受
G620	棄置
G621	餂淨
G622	全毀
G623	亞玻倫
G624	亞波羅尼亞
G625	亞波羅
G626	分訴
G627	答辯
G628	徹底的洗
G629	付清贖價
G630	完全自由
G631	擦去
G632	分派
G633	洗去
G634	掉下
G635	使入迷途
G636	起航
G637	洗去
G638	悶住
G639	無路可走
G640	困惑
G641	投出
G642	全然奪去
G643	收拾行李
G644	蔭影
G645	抽身離去
G646	叛離
G647	分離
G648	拆去屋頂
G649	打發
G650	奪取
G651	受差遣的
G652	使徒
G653	即席說話
G654	轉回
G655	極其恨惡
G656	被革除
G657	說再見
G658	全部完成
G659	脫去
G660	抖掉
G661	完全付清
G662	顯然的冒險
G663	決定性
G664	嚴厲地
G665	躲開
G666	離去
G667	帶走
G668	逃脫
G669	發表
G670	卸
G671	消耗
G672	走開
G673	分開
G674	呼出
G675	亞比烏
G676	不能進入的
G677	非侵犯的行動
G678	不偏待人
G679	不絆跌
G680	連接
G681	連結
G682	亞腓亞
G683	推開
G684	沉淪
G685	懇求
G686	推論
G687	難道
G688	阿拉伯
G689	亞蘭
G690	阿拉伯人
G691	不作事
G692	閒
G693	銀做的
G694	含銀的
G695	銀匠
G696	銀
G697	亞略巴古
G698	亞略巴古的
G699	慇懃
G700	合意
G701	合意的
G702	亞哩達
G703	有男子氣
G704	羔羊
G705	數點
G706	數目
G707	亞利馬太
G708	亞里達古
G709	取用主要的一餐
G710	左手
G711	亞利多布
G712	最佳的一餐
G713	滿意的
G714	避免
G715	熊
G716	馬車
G717	哈米吉多頓
G718	接合
G719	關節
G720	矛盾
G721	小羊
G722	犁耕
G723	犁
G724	劫奪
G725	搶劫
G726	捉
G727	強取的
G728	定金
G729	未縫過的
G730	男人
G731	未說出來的
G732	虛弱的
G733	親男色者
G734	亞提馬
G735	亞底米
G736	備妥風帆
G737	剛才
G738	才生的
G739	新到的
G740	餅
G741	預備
G742	亞法撒
G743	天使長
G744	原始的
G745	亞基老
G746	開始
G747	最高帶領人
G748	大祭司的
G749	大祭司
G750	牧長
G751	亞基布
G752	會堂服事管理者
G753	承造首領
G754	稅務首長
G755	宴會總管
G756	著手
G757	作第一
G758	第一
G759	芬香
G760	亞撒
G761	不搖動的
G762	不被熄滅的
G763	不敬虔
G764	不敬虔
G765	不敬虔的
G766	邪蕩
G767	無記號的
G768	亞設
G769	軟弱
G770	軟弱
G771	良心的猶預
G772	無力
G773	亞西亞
G774	亞西亞人
G775	亞西亞首領
G776	禁食
G777	無食物的
G778	精心作成
G779	皮袋
G780	樂意
G781	不智的
G782	擁抱
G783	問候
G784	無瑕疵的
G785	圓盾
G786	不奠酒的
G787	一分銀子
G788	更接近地
G789	亞朔
G790	無定所的
G791	文雅的
G792	星
G793	不固定的
G794	硬心的
G795	失了目標
G796	閃電
G797	閃光
G798	星群
G799	亞遜其土
G800	不和諧的
G801	無智力的
G802	不同意
G803	穩妥
G804	穩妥的
G805	使穩妥
G806	穩妥地
G807	不合適的
G808	不禮貌
G809	不雅觀的
G810	無救
G811	放蕩地
G812	不按規矩行
G813	不守規矩的
G814	不按規矩地
G815	沒有孩子的
G816	專心凝視
G817	遠離
G818	用不正當的手法
G819	卑賤
G820	未受重視的
G821	凌辱
G822	霧
G823	不能分割
G824	離了本位
G825	亞大利
G826	光照
G827	光線
G828	亞古士督
G829	自悅
G830	自己選擇的
G831	憑己意而行
G832	吹笛
G833	場地
G834	吹笛手
G835	過夜
G836	笛
G837	生長
G838	增長
G839	新近地
G840	粗糙的
G841	自滿
G842	自足的
G843	自己定罪
G844	自動的
G845	親眼看見
G846	自己
G847	相同地
G848	自己
G8480001	正在行竊時被捕
G849	親手
G8490001	自誇
G850	不鮮明
G851	除去
G852	不顯然的
G853	使成不明顯的
G854	消失
G855	不顯示的
G856	個別坐下的地方
G857	不愛惜
G858	光滑
G859	自由
G860	韌帶
G861	不朽壞
G862	不朽壞的
G8620001	未朽壞
G863	遣去
G864	傳布
G865	反美德的
G866	不貪財的
G867	到達
G868	除去
G869	突然地
G870	無懼地
G871	使成相似
G872	視為
G873	分開
G874	出發點
G875	口流泡沫
G876	泡沫
G877	無知
G878	無知的
G879	適於喚醒
G880	無聲的
G881	亞哈斯
G882	亞該亞
G883	亞該古
G884	忘恩的
G885	亞金
G886	非人手所造的
G887	矇矓
G888	無用的
G889	變為無用
G890	無益的
G891	直到
G892	糠
G893	誠實的
G894	茵蔯
G895	無生命的
G896	巴力
G897	巴比倫
G898	步
G899	深奧
G900	加深
G901	極深的
G9010001	極深的
G902	棕樹枝
G903	巴蘭
G904	巴勒
G905	錢袋
G906	拋
G907	將人淹沒
G908	施浸
G909	沐浴
G910	施浸的
G911	淹沒
G912	巴拉巴
G913	巴拉
G914	巴拉加
G915	化外人
G916	使負重荷
G917	沉重地
G918	巴多羅買
G919	巴耶穌
G920	巴約拿
G921	巴拿巴
G922	重量
G923	巴撒巴
G924	巴底買
G925	加重擔
G926	煩重的
G927	極有價值的
G928	受苦
G929	痛苦
G930	掌刑的
G931	試金石
G932	國
G933	宮殿
G934	王的
G935	君主
G936	統治
G937	王朝的
G938	皇后
G939	腳步
G940	誹謗
G941	舉起
G942	荊棘
G943	簍
G944	青蛙
G945	重複說話
G946	可憎恨的人或物
G947	可憎惡的
G948	憎恨
G949	堅定不移的
G950	使堅固
G951	固定
G952	易受引誘的
G953	褻瀆
G954	污穢邪神
G955	彼列
G9550001	標槍
G956	火箭
G957	較佳的
G958	便雅憫
G959	百尼基
G960	庇哩亞
G961	庇哩亞人
G962	伯大巴喇
G963	伯大尼
G964	畢士大
G965	伯利恆
G966	伯賽大
G967	伯法其
G968	臺階
G969	綠寶石
G970	力
G971	用力
G972	暴力的
G973	強迫
G974	小冊子
G975	卷
G976	書卷
G977	喫
G978	庇推尼
G979	生活
G980	度日
G981	活著
G982	今生的事
G983	有害的
G984	妨礙
G985	發芽
G986	伯拉斯都
G987	詆毀
G988	毀謗
G989	褻瀆的
G990	視覺
G991	看見
G992	被安排
G993	雷子
G994	喊叫
G995	大喊
G996	援助
G997	援助
G998	援助者
G999	洞
G1000	拋
G1001	拋投鉛錘
G1002	箭
G1003	波阿斯
G1004	泥
G1005	北
G1006	草場
G1007	比珥
G1008	草本植物
G1009	一串葡萄
G1010	諮詢者
G1011	勸告
G1012	旨意
G1013	決定
G1014	願意
G1015	小丘
G1016	牛
G1017	獎賞
G1018	仲裁
G1019	耽延
G1020	慢慢地航行
G1021	緩慢
G1022	延緩
G1023	膀臂
G1024	短
G1025	嬰孩
G1026	濕潤
G1027	雷
G1028	雨
G1029	羅網
G1030	咬牙切齒
G1031	咬嚼
G1032	溢出
G1033	食物
G1034	可喫的
G1035	食
G1036	沉下去
G1037	深
G1038	製革者
G1039	細麻布製的
G1040	細麻布
G1041	壇
G1042	厄巴大
G1043	加百列
G1044	潰瘍
G1045	迦得
G1046	格拉森人
G1047	財寶
G1048	迦薩
G1049	寶藏
G1050	該猶
G1051	奶
G1052	加拉太人
G1053	加拉太
G1054	加拉太的
G1055	寧靜
G1056	加利利
G1057	加利利人
G1058	迦流
G1059	迦瑪列
G1060	結合
G1061	擇配
G1062	結婚
G1063	理由
G1064	胃
G1065	確實
G1066	基甸
G1067	欣嫩子谷
G1068	客西馬尼
G1069	鄰居
G1070	笑
G1071	笑聲
G1072	完全裝滿
G1073	使增大
G1074	代
G1075	清點族譜
G1076	世代溯源
G1077	生日
G1078	誕生
G1079	出生
G10790001	產生
G1080	生育
G1081	後裔
G1082	革尼撒勒
G1083	誕生
G1084	所生的
G1085	親戚
G1086	加大拉的
G1087	長老
G1088	年老的
G1089	嘗
G1090	耕種
G1091	可耕種的
G1092	耕種者
G1093	地
G1094	年老
G1095	衰老
G1096	成為
G1097	知道
G1098	新酒
G1099	甜
G1100	舌
G1101	盒
G1102	漂布者
G1103	合法的
G1104	真正地
G1105	陰暗
G1106	認識
G1107	知識
G1108	知識
G1109	知曉者
G1110	熟悉的
G1111	發怨言
G1112	發怨言的
G1113	發怨言者
G1114	巫術家
G1115	各各他
G1116	蛾摩拉
G1117	裝載
G1118	父母
G1119	膝
G1120	屈膝
G1121	書寫
G1122	書寫者
G1123	刻在
G1124	文件
G1125	銘記
G1126	像老婦的
G1127	保持醒覺
G1128	赤裸著運動
G1129	操練
G1130	露體
G1131	赤裸的
G1132	赤身
G1133	氣量小的女人
G1134	女人
G1135	婦女
G1136	歌革
G1137	角落
G1138	大衛
G1139	被鬼附
G1140	鬼魔
G1141	似鬼的
G1142	鬼
G1143	咬
G1144	眼淚
G1145	流淚
G1146	指環
G1147	手指
G1148	大瑪努他
G1149	撻馬太
G1150	制伏
G1151	母牛犢
G1152	大馬哩
G1153	大馬色的
G1154	大馬色
G1155	借貸
G1156	貸款
G1157	債主
G1158	但以理
G1159	消耗
G1160	花費
G1161	但
G1162	祈求
G1163	必須
G1164	樣品
G1165	陳列
G1166	顯示
G1167	膽怯
G1168	膽怯
G1169	膽怯的
G1170	某人
G1171	可佈的
G1172	用餐
G1173	晚餐
G1174	很迷信的
G1175	迷信
G1176	十
G1177	十和二
G1178	十和五
G1179	低加波利
G1180	十和四
G1181	十分之一
G1182	第十的
G1183	納十分之一
G1184	認可的
G1185	餌誘
G1186	樹
G1187	衛士
G1188	右邊
G1189	求
G11890001	敬畏
G1190	特庇人
G1191	特庇
G1192	皮
G1193	皮的
G1194	痛打
G1195	作捆綁者
G1196	綁
G1197	捆
G1198	俘虜
G1199	鎖鏈
G1200	獄卒
G1201	囚禁的地方
G1202	俘虜
G1203	絕對的統治者
G1204	此處
G1205	來到此處
G1206	第二天
G1207	第二個
G1208	第二的
G1209	領受
G1210	捆綁
G1211	於是
G1212	明確的
G1213	使其清楚
G1214	底馬
G1215	民眾-聚集者
G1216	低米丟
G1217	民眾服務者
G1218	公眾
G1219	公眾的
G1220	古羅馬銀幣
G1221	的確
G1222	確是無疑的
G1223	經過
G1224	橫過
G1225	詆毀
G1226	徹底的證實
G1227	看透了
G1228	詆毀者
G1229	周全地傳布
G1230	消逝之際
G1231	徹底的知道
G1232	傳開
G1233	訊問
G1234	到處訴苦
G1235	徹底清醒
G1236	經過
G1237	依順序領受
G1238	冠冕
G1239	全給出去
G1240	繼承者
G1241	束緊
G1242	合約
G1243	區別
G1244	分開
G1245	全然地潔淨
G1246	徹底的證明
G1247	伺候
G1248	服事的職務
G1249	侍者
G1250	二百
G1251	徹底的聽
G1252	徹底分開
G1253	判斷
G1254	攔住
G1255	商議
G1256	周全的說話
G1257	中止
G1258	談論
G1259	徹底燮更
G1260	深思熟慮
G1261	議論
G1262	完全解散
G1263	誠摯證實
G1264	勇猛的抵抗
G1265	一直停住
G1266	完全的分開
G1267	分裂
G1268	散佈
G1269	用動作點頭
G1270	想法
G1271	深思
G1272	完全打開
G1273	整夜不睡
G1274	徹底的完成
G1275	經常
G1276	完全渡過去
G1277	航行過去
G1278	歷盡辛勞
G1279	經過
G1280	很困惑
G1281	全然忙碌
G1282	鋸斷
G1283	侵襲
G1284	撕開
G1285	使徹底明白
G1286	徹底的搖動
G1287	浪費
G1288	扯碎
G1289	到處散播
G1290	散布
G1291	打發出去
G1292	間歇
G1293	分別
G1294	曲解
G1295	全然拯救
G1296	處理
G1297	安排
G1298	徹底的攪擾
G1299	周全的安排
G1300	徹底完成
G1301	徹底的看守
G1302	甚麼原因
G1303	部署
G1304	消磨
G1305	滋養品
G1306	微光通過
G1307	透明的
G1308	帶過去
G1309	脫逃
G1310	完全的傳揚出去
G1311	全然敗壞
G1312	朽壞
G1313	不同
G1314	完備的守衛
G1315	下手處決
G13150001	嘲弄
G1316	完全移開
G1317	教訓的
G1318	所教訓的
G1319	教訓
G1320	教導者
G1321	教
G1322	教訓
G1323	兩個銀幣
G1324	低土馬
G1325	給
G1326	完全醒著
G13260001	深思
G1327	通路
G1328	講解者
G1329	講解
G1330	走過
G1331	徹底查詢
G1332	兩年的時間
G1333	兩年
G1334	充分敘述
G1335	述說
G1336	一直延伸
G1337	有兩波浪的
G1338	完全達到
G1339	站開
G1340	堅決斷言
G1341	公義判決
G1342	公平的
G1343	公平
G1344	稱義
G1345	公平的行為
G1346	公平地
G1347	宣告無罪
G1348	審判官
G1349	公正
G1350	漁網
G1351	說模稜兩可的話
G1352	藉此
G1353	旅行通過
G1354	丟尼修
G1355	全然如此
G1356	天空落下
G13560001	改革
G1357	徹底整頓
G1358	挖透
G1359	丟斯之雙子
G1360	正是為此
G1361	丟特腓
G1362	兩倍的
G1363	給與兩倍
G1364	兩次
G1365	雙重的
G1366	兩刃的
G1367	二千
G1368	濾出來
G1369	分開
G1370	分裂
G1371	分切為二
G1372	渴
G1373	口渴
G1374	雙魂的
G1375	迫害
G1376	迫害者
G1377	追求
G1378	律法
G1379	按照規定
G1380	想
G1381	試驗
G1382	考驗
G1383	檢驗
G1384	可接受的
G1385	棒
G1386	狡計的
G1387	用狡計
G1388	詭計
G1389	誘入陷阱
G1390	禮品
G1391	榮耀
G1392	得榮
G1393	多加
G1394	贈品
G1395	給與者
G1396	奴隸監工
G1397	奴役
G1398	作奴隸
G1399	女奴隸
G1400	卑屈的
G1401	奴僕
G1402	奴役
G1403	款待
G1404	龍
G1405	抓緊
G1406	銀幣
G1407	鐮刀
G1408	賽跑
G1409	土西拉
G1410	能
G1411	能力
G1412	使能夠
G1413	統治者
G1414	能勝任的
G1415	有力的
G1416	落下
G1417	二
G1418	硬
G1419	難忍的
G1420	痢疾
G1421	難以解明
G1422	對食物有苛求的
G1423	難於實行的
G1424	日落
G1425	難明白的
G14250001	說中傷的話
G1426	誹謗
G1427	二和十
G1428	第十二
G1429	十二支派
G1430	廈
G1431	報酬
G1432	無故地
G1433	賜給
G1434	贈與
G1435	禮物
G1436	由它去罷
G1437	如果
G14370001	果若
G1438	他自己
G1439	允許
G1440	七十
G1441	七十次
G1442	第七
G1443	希伯
G1444	希伯來的
G1445	希伯來人
G1446	希伯來語
G1447	希伯來語的
G1448	靠近
G1449	雕刻
G1450	保證人
G1451	近
G1452	較近
G1453	醒
G1454	復起者
G1455	暗中引進的
G1456	革新
G1457	更新
G14570001	灰心
G1458	告
G1459	撇棄於⋯中
G1460	住在其間
G14600001	自豪
G1461	刺入
G1462	控以罪名
G1463	束上腰帶
G1464	阻礙
G1465	妨礙
G1466	節制
G1467	自制
G1468	自持
G1469	算在-其中
G1470	隱藏在內
G1471	身孕重了
G1472	敷膏
G1473	我
G1474	摧毀
G1475	基礎
G1476	坐定的
G1477	支承
G1478	希西家
G1479	自願的敬虔
G1480	習慣於
G1481	地區統治者
G1482	外邦人
G1483	似外邦人
G1484	種族
G1485	習慣
G1486	習常
G1487	若
G1488	你是
G1489	果真
G1490	即或不然
G1491	觀察
G1492	看見
G1493	偶像寺院
G1494	偶像祭品
G1495	偶像崇拜
G1496	偶像崇拜者
G1497	偶像
G1498	應是
G1499	若也是
G1500	無用地
G1501	廿
G1502	情願軟弱
G1503	相似
G1504	相像
G1505	純真
G1506	經日光察驗過的
G1507	盤繞
G1508	若不
G1509	若非有些
G1510	是
G1511	存在
G1512	若可能
G1513	或許
G1514	和睦
G1515	平安
G1516	平安的
G1517	成就和平
G1518	使人和睦的人
G1519	到
G1520	一
G1521	引入
G1522	傾聽
G1523	信任
G1524	進去
G1525	進來
G1526	他們是
G1527	個別地
G1528	邀請進去
G1529	入口
G1530	衝入
G1531	進去
G1532	急忙向內
G1533	搬向內
G1534	屆時
G1535	若也
G1536	若有人
G1537	出
G1538	各
G1539	每次
G1540	一百
G1541	一百歲的
G1542	一百倍
G1543	百人隊長
G15430001	出來
G1544	逐出
G1545	出口
G1546	放逐
G1547	嫁女兒
G1548	嫁女兒
G1549	後裔
G1550	消耗
G1551	接受
G1552	完全顯明的
G1553	移居
G1554	發出
G1555	詳盡敘說
G1556	辯護
G1557	辯白
G1558	伸張公義
G1559	趕出去
G1560	被交出去
G1561	期望
G1562	脫去
G1563	在那裏
G1564	由彼處
G1565	那一個
G1566	到彼處
G1567	搜索
G15670001	探詢
G1568	極其驚駭
G1569	非常驚訝
G15690001	大大驚奇
G1570	逐出
G1571	徹底的潔淨
G1572	強烈的著火
G1573	軟弱
G1574	戳穿
G1575	切除
G1576	排除
G1577	召出來的
G1578	偏離
G1579	游水潛逃
G1580	抬向前
G1581	砍斷
G15810001	大叫
G1582	傾聽
G1583	告訴
G1584	發亮
G1585	完全忘記
G1586	挑選
G1587	略去
G1588	選出的
G1589	揀選
G1590	鬆弛
G1591	揉去
G1592	報以譏誚
G1593	悄悄溜出去
G1594	清醒過來
G1595	自願
G1596	自願地
G1597	很久以前
G1598	徹底的試驗
G1599	差遣
G15990001	極力地
G1600	飛出去
G16000001	向前跳
G1601	墜落
G1602	坐船離開
G1603	完全實現
G1604	完成
G1605	驚異的打擊
G1606	斷氣
G1607	出來
G1608	一味的行淫
G1609	吐出
G1610	連根拔出
G1611	心思偏離
G1612	誤入歧途
G1613	全然的攪擾
G1614	伸展
G1615	完全的完成
G1616	專心
G1617	更為專心的
G1618	專心的
G1619	專心地
G1620	闡述
G1621	猛抖
G1622	外面
G1623	第六
G1624	偏離
G1625	養育長大
G1626	小產
G1627	抬出去
G1628	逃出去
G1629	非常喫驚
G1630	嚇呆了
G1631	長出
G1632	流出來
G1633	離開
G1634	斷氣
G1635	自願的
G1636	橄欖
G1637	橄欖油
G1638	橄欖園
G1639	以攔人
G1640	較小的
G1641	缺少
G1642	減輕
G1643	推
G1644	輕浮
G1645	輕的
G1646	最小的
G1647	甚小
G1648	以利亞撒
G16480001	譴責
G1649	辯駁
G1650	證明
G1651	駁倒
G1652	令人同情
G1653	憐恤
G1654	憐恤
G1655	憐恤的
G1656	憐恤
G1657	自由
G1658	無約束的
G1659	釋放
G1660	到來
G1661	象牙的
G1662	以利亞敬
G1663	以利以謝
G1664	以律
G1665	以利沙伯
G1666	以利沙
G1667	盤繞
G1668	瘡
G1669	生滿了瘡
G1670	拖曳
G1671	希臘
G1672	希臘人
G1673	希臘語
G1674	希臘人
