1	G70971	Βίβλος
89	G73459	τὸν
90	G70930	βασιλέα
91	G71157	Δαυὶδ
92	G71158	δὲ
93	G71078	ἐγέννησεν
94	G73459	τὸν
95	G74533	Σολομῶνα
96	G71527	ἐκ
97	G73459	τῆς
98	G73459	τοῦ
99	G73647	Οὐρίου
100	G74533	Σολομὼν
101	G71158	δὲ
102	G71078	ἐγέννησεν
103	G73459	τὸν
104	G74362	Ῥοβοάμ
105	G74362	Ῥοβοὰμ
106	G71158	δὲ
107	G71078	ἐγέννησεν
108	G73459	τὸν
109	G70006	Ἀβιά
110	G70006	Ἀβιὰ
111	G71158	δὲ
112	G71078	ἐγέννησεν
113	G73459	τὸν
114	G70753	Ἀσάφ
115	G70753	Ἀσὰφ
116	G71158	δὲ
117	G71078	ἐγέννησεν
118	G73459	τὸν
119	G72483	Ἰωσαφάτ
120	G72483	Ἰωσαφὰτ
121	G71158	δὲ
122	G71078	ἐγέννησεν
123	G73459	τὸν
124	G72481	Ἰωράμ
125	G72481	Ἰωρὰμ
126	G71158	δὲ
127	G71078	ἐγέννησεν
128	G73459	τὸν
129	G73474	Ὀζίαν
130	G73474	Ὀζίας
131	G71158	δὲ
132	G71078	ἐγέννησεν
133	G73459	τὸν
134	G72470	Ἰωαθάμ
135	G72470	Ἰωαθὰμ
136	G71158	δὲ
137	G71078	ἐγέννησεν
138	G73459	τὸν
139	G70875	Ἀχάζ
140	G70875	Ἀχὰζ
141	G71158	δὲ
142	G71078	ἐγέννησεν
143	G73459	τὸν
144	G71481	Ἑζεκίαν
145	G71481	Ἑζεκίας
146	G71158	δὲ
147	G71078	ἐγέννησεν
148	G73459	τὸν
149	G73115	Μανασσῆ
150	G73115	Μανασσῆς
151	G71158	δὲ
152	G71078	ἐγέννησεν
153	G73459	τὸν
154	G70305	Ἀμώς
155	G70305	Ἀμὼς
156	G71158	δὲ
157	G71078	ἐγέννησεν
158	G73459	τὸν
159	G72487	Ἰωσίαν
160	G72487	Ἰωσίας
161	G71158	δὲ
162	G71078	ἐγέννησεν
163	G73459	τὸν
164	G72408	Ἰεχονίαν
165	G72518	καὶ
166	G73459	τοὺς
167	G70081	ἀδελφοὺς
168	G70838	αὐτοῦ
169	G71902	ἐπὶ
170	G73459	τῆς
171	G73233	μετοικεσίας
172	G70893	Βαβυλῶνος
173	G73208	Μετὰ
174	G71158	δὲ
175	G73459	τὴν
176	G73233	μετοικεσίαν
177	G70893	Βαβυλῶνος
178	G72408	Ἰεχονίας
179	G71078	ἐγέννησεν
180	G73459	τὸν
181	G74392	Σαλαθιήλ
182	G74392	Σαλαθιὴλ
183	G71158	δὲ
184	G71078	ἐγέννησεν
185	G73459	τὸν
186	G72207	Ζοροβαβέλ
187	G72207	Ζοροβαβὲλ
188	G71158	δὲ
189	G71078	ἐγέννησεν
190	G73459	τὸν
191	G70009	Ἀβιούδ
192	G70009	Ἀβιοὺδ
193	G71158	δὲ
194	G71078	ἐγέννησεν
195	G73459	τὸν
196	G71655	Ἐλιακίμ
197	G71655	Ἐλιακὶμ
198	G71158	δὲ
199	G71078	ἐγέννησεν
200	G73459	τὸν
201	G70108	Ἀζώρ
202	G70108	Ἀζὼρ
203	G71158	δὲ
204	G71078	ἐγέννησεν
205	G73459	τὸν
206	G74388	Σαδώκ
207	G74388	Σαδὼκ
208	G71158	δὲ
209	G71078	ἐγέννησεν
210	G73459	τὸν
211	G70880	Ἀχίμ
212	G70880	Ἀχὶμ
213	G71158	δὲ
214	G71078	ἐγέννησεν
215	G73459	τὸν
216	G71657	Ἐλιούδ
217	G71657	Ἐλιοὺδ
218	G71158	δὲ
219	G71078	ἐγέννησεν
220	G73459	τὸν
221	G71640	Ἐλεάζαρ
222	G71640	Ἐλεάζαρ
223	G71158	δὲ
224	G71078	ἐγέννησεν
225	G73459	τὸν
226	G73144	Ματθάν
227	G73144	Ματθὰν
228	G71158	δὲ
229	G71078	ἐγέννησεν
230	G73459	τὸν
231	G72369	Ἰακώβ
232	G72369	Ἰακὼβ
233	G71158	δὲ
234	G71078	ἐγέννησεν
235	G73459	τὸν
236	G72485	Ἰωσὴφ
237	G73459	τὸν
238	G70439	ἄνδρα
239	G73124	Μαρίας
240	G71527	ἐξ
241	G73613	ἧς
242	G71078	ἐγεννήθη
243	G72409	Ἰησοῦς
244	G73459	ὁ
245	G72989	λεγόμενος
246	G75388	χριστός
247	G73827	Πᾶσαι
248	G73640	οὖν
249	G73459	αἱ
250	G71071	γενεαὶ
251	G70571	ἀπὸ
252	G70010	Ἀβραὰμ
253	G72183	ἕως
254	G71157	Δαυὶδ
255	G71071	γενεαὶ
256	G71177	δεκατέσσαρες
257	G72518	καὶ
258	G70571	ἀπὸ
259	G71157	Δαυὶδ
260	G72183	ἕως
261	G73459	τῆς
262	G73233	μετοικεσίας
263	G70893	Βαβυλῶνος
264	G71071	γενεαὶ
265	G71177	δεκατέσσαρες
266	G72518	καὶ
267	G70571	ἀπὸ
268	G73459	τῆς
269	G73233	μετοικεσίας
270	G70893	Βαβυλῶνος
271	G72183	ἕως
272	G73459	τοῦ
273	G75388	χριστοῦ
274	G71071	γενεαὶ
275	G71177	δεκατέσσαρες
276	G73459	Τοῦ
277	G71158	δὲ
278	G72409	Ἰησοῦ
279	G75388	χριστοῦ
280	G73459	ἡ
281	G71075	γένεσις
282	G73652	οὕτως
283	G71503	ἦν
284	G73297	μνηστευθείσης
285	G73459	τῆς
286	G73263	μητρὸς
287	G70838	αὐτοῦ
288	G73124	Μαρίας
289	G73459	τῷ
290	G72485	Ἰωσήφ
291	G74119	πρὶν
292	G72219	ἢ
293	G74764	συνελθεῖν
294	G70838	αὐτοὺς
295	G72137	εὑρέθη
296	G71713	ἐν
297	G71061	γαστρὶ
298	G72182	ἔχουσα
299	G71527	ἐκ
300	G74021	πνεύματος
301	G70041	ἁγίου
302	G72485	Ἰωσὴφ
303	G71158	δὲ
304	G73459	ὁ
305	G70439	ἀνὴρ
306	G70838	αὐτῆς
307	G71340	δίκαιος
308	G71503	ὢν
309	G72518	καὶ
310	G73244	μὴ
311	G72294	θέλων
312	G70838	αὐτὴν
313	G71162	δειγματίσαι
314	G71009	ἐβουλήθη
315	G72964	λάθρᾳ
316	G70625	ἀπολῦσαι
317	G70838	αὐτήν
318	G73651	ταῦτα
319	G71158	δὲ
320	G70838	αὐτοῦ
321	G71755	ἐνθυμηθέντος
322	G72384	ἰδοὺ
323	G70033	ἄγγελος
324	G72949	κυρίου
325	G72579	κατ’
326	G73552	ὄναρ
327	G75163	ἐφάνη
328	G70838	αὐτῷ
329	G72989	λέγων
330	G72485	Ἰωσὴφ
331	G75057	υἱὸς
332	G71157	Δαυίδ
333	G73244	μὴ
334	G75243	φοβηθῇς
335	G73749	παραλαβεῖν
336	G73124	Μαρίαν
337	G73459	τὴν
338	G71132	γυναῖκά
339	G74631	σου
340	G73459	τὸ
341	G71060	γὰρ
342	G71713	ἐν
343	G70838	αὐτῇ
344	G71078	γεννηθὲν
345	G71527	ἐκ
346	G74021	πνεύματός
347	G71503	ἐστιν
348	G70041	ἁγίου
349	G74945	τέξεται
350	G71158	δὲ
351	G75057	υἱὸν
352	G72518	καὶ
353	G72549	καλέσεις
354	G73459	τὸ
355	G73561	ὄνομα
356	G70838	αὐτοῦ
357	G72409	Ἰησοῦν
358	G70838	αὐτὸς
359	G71060	γὰρ
360	G74844	σώσει
361	G73459	τὸν
362	G72981	λαὸν
363	G70838	αὐτοῦ
364	G70571	ἀπὸ
365	G73459	τῶν
366	G70268	ἁμαρτιῶν
367	G70838	αὐτῶν
368	G73651	τοῦτο
369	G71158	δὲ
370	G73524	ὅλον
371	G71093	γέγονεν
372	G72427	ἵνα
373	G74007	πληρωθῇ
374	G73459	τὸ
375	G72989	ῥηθὲν
376	G75105	ὑπὸ
377	G72949	κυρίου
378	G71219	διὰ
379	G73459	τοῦ
380	G74262	προφήτου
381	G72989	λέγοντος
382	G72384	Ἰδοὺ
383	G73459	ἡ
384	G73804	παρθένος
385	G71713	ἐν
386	G71061	γαστρὶ
387	G72182	ἕξει
388	G72518	καὶ
389	G74945	τέξεται
390	G75057	υἱόν
391	G72518	καὶ
392	G72549	καλέσουσιν
393	G73459	τὸ
394	G73561	ὄνομα
395	G70838	αὐτοῦ
396	G71686	Ἐμμανουήλ
397	G73613	ὅ
398	G71503	ἐστιν
399	G73160	μεθερμηνευόμενον
400	G73208	Μεθ’
401	G71476	ἡμῶν
402	G73459	ὁ
403	G72301	θεός
404	G71454	ἐγερθεὶς
405	G71158	δὲ
406	G73459	ὁ
407	G72485	Ἰωσὴφ
408	G70571	ἀπὸ
409	G73459	τοῦ
410	G75104	ὕπνου
411	G74030	ἐποίησεν
412	G75452	ὡς
413	G74235	προσέταξεν
414	G70838	αὐτῷ
415	G73459	ὁ
416	G70033	ἄγγελος
417	G72949	κυρίου
418	G72518	καὶ
419	G73749	παρέλαβεν
420	G73459	τὴν
421	G71132	γυναῖκα
422	G70838	αὐτοῦ
423	G72518	καὶ
424	G73628	οὐκ
425	G71094	ἐγίνωσκεν
426	G70838	αὐτὴν
427	G72183	ἕως
428	G73613	οὗ
429	G74945	ἔτεκεν
430	G75057	υἱόν
431	G72518	καὶ
432	G72549	ἐκάλεσεν
433	G73459	τὸ
434	G73561	ὄνομα
435	G70838	αὐτοῦ
436	G72409	Ἰησοῦν
437	G73459	Τοῦ
438	G71158	δὲ
439	G72409	Ἰησοῦ
440	G71078	γεννηθέντος
441	G71713	ἐν
442	G70959	Βηθλέεμ
443	G73459	τῆς
444	G72432	Ἰουδαίας
445	G71713	ἐν
446	G72238	ἡμέραις
447	G72248	Ἡρῴδου
448	G73459	τοῦ
449	G70930	βασιλέως
450	G72384	ἰδοὺ
451	G73082	μάγοι
452	G70571	ἀπὸ
453	G70398	ἀνατολῶν
454	G73725	παρεγένοντο
455	G71511	εἰς
456	G72399	Ἱεροσόλυμα
457	G72989	λέγοντες
458	G74096	Ποῦ
459	G71503	ἐστιν
460	G73459	ὁ
461	G74945	τεχθεὶς
462	G70930	βασιλεὺς
463	G73459	τῶν
464	G72436	Ἰουδαίων
465	G73583	εἴδομεν
466	G71060	γὰρ
467	G70838	αὐτοῦ
468	G73459	τὸν
469	G70784	ἀστέρα
470	G71713	ἐν
471	G73459	τῇ
472	G70398	ἀνατολῇ
473	G72518	καὶ
474	G72056	ἤλθομεν
475	G74220	προσκυνῆσαι
476	G70838	αὐτῷ
477	G70190	ἀκούσας
478	G71158	δὲ
479	G73459	ὁ
480	G70930	βασιλεὺς
481	G72248	Ἡρῴδης
482	G74878	ἐταράχθη
483	G72518	καὶ
484	G73827	πᾶσα
485	G72399	Ἱεροσόλυμα
486	G73208	μετ’
487	G70838	αὐτοῦ
488	G72518	καὶ
489	G74724	συναγαγὼν
490	G73827	πάντας
491	G73459	τοὺς
492	G70742	ἀρχιερεῖς
493	G72518	καὶ
494	G71119	γραμματεῖς
495	G73459	τοῦ
496	G72981	λαοῦ
497	G74308	ἐπυνθάνετο
498	G73715	παρ’
499	G70838	αὐτῶν
500	G74096	ποῦ
501	G73459	ὁ
502	G75388	χριστὸς
503	G71078	γεννᾶται
504	G73459	οἱ
505	G71158	δὲ
506	G72989	εἶπαν
507	G70838	αὐτῷ
508	G71713	Ἐν
509	G70959	Βηθλέεμ
510	G73459	τῆς
511	G72432	Ἰουδαίας
512	G73652	οὕτως
513	G71060	γὰρ
514	G71122	γέγραπται
515	G71219	διὰ
516	G73459	τοῦ
517	G74262	προφήτου
518	G72518	Καὶ
519	G74631	σύ
520	G70959	Βηθλέεμ
521	G71090	γῆ
522	G72438	Ἰούδα
523	G73633	οὐδαμῶς
524	G71639	ἐλαχίστη
525	G71503	εἶ
526	G71713	ἐν
527	G73459	τοῖς
528	G72222	ἡγεμόσιν
529	G72438	Ἰούδα
530	G71527	ἐκ
531	G74631	σοῦ
532	G71060	γὰρ
533	G71823	ἐξελεύσεται
534	G72223	ἡγούμενος
535	G73621	ὅστις
536	G74035	ποιμανεῖ
537	G73459	τὸν
538	G72981	λαόν
539	G71476	μου
540	G73459	τὸν
541	G72455	Ἰσραήλ
542	G74976	Τότε
543	G72248	Ἡρῴδης
544	G72964	λάθρᾳ
545	G72549	καλέσας
546	G73459	τοὺς
547	G73082	μάγους
548	G70197	ἠκρίβωσεν
549	G73715	παρ’
550	G70838	αὐτῶν
551	G73459	τὸν
552	G75391	χρόνον
553	G73459	τοῦ
554	G75163	φαινομένου
555	G70784	ἀστέρος
556	G72518	καὶ
557	G73863	πέμψας
558	G70838	αὐτοὺς
559	G71511	εἰς
560	G70959	Βηθλέεμ
561	G72989	εἶπεν
562	G74068	Πορευθέντες
563	G71825	ἐξετάσατε
564	G70198	ἀκριβῶς
565	G73883	περὶ
566	G73459	τοῦ
567	G73686	παιδίου
568	G71868	ἐπὰν
569	G71158	δὲ
570	G72137	εὕρητε
571	G70519	ἀπαγγείλατέ
572	G71476	μοι
573	G73579	ὅπως
574	G72489	κἀγὼ
575	G72056	ἐλθὼν
576	G74220	προσκυνήσω
577	G70838	αὐτῷ
578	G73459	οἱ
579	G71158	δὲ
580	G70190	ἀκούσαντες
581	G73459	τοῦ
582	G70930	βασιλέως
583	G74068	ἐπορεύθησαν
584	G72518	καὶ
585	G72384	ἰδοὺ
586	G73459	ὁ
587	G70784	ἀστὴρ
588	G73613	ὃν
589	G73583	εἶδον
590	G71713	ἐν
591	G73459	τῇ
592	G70398	ἀνατολῇ
593	G74123	προῆγεν
594	G70838	αὐτούς
595	G72183	ἕως
596	G72056	ἐλθὼν
597	G72458	ἐστάθη
598	G71876	ἐπάνω
599	G73630	οὗ
600	G71503	ἦν
601	G73459	τὸ
602	G73686	παιδίον
603	G73583	ἰδόντες
604	G71158	δὲ
605	G73459	τὸν
606	G70784	ἀστέρα
607	G75307	ἐχάρησαν
608	G75323	χαρὰν
609	G73156	μεγάλην
610	G74832	σφόδρα
611	G72518	καὶ
612	G72056	ἐλθόντες
613	G71511	εἰς
614	G73459	τὴν
615	G73486	οἰκίαν
616	G73583	εἶδον
617	G73459	τὸ
618	G73686	παιδίον
619	G73208	μετὰ
620	G73124	Μαρίας
621	G73459	τῆς
622	G73263	μητρὸς
623	G70838	αὐτοῦ
624	G72518	καὶ
625	G73971	πεσόντες
626	G74220	προσεκύνησαν
627	G70838	αὐτῷ
628	G72518	καὶ
629	G70457	ἀνοίξαντες
630	G73459	τοὺς
631	G72329	θησαυροὺς
632	G70838	αὐτῶν
633	G74242	προσήνεγκαν
634	G70838	αὐτῷ
635	G71436	δῶρα
636	G75398	χρυσὸν
637	G72518	καὶ
638	G73016	λίβανον
639	G72518	καὶ
640	G74529	σμύρναν
641	G72518	καὶ
642	G75378	χρηματισθέντες
643	G72579	κατ’
644	G73552	ὄναρ
645	G73244	μὴ
646	G70348	ἀνακάμψαι
647	G74182	πρὸς
648	G72248	Ἡρῴδην
649	G71219	δι’
650	G70245	ἄλλης
651	G73469	ὁδοῦ
652	G70405	ἀνεχώρησαν
653	G71511	εἰς
654	G73459	τὴν
655	G75403	χώραν
656	G70838	αὐτῶν
657	G70405	Ἀναχωρησάντων
658	G71158	δὲ
659	G70838	αὐτῶν
660	G72384	ἰδοὺ
661	G70033	ἄγγελος
662	G72949	κυρίου
663	G75163	φαίνεται
664	G72579	κατ’
665	G73552	ὄναρ
666	G73459	τῷ
667	G72485	Ἰωσὴφ
668	G72989	λέγων
669	G71454	Ἐγερθεὶς
670	G73749	παράλαβε
671	G73459	τὸ
672	G73686	παιδίον
673	G72518	καὶ
674	G73459	τὴν
675	G73263	μητέρα
676	G70838	αὐτοῦ
677	G72518	καὶ
678	G75189	φεῦγε
679	G71511	εἰς
680	G70127	Αἴγυπτον
681	G72518	καὶ
682	G71503	ἴσθι
683	G71553	ἐκεῖ
684	G72183	ἕως
685	G70306	ἂν
686	G72989	εἴπω
687	G74631	σοι
688	G73176	μέλλει
689	G71060	γὰρ
690	G72248	Ἡρῴδης
691	G72203	ζητεῖν
692	G73459	τὸ
693	G73686	παιδίον
694	G73459	τοῦ
695	G70617	ἀπολέσαι
696	G70838	αὐτό
697	G73459	ὁ
698	G71158	δὲ
699	G71454	ἐγερθεὶς
700	G73749	παρέλαβε
701	G73459	τὸ
702	G73686	παιδίον
703	G72518	καὶ
704	G73459	τὴν
705	G73263	μητέρα
706	G70838	αὐτοῦ
707	G73442	νυκτὸς
708	G72518	καὶ
709	G70405	ἀνεχώρησεν
710	G71511	εἰς
711	G70127	Αἴγυπτον
712	G72518	καὶ
713	G71503	ἦν
714	G71553	ἐκεῖ
715	G72183	ἕως
716	G73459	τῆς
717	G74911	τελευτῆς
718	G72248	Ἡρῴδου
719	G72427	ἵνα
720	G74007	πληρωθῇ
721	G73459	τὸ
722	G72989	ῥηθὲν
723	G75105	ὑπὸ
724	G72949	κυρίου
725	G71219	διὰ
726	G73459	τοῦ
727	G74262	προφήτου
728	G72989	λέγοντος
729	G71527	Ἐξ
730	G70127	Αἰγύπτου
731	G72549	ἐκάλεσα
732	G73459	τὸν
733	G75057	υἱόν
734	G71476	μου
735	G74976	Τότε
736	G72248	Ἡρῴδης
737	G73583	ἰδὼν
738	G73627	ὅτι
739	G71693	ἐνεπαίχθη
740	G75105	ὑπὸ
741	G73459	τῶν
742	G73082	μάγων
743	G72357	ἐθυμώθη
744	G73015	λίαν
745	G72518	καὶ
746	G70642	ἀποστείλας
747	G70341	ἀνεῖλεν
748	G73827	πάντας
749	G73459	τοὺς
750	G73689	παῖδας
751	G73459	τοὺς
752	G71713	ἐν
753	G70959	Βηθλέεμ
754	G72518	καὶ
755	G71713	ἐν
756	G73827	πᾶσι
757	G73459	τοῖς
758	G73599	ὁρίοις
759	G70838	αὐτῆς
760	G70571	ἀπὸ
761	G71330	διετοῦς
762	G72518	καὶ
763	G72720	κατωτέρω
764	G72579	κατὰ
765	G73459	τὸν
766	G75391	χρόνον
767	G73613	ὃν
768	G70197	ἠκρίβωσεν
769	G73715	παρὰ
770	G73459	τῶν
771	G73082	μάγων
772	G74976	τότε
773	G74007	ἐπληρώθη
774	G73459	τὸ
775	G72989	ῥηθὲν
776	G71219	διὰ
777	G72392	Ἰερεμίου
778	G73459	τοῦ
779	G74262	προφήτου
780	G72989	λέγοντος
781	G75300	Φωνὴ
782	G71713	ἐν
783	G74339	Ῥαμὰ
784	G70190	ἠκούσθη
785	G72789	κλαυθμὸς
786	G72518	καὶ
787	G73473	ὀδυρμὸς
788	G74054	πολύς
789	G74346	Ῥαχὴλ
790	G72784	κλαίουσα
791	G73459	τὰ
792	G74900	τέκνα
793	G70838	αὐτῆς
794	G72518	καὶ
795	G73628	οὐκ
796	G72294	ἤθελεν
797	G73740	παρακληθῆναι
798	G73627	ὅτι
799	G73628	οὐκ
800	G71503	εἰσίν
801	G74910	Τελευτήσαντος
802	G71158	δὲ
803	G73459	τοῦ
804	G72248	Ἡρῴδου
805	G72384	ἰδοὺ
806	G70033	ἄγγελος
807	G72949	κυρίου
808	G75163	φαίνεται
809	G72579	κατ’
810	G73552	ὄναρ
811	G73459	τῷ
812	G72485	Ἰωσὴφ
813	G71713	ἐν
814	G70127	Αἰγύπτῳ
815	G72989	λέγων
816	G71454	Ἐγερθεὶς
817	G73749	παράλαβε
818	G73459	τὸ
819	G73686	παιδίον
820	G72518	καὶ
821	G73459	τὴν
822	G73263	μητέρα
823	G70838	αὐτοῦ
824	G72518	καὶ
825	G74068	πορεύου
826	G71511	εἰς
827	G71090	γῆν
828	G72455	Ἰσραήλ
829	G72333	τεθνήκασιν
830	G71060	γὰρ
831	G73459	οἱ
832	G72203	ζητοῦντες
833	G73459	τὴν
834	G75432	ψυχὴν
835	G73459	τοῦ
836	G73686	παιδίου
837	G73459	ὁ
838	G71158	δὲ
839	G71454	ἐγερθεὶς
840	G73749	παρέλαβε
841	G73459	τὸ
842	G73686	παιδίον
843	G72518	καὶ
844	G73459	τὴν
845	G73263	μητέρα
846	G70838	αὐτοῦ
847	G72518	καὶ
848	G71517	εἰσῆλθεν
849	G71511	εἰς
850	G71090	γῆν
851	G72455	Ἰσραήλ
852	G70190	ἀκούσας
853	G71158	δὲ
854	G73627	ὅτι
855	G70738	Ἀρχέλαος
856	G70931	βασιλεύει
857	G73459	τῆς
858	G72432	Ἰουδαίας
859	G70474	ἀντὶ
860	G73459	τοῦ
861	G73833	πατρὸς
862	G70838	αὐτοῦ
863	G72248	Ἡρῴδου
864	G75243	ἐφοβήθη
865	G71553	ἐκεῖ
866	G70563	ἀπελθεῖν
867	G75378	χρηματισθεὶς
868	G71158	δὲ
869	G72579	κατ’
870	G73552	ὄναρ
871	G70405	ἀνεχώρησεν
872	G71511	εἰς
873	G73459	τὰ
874	G73195	μέρη
875	G73459	τῆς
876	G71052	Γαλιλαίας
877	G72518	καὶ
878	G72056	ἐλθὼν
879	G72712	κατῴκησεν
880	G71511	εἰς
881	G74042	πόλιν
882	G72989	λεγομένην
883	G73352	Ναζαρέτ
884	G73579	ὅπως
885	G74007	πληρωθῇ
886	G73459	τὸ
887	G72989	ῥηθὲν
888	G71219	διὰ
889	G73459	τῶν
890	G74262	προφητῶν
891	G73627	ὅτι
892	G73354	Ναζωραῖος
893	G72549	κληθήσεται
894	G71713	Ἐν
895	G71158	δὲ
896	G73459	ταῖς
897	G72238	ἡμέραις
898	G71555	ἐκείναις
899	G73725	παραγίνεται
900	G72473	Ἰωάννης
901	G73459	ὁ
902	G70906	βαπτιστὴς
903	G72769	κηρύσσων
904	G71713	ἐν
905	G73459	τῇ
906	G72040	ἐρήμῳ
907	G73459	τῆς
908	G72432	Ἰουδαίας
909	G72518	καὶ
910	G72989	λέγων
911	G73222	Μετανοεῖτε
912	G71449	ἤγγικεν
913	G71060	γὰρ
914	G73459	ἡ
915	G70927	βασιλεία
916	G73459	τῶν
917	G73645	οὐρανῶν
918	G73651	οὗτος
919	G71060	γάρ
920	G71503	ἐστιν
921	G73459	ὁ
922	G72989	ῥηθεὶς
923	G71219	διὰ
924	G72252	Ἠσαΐου
925	G73459	τοῦ
926	G74262	προφήτου
927	G72989	λέγοντος
928	G75300	Φωνὴ
929	G70989	βοῶντος
930	G71713	ἐν
931	G73459	τῇ
932	G72040	ἐρήμῳ
933	G72077	Ἑτοιμάσατε
934	G73459	τὴν
935	G73469	ὁδὸν
936	G72949	κυρίου
937	G72106	εὐθείας
938	G74030	ποιεῖτε
939	G73459	τὰς
940	G74997	τρίβους
941	G70838	αὐτοῦ
942	G70838	αὐτὸς
943	G71158	δὲ
944	G73459	ὁ
945	G72473	Ἰωάννης
946	G72182	εἶχεν
947	G73459	τὸ
948	G71733	ἔνδυμα
949	G70838	αὐτοῦ
950	G70571	ἀπὸ
951	G72344	τριχῶν
952	G72558	καμήλου
953	G72518	καὶ
954	G72214	ζώνην
955	G71191	δερματίνην
956	G73883	περὶ
957	G73459	τὴν
958	G73624	ὀσφὺν
959	G70838	αὐτοῦ
960	G73459	ἡ
961	G71158	δὲ
962	G75011	τροφὴ
963	G71503	ἦν
964	G70838	αὐτοῦ
965	G70199	ἀκρίδες
966	G72518	καὶ
967	G73174	μέλι
968	G70067	ἄγριον
969	G74976	τότε
970	G71600	ἐξεπορεύετο
971	G74182	πρὸς
972	G70838	αὐτὸν
973	G72399	Ἱεροσόλυμα
974	G72518	καὶ
975	G73827	πᾶσα
976	G73459	ἡ
977	G72432	Ἰουδαία
978	G72518	καὶ
979	G73827	πᾶσα
980	G73459	ἡ
981	G73938	περίχωρος
982	G73459	τοῦ
983	G72430	Ἰορδάνου
984	G72518	καὶ
985	G70903	ἐβαπτίζοντο
986	G71713	ἐν
987	G73459	τῷ
988	G72430	Ἰορδάνῃ
989	G74085	ποταμῷ
990	G75105	ὑπ’
991	G70838	αὐτοῦ
992	G71835	ἐξομολογούμενοι
993	G73459	τὰς
994	G70268	ἁμαρτίας
995	G70838	αὐτῶν
996	G73583	Ἰδὼν
997	G71158	δὲ
998	G74054	πολλοὺς
999	G73459	τῶν
1000	G75177	Φαρισαίων
1001	G72518	καὶ
1002	G74387	Σαδδουκαίων
1003	G72056	ἐρχομένους
1004	G71902	ἐπὶ
1005	G73459	τὸ
1006	G70904	βάπτισμα
1007	G70838	αὐτοῦ
1008	G72989	εἶπεν
1009	G70838	αὐτοῖς
1010	G71079	Γεννήματα
1011	G72181	ἐχιδνῶν
1012	G74958	τίς
1013	G75109	ὑπέδειξεν
1014	G74631	ὑμῖν
1015	G75189	φυγεῖν
1016	G70571	ἀπὸ
1017	G73459	τῆς
1018	G73176	μελλούσης
1019	G73584	ὀργῆς
1020	G74030	ποιήσατε
1021	G73640	οὖν
1022	G72573	καρπὸν
1023	G70515	ἄξιον
1024	G73459	τῆς
1025	G73223	μετανοίας
1026	G72518	καὶ
1027	G73244	μὴ
1028	G71380	δόξητε
1029	G72989	λέγειν
1030	G71713	ἐν
1031	G71440	ἑαυτοῖς
1032	G73833	Πατέρα
1033	G72182	ἔχομεν
1034	G73459	τὸν
1035	G70010	Ἀβραάμ
1036	G72989	λέγω
1037	G71060	γὰρ
1038	G74631	ὑμῖν
1039	G73627	ὅτι
1040	G71410	δύναται
1041	G73459	ὁ
1042	G72301	θεὸς
1043	G71527	ἐκ
1044	G73459	τῶν
1045	G73023	λίθων
1046	G73651	τούτων
1047	G71454	ἐγεῖραι
1048	G74900	τέκνα
1049	G73459	τῷ
