A.APF	adjective, accusative, plural, feminine
RP.GPN	personal pronoun, genitive, plural, neuter
RP.GS	personal pronoun, genitive, singular
RP.GSF	personal pronoun, genitive, singular, feminine
RP.GSM	personal pronoun, genitive, singular, masculine
RP.GSN	personal pronoun, genitive, singular, neuter
RP.NP	personal pronoun, nominative, plural
RP.NPM	personal pronoun, nominative, plural, masculine
RP.NPN	personal pronoun, nominative, plural, neuter
RP.NS	personal pronoun, nominative, singular
RP.NSF	personal pronoun, nominative, singular, feminine
RP.NSM	personal pronoun, nominative, singular, masculine
RP.NSN	personal pronoun, nominative, singular, neuter
RR.APF	relative pronoun, accusative, plural, feminine
RR.APM	relative pronoun, accusative, plural, masculine
RR.APN	relative pronoun, accusative, plural, neuter
RR.ASF	relative pronoun, accusative, singular, feminine
RR.ASM	relative pronoun, accusative, singular, masculine
RR.ASN	relative pronoun, accusative, singular, neuter
RR.DPF	relative pronoun, dative, plural, feminine
RR.DPM	relative pronoun, dative, plural, masculine
RR.DPN	relative pronoun, dative, plural, neuter
RR.DSF	relative pronoun, dative, singular, feminine
RR.DSM	relative pronoun, dative, singular, masculine
RR.DSN	relative pronoun, dative, singular, neuter
RR.GPF	relative pronoun, genitive, plural, feminine
RR.GPM	relative pronoun, genitive, plural, masculine
RR.GPN	relative pronoun, genitive, plural, neuter
RR.GSF	relative pronoun, genitive, singular, feminine
RR.GSM	relative pronoun, genitive, singular, masculine
RR.GSN	relative pronoun, genitive, singular, neuter
RR.NPF	relative pronoun, nominative, plural, feminine
RR.NPM	relative pronoun, nominative, plural, masculine
RR.NPN	relative pronoun, nominative, plural, neuter
RR.NSF	relative pronoun, nominative, singular, feminine
RR.NSM	relative pronoun, nominative, singular, masculine
RR.NSN	relative pronoun, nominative, singular, neuter
V.1AAIP	verb, 1st, aorist, active, indicative, plural
V.1AAIS	verb, 1st, aorist, active, indicative, singular
V.1AASP	verb, 1st, aorist, active, subjunctive, plural
V.1AASS	verb, 1st, aorist, active, subjunctive, singular
V.1AMIP	verb, 1st, aorist, middle, indicative, plural
V.1AMIS	verb, 1st, aorist, middle, indicative, singular
V.1AMOS	verb, 1st, aorist, middle, optative, singular
V.1AMSP	verb, 1st, aorist, middle, subjunctive, plural
V.1AMSS	verb, 1st, aorist, middle, subjunctive, singular
V.1APIP	verb, 1st, aorist, passive, indicative, plural
V.1APIS	verb, 1st, aorist, passive, indicative, singular
V.1APSP	verb, 1st, aorist, passive, subjunctive, plural
V.1APSS	verb, 1st, aorist, passive, subjunctive, singular
V.1FAIP	verb, 1st, future, active, indicative, plural
V.1FAIS	verb, 1st, future, active, indicative, singular
V.1FMIP	verb, 1st, future, middle, indicative, plural
V.1FMIS	verb, 1st, future, middle, indicative, singular
V.1FPIP	verb, 1st, future, passive, indicative, plural
V.1FPIS	verb, 1st, future, passive, indicative, singular
V.1IAIP	verb, 1st, imperfect, active, indicative, plural
V.1IAIS	verb, 1st, imperfect, active, indicative, singular
V.1IMIP	verb, 1st, imperfect, middle, indicative, plural
V.1IMIS	verb, 1st, imperfect, middle, indicative, singular
V.1IPIP	verb, 1st, imperfect, passive, indicative, plural
V.1IPIS	verb, 1st, imperfect, passive, indicative, singular
V.1PAIP	verb, 1st, present, active, indicative, plural
V.1PAIS	verb, 1st, present, active, indicative, singular
V.1PASP	verb, 1st, present, active, subjunctive, plural
V.1PASS	verb, 1st, present, active, subjunctive, singular
V.1PMIP	verb, 1st, present, middle, indicative, plural
V.1PMIS	verb, 1st, present, middle, indicative, singular
V.1PMOS	verb, 1st, present, middle, optative, singular
V.1PMSP	verb, 1st, present, middle, subjunctive, plural
V.1PMSS	verb, 1st, present, middle, subjunctive, singular
V.1PPIP	verb, 1st, present, passive, indicative, plural
V.1PPIS	verb, 1st, present, passive, indicative, singular
V.1PPSP	verb, 1st, present, passive, subjunctive, plural
V.1PPSS	verb, 1st, present, passive, subjunctive, singular
V.1XAIP	verb, 1st, perfect, active, indicative, plural
V.1XAIS	verb, 1st, perfect, active, indicative, singular
V.1XASP	verb, 1st, perfect, active, subjunctive, plural
V.1XASS	verb, 1st, perfect, active, subjunctive, singular
V.1XMIP	verb, 1st, perfect, middle, indicative, plural
V.1XMIS	verb, 1st, perfect, middle, indicative, singular
V.1XPIP	verb, 1st, perfect, passive, indicative, plural
V.1XPIS	verb, 1st, perfect, passive, indicative, singular
V.1YAIS	verb, 1st, pluperfect, active, indicative, singular
V.2AADP	verb, 2nd, aorist, active, imperative, plural
V.2AADS	verb, 2nd, aorist, active, imperative, singular
V.2AAIP	verb, 2nd, aorist, active, indicative, plural
V.2AAIS	verb, 2nd, aorist, active, indicative, singular
V.2AASP	verb, 2nd, aorist, active, subjunctive, plural
V.2AASS	verb, 2nd, aorist, active, subjunctive, singular
V.2AMDP	verb, 2nd, aorist, middle, imperative, plural
V.2AMDS	verb, 2nd, aorist, middle, imperative, singular
V.2AMIP	verb, 2nd, aorist, middle, indicative, plural
V.2AMIS	verb, 2nd, aorist, middle, indicative, singular
V.2AMSP	verb, 2nd, aorist, middle, subjunctive, plural
V.2AMSS	verb, 2nd, aorist, middle, subjunctive, singular
V.2APDP	verb, 2nd, aorist, passive, imperative, plural
V.2APDS	verb, 2nd, aorist, passive, imperative, singular
V.2APIP	verb, 2nd, aorist, passive, indicative, plural
V.2APIS	verb, 2nd, aorist, passive, indicative, singular
V.2APSP	verb, 2nd, aorist, passive, subjunctive, plural
V.2APSS	verb, 2nd, aorist, passive, subjunctive, singular
V.2FAIP	verb, 2nd, future, active, indicative, plural
V.2FAIS	verb, 2nd, future, active, indicative, singular
V.2FMIP	verb, 2nd, future, middle, indicative, plural
V.2FMIS	verb, 2nd, future, middle, indicative, singular
V.2FPIP	verb, 2nd, future, passive, indicative, plural
V.2FPIS	verb, 2nd, future, passive, indicative, singular
V.2IAIP	verb, 2nd, imperfect, active, indicative, plural
V.2IAIS	verb, 2nd, imperfect, active, indicative, singular
V.2IMIP	verb, 2nd, imperfect, middle, indicative, plural
V.2IMIS	verb, 2nd, imperfect, middle, indicative, singular
V.2IPIP	verb, 2nd, imperfect, passive, indicative, plural
V.2PADP	verb, 2nd, present, active, imperative, plural
V.2PADS	verb, 2nd, present, active, imperative, singular
V.2PAIP	verb, 2nd, present, active, indicative, plural
V.2PAIS	verb, 2nd, present, active, indicative, singular
V.2PAOP	verb, 2nd, present, active, optative, plural
V.2PASP	verb, 2nd, present, active, subjunctive, plural
V.2PASS	verb, 2nd, present, active, subjunctive, singular
V.2PMDP	verb, 2nd, present, middle, imperative, plural
V.2PMDS	verb, 2nd, present, middle, imperative, singular
V.2PMIP	verb, 2nd, present, middle, indicative, plural
V.2PMIS	verb, 2nd, present, middle, indicative, singular
V.2PMSP	verb, 2nd, present, middle, subjunctive, plural
V.2PMSS	verb, 2nd, present, middle, subjunctive, singular
V.2PPDP	verb, 2nd, present, passive, imperative, plural
V.2PPDS	verb, 2nd, present, passive, imperative, singular
V.2PPIP	verb, 2nd, present, passive, indicative, plural
V.2PPIS	verb, 2nd, present, passive, indicative, singular
V.2PPSP	verb, 2nd, present, passive, subjunctive, plural
V.2XADP	verb, 2nd, perfect, active, imperative, plural
V.2XAIP	verb, 2nd, perfect, active, indicative, plural
V.2XAIS	verb, 2nd, perfect, active, indicative, singular
V.2XASP	verb, 2nd, perfect, active, subjunctive, plural
V.2XASS	verb, 2nd, perfect, active, subjunctive, singular
V.2XMDP	verb, 2nd, perfect, middle, imperative, plural
V.2XMIP	verb, 2nd, perfect, middle, indicative, plural
V.2XMIS	verb, 2nd, perfect, middle, indicative, singular
V.2XPDS	verb, 2nd, perfect, passive, imperative, singular
V.2XPIP	verb, 2nd, perfect, passive, indicative, plural
V.2XPIS	verb, 2nd, perfect, passive, indicative, singular
V.2YAIP	verb, 2nd, pluperfect, active, indicative, plural
V.2YAIS	verb, 2nd, pluperfect, active, indicative, singular
V.3AADP	verb, 3rd, aorist, active, imperative, plural
V.3AADS	verb, 3rd, aorist, active, imperative, singular
V.3AAIP	verb, 3rd, aorist, active, indicative, plural
V.3AAIS	verb, 3rd, aorist, active, indicative, singular
V.3AAOP	verb, 3rd, aorist, active, optative, plural
V.3AAOS	verb, 3rd, aorist, active, optative, singular
V.3AASP	verb, 3rd, aorist, active, subjunctive, plural
V.3AASS	verb, 3rd, aorist, active, subjunctive, singular
V.3AMDP	verb, 3rd, aorist, middle, imperative, plural
V.3AMDS	verb, 3rd, aorist, middle, imperative, singular
V.3AMIP	verb, 3rd, aorist, middle, indicative, plural
V.3AMIS	verb, 3rd, aorist, middle, indicative, singular
V.3AMOS	verb, 3rd, aorist, middle, optative, singular
V.3AMSP	verb, 3rd, aorist, middle, subjunctive, plural
V.3AMSS	verb, 3rd, aorist, middle, subjunctive, singular
V.3APDP	verb, 3rd, aorist, passive, imperative, plural
V.3APDS	verb, 3rd, aorist, passive, imperative, singular
V.3APIP	verb, 3rd, aorist, passive, indicative, plural
V.3APIS	verb, 3rd, aorist, passive, indicative, singular
V.3APOS	verb, 3rd, aorist, passive, optative, singular
V.3APSP	verb, 3rd, aorist, passive, subjunctive, plural
V.3APSS	verb, 3rd, aorist, passive, subjunctive, singular
V.3FAIP	verb, 3rd, future, active, indicative, plural
V.3FAIS	verb, 3rd, future, active, indicative, singular
V.3FMIP	verb, 3rd, future, middle, indicative, plural
V.3FMIS	verb, 3rd, future, middle, indicative, singular
V.3FPIP	verb, 3rd, future, passive, indicative, plural
V.3FPIS	verb, 3rd, future, passive, indicative, singular
V.3IAIP	verb, 3rd, imperfect, active, indicative, plural
V.3IAIS	verb, 3rd, imperfect, active, indicative, singular
V.3IMIP	verb, 3rd, imperfect, middle, indicative, plural
V.3IMIS	verb, 3rd, imperfect, middle, indicative, singular
V.3IPIP	verb, 3rd, imperfect, passive, indicative, plural
V.3IPIS	verb, 3rd, imperfect, passive, indicative, singular
V.3PADP	verb, 3rd, present, active, imperative, plural
V.3PADS	verb, 3rd, present, active, imperative, singular
V.3PAIP	verb, 3rd, present, active, indicative, plural
V.3PAIS	verb, 3rd, present, active, indicative, singular
V.3PAOP	verb, 3rd, present, active, optative, plural
V.3PAOS	verb, 3rd, present, active, optative, singular
V.3PASP	verb, 3rd, present, active, subjunctive, plural
V.3PASS	verb, 3rd, present, active, subjunctive, singular
V.3PMDP	verb, 3rd, present, middle, imperative, plural
V.3PMDS	verb, 3rd, present, middle, imperative, singular
V.3PMIP	verb, 3rd, present, middle, indicative, plural
V.3PMIS	verb, 3rd, present, middle, indicative, singular
V.3PMOP	verb, 3rd, present, middle, optative, plural
V.3PMOS	verb, 3rd, present, middle, optative, singular
V.3PMSP	verb, 3rd, present, middle, subjunctive, plural
V.3PMSS	verb, 3rd, present, middle, subjunctive, singular
V.3PPDP	verb, 3rd, present, passive, imperative, plural
V.3PPDS	verb, 3rd, present, passive, imperative, singular
V.3PPIP	verb, 3rd, present, passive, indicative, plural
V.3PPIS	verb, 3rd, present, passive, indicative, singular
V.3PPSP	verb, 3rd, present, passive, subjunctive, plural
V.3PPSS	verb, 3rd, present, passive, subjunctive, singular
V.3XAIP	verb, 3rd, perfect, active, indicative, plural
V.3XAIS	verb, 3rd, perfect, active, indicative, singular
V.3XMIP	verb, 3rd, perfect, middle, indicative, plural
V.3XMIS	verb, 3rd, perfect, middle, indicative, singular
V.3XPIP	verb, 3rd, perfect, passive, indicative, plural
V.3XPIS	verb, 3rd, perfect, passive, indicative, singular
V.3YAIP	verb, 3rd, pluperfect, active, indicative, plural
V.3YAIS	verb, 3rd, pluperfect, active, indicative, singular
V.3YMIP	verb, 3rd, pluperfect, middle, indicative, plural
V.3YMIS	verb, 3rd, pluperfect, middle, indicative, singular
V.3YPIS	verb, 3rd, pluperfect, passive, indicative, singular
V.AAN	verb, aorist, active, infinitive
V.AAPAPF	verb, aorist, active, participle, accusative, plural, feminine
V.AAPAPM	verb, aorist, active, participle, accusative, plural, masculine
V.AAPAPN	verb, aorist, active, participle, accusative, plural, neuter
V.AAPASF	verb, aorist, active, participle, accusative, singular, feminine
V.AAPASM	verb, aorist, active, participle, accusative, singular, masculine
V.AAPASN	verb, aorist, active, participle, accusative, singular, neuter
V.AAPDPF	verb, aorist, active, participle, dative, plural, feminine
V.AAPDPM	verb, aorist, active, participle, dative, plural, masculine
V.AAPDSF	verb, aorist, active, participle, dative, singular, feminine
V.AAPDSM	verb, aorist, active, participle, dative, singular, masculine
V.AAPGPM	verb, aorist, active, participle, genitive, plural, masculine
V.AAPGSF	verb, aorist, active, participle, genitive, singular, feminine
V.AAPGSM	verb, aorist, active, participle, genitive, singular, masculine
V.AAPGSN	verb, aorist, active, participle, genitive, singular, neuter
V.AAPNPF	verb, aorist, active, participle, nominative, plural, feminine
V.AAPNPM	verb, aorist, active, participle, nominative, plural, masculine
V.AAPNPN	verb, aorist, active, participle, nominative, plural, neuter
V.AAPNSF	verb, aorist, active, participle, nominative, singular, feminine
V.AAPNSM	verb, aorist, active, participle, nominative, singular, masculine
V.AAPNSN	verb, aorist, active, participle, nominative, singular, neuter
V.AMN	verb, aorist, middle, infinitive
V.AMPAPM	verb, aorist, middle, participle, accusative, plural, masculine
V.AMPAPN	verb, aorist, middle, participle, accusative, plural, neuter
V.AMPASF	verb, aorist, middle, participle, accusative, singular, feminine
V.AMPASM	verb, aorist, middle, participle, accusative, singular, masculine
V.AMPASN	verb, aorist, middle, participle, accusative, singular, neuter
V.AMPDPM	verb, aorist, middle, participle, dative, plural, masculine
V.AMPDPN	verb, aorist, middle, participle, dative, plural, neuter
V.AMPGPF	verb, aorist, middle, participle, genitive, plural, feminine
V.AMPGPM	verb, aorist, middle, participle, genitive, plural, masculine
V.AMPGPN	verb, aorist, middle, participle, genitive, plural, neuter
V.AMPGSF	verb, aorist, middle, participle, genitive, singular, feminine
V.AMPGSM	verb, aorist, middle, participle, genitive, singular, masculine
V.AMPGSN	verb, aorist, middle, participle, genitive, singular, neuter
V.AMPNPF	verb, aorist, middle, participle, nominative, plural, feminine
V.AMPNPM	verb, aorist, middle, participle, nominative, plural, masculine
V.AMPNSF	verb, aorist, middle, participle, nominative, singular, feminine
V.AMPNSM	verb, aorist, middle, participle, nominative, singular, masculine
V.AMPNSN	verb, aorist, middle, participle, nominative, singular, neuter
V.APN	verb, aorist, passive, infinitive
V.APPAPM	verb, aorist, passive, participle, accusative, plural, masculine
V.APPAPN	verb, aorist, passive, participle, accusative, plural, neuter
V.APPASF	verb, aorist, passive, participle, accusative, singular, feminine
V.APPASM	verb, aorist, passive, participle, accusative, singular, masculine
V.APPASN	verb, aorist, passive, participle, accusative, singular, neuter
V.APPDPN	verb, aorist, passive, participle, dative, plural, neuter
V.APPDSF	verb, aorist, passive, participle, dative, singular, feminine
V.APPDSM	verb, aorist, passive, participle, dative, singular, masculine
V.APPDSN	verb, aorist, passive, participle, dative, singular, neuter
V.APPGPF	verb, aorist, passive, participle, genitive, plural, feminine
V.APPGPM	verb, aorist, passive, participle, genitive, plural, masculine
V.APPGPN	verb, aorist, passive, participle, genitive, plural, neuter
V.APPGSF	verb, aorist, passive, participle, genitive, singular, feminine
V.APPGSM	verb, aorist, passive, participle, genitive, singular, masculine
V.APPGSN	verb, aorist, passive, participle, genitive, singular, neuter
V.APPNPF	verb, aorist, passive, participle, nominative, plural, feminine
V.APPNPM	verb, aorist, passive, participle, nominative, plural, masculine
V.APPNPN	verb, aorist, passive, participle, nominative, plural, neuter
V.APPNSF	verb, aorist, passive, participle, nominative, singular, feminine
V.APPNSM	verb, aorist, passive, participle, nominative, singular, masculine
V.APPNSN	verb, aorist, passive, participle, nominative, singular, neuter
V.FAN	verb, future, active, infinitive
V.FAPAPN	verb, future, active, participle, accusative, plural, neuter
V.FAPNPM	verb, future, active, participle, nominative, plural, masculine
V.FAPNSM	verb, future, active, participle, nominative, singular, masculine
V.FMN	verb, future, middle, infinitive
V.FMPASN	verb, future, middle, participle, accusative, singular, neuter
V.FPPGPN	verb, future, passive, participle, genitive, plural, neuter
V.PAN	verb, present, active, infinitive
V.PAPAPF	verb, present, active, participle, accusative, plural, feminine
V.PAPAPM	verb, present, active, participle, accusative, plural, masculine
V.PAPAPN	verb, present, active, participle, accusative, plural, neuter
V.PAPASF	verb, present, active, participle, accusative, singular, feminine
V.PAPASM	verb, present, active, participle, accusative, singular, masculine
V.PAPASN	verb, present, active, participle, accusative, singular, neuter
V.PAPDPF	verb, present, active, participle, dative, plural, feminine
V.PAPDPM	verb, present, active, participle, dative, plural, masculine
V.PAPDPN	verb, present, active, participle, dative, plural, neuter
V.PAPDSF	verb, present, active, participle, dative, singular, feminine
V.PAPDSM	verb, present, active, participle, dative, singular, masculine
V.PAPDSN	verb, present, active, participle, dative, singular, neuter
V.PAPGPF	verb, present, active, participle, genitive, plural, feminine
V.PAPGPM	verb, present, active, participle, genitive, plural, masculine
V.PAPGPN	verb, present, active, participle, genitive, plural, neuter
V.PAPGSF	verb, present, active, participle, genitive, singular, feminine
V.PAPGSM	verb, present, active, participle, genitive, singular, masculine
V.PAPGSN	verb, present, active, participle, genitive, singular, neuter
V.PAPNPF	verb, present, active, participle, nominative, plural, feminine
V.PAPNPM	verb, present, active, participle, nominative, plural, masculine
V.PAPNPN	verb, present, active, participle, nominative, plural, neuter
V.PAPNSF	verb, present, active, participle, nominative, singular, feminine
V.PAPNSM	verb, present, active, participle, nominative, singular, masculine
V.PAPNSN	verb, present, active, participle, nominative, singular, neuter
V.PAPVPM	verb, present, active, participle, vocative, plural, masculine
V.PMN	verb, present, middle, infinitive
V.PMPAPF	verb, present, middle, participle, accusative, plural, feminine
V.PMPAPM	verb, present, middle, participle, accusative, plural, masculine
V.PMPAPN	verb, present, middle, participle, accusative, plural, neuter
V.PMPASF	verb, present, middle, participle, accusative, singular, feminine
V.PMPASM	verb, present, middle, participle, accusative, singular, masculine
V.PMPASN	verb, present, middle, participle, accusative, singular, neuter
V.PMPDPF	verb, present, middle, participle, dative, plural, feminine
V.PMPDPM	verb, present, middle, participle, dative, plural, masculine
V.PMPDPN	verb, present, middle, participle, dative, plural, neuter
V.PMPDSF	verb, present, middle, participle, dative, singular, feminine
V.PMPDSM	verb, present, middle, participle, dative, singular, masculine
V.PMPDSN	verb, present, middle, participle, dative, singular, neuter
V.PMPGPF	verb, present, middle, participle, genitive, plural, feminine
V.PMPGPM	verb, present, middle, participle, genitive, plural, masculine
V.PMPGPN	verb, present, middle, participle, genitive, plural, neuter
V.PMPGSF	verb, present, middle, participle, genitive, singular, feminine
V.PMPGSM	verb, present, middle, participle, genitive, singular, masculine
V.PMPGSN	verb, present, middle, participle, genitive, singular, neuter
V.PMPNPF	verb, present, middle, participle, nominative, plural, feminine
V.PMPNPM	verb, present, middle, participle, nominative, plural, masculine
