G1	alpha
G291	free from concern
G292	unchangeable
G293	not moveable
G294	without regret
G295	unrepentant
G296	beyond limits
G297	amen
G298	without a mother
G299	pure
G300	Amminadab
G301	sand
G302	sand
G303	lamb
G304	repayment
G305	misshapen
G306	vine
G307	one who takes care of a vineyard
G308	vineyard
G309	Ampliatus
G310	to defend
G311	to cast a fishnet (a round net with small weights along its edge)
G312	casting net
G313	to clothe
G314	to dress
G315	Amphipolis
G316	street
G317	both
G318	blameless
G319	spice
G320	unblemished
G321	Amon
G322	Amos
G323	not easily translated: indicates potential or condition
G324	each
G325	step
G326	to go up
G327	to adjourn a proceeding (a legal term)
G328	to pull up
G329	to look up
G330	recovery of sight
G331	to cry out
G332	delay
G333	upper room
G334	to tell
G335	to give new birth
G336	to read
G337	to compel
G338	necessary
G339	a must
G340	necessity
G341	to tell
G342	reading
G343	to lead up
G344	to show
G345	public appearance
G346	to receive
G347	to deliver
G348	to become alive again
G349	to look for
G350	to gird (the loins)
G351	to fan a flame
G352	to renew
G353	curse
G354	to bind with an oath
G355	to look carefully at
G357	boldness
G358	death
G359	to kill
G360	innocent
G361	to sit up (from a reclining or lying position)
G362	to bring back
G363	to renew
G364	renewal
G365	to unveil
G366	to return
G367	to recline for a meal
G368	to bring together under one head
G369	to cause to lie down
G370	to hinder
G371	to cry out
G372	to cry out
G373	to examine
G374	investigation
G375	to roll away
G376	to straighten up
G377	to take up
G378	taking up
G379	to consume
G380	to jump up
G381	proportion
G382	to consider
G383	not salty
G384	to destroy
G385	departure (death)
G386	to depart (die)
G387	without sin
G388	to wait for
G389	to remember
G390	reminder
G391	to be made new
G392	to come to one's senses
G393	Ananias
G394	undeniable
G396	not competent
G398	rest
G399	to rest
G400	to persuade
G401	crippled
G402	to send
G403	jump up
G404	recline
G405	to fulfill
G406	without excuse
G407	to demand
G408	to unroll (a scroll)
G409	to set on fire
G410	countless
G411	to stir up
G412	to trouble
G413	to pull up
G414	resurrection
G415	to cause trouble
G416	to crucify again
G417	to sigh deeply
G418	to conduct oneself
G419	way of life
G420	to save
G421	to draw up (an account)
G422	to rise
G423	to set before
G424	east
G425	eastern
G426	to overturn
G427	to bring up
G428	to appear
G429	to lead up
G430	to exclaim
G431	flood
G432	to withdraw
G433	refreshment
G434	to refresh
G435	slave trader
G436	Andrew
G437	to act courageously
G438	Andronicus
G439	murderer
G440	blamelessness
G441	blameless
G442	indescribable
G443	inexpressible
G444	not exhaustible
G445	bearable
G446	ruthless
G447	merciless
G448	to be moved by the wind
G449	wind
G450	impossible
G451	unsearchable
G452	not resentful
G453	unsearchable
G454	unashamed
G455	above reproach
G456	to go up
G457	rest
G458	to question
G459	without
G460	unsuitable
G461	to find
G462	to put up with
G463	cousin
G464	dill
G465	to be fitting
G466	brutal
G467	man
G468	to resist
G469	to give thanks
G470	flower
G471	charcoal fire
G472	coal
G473	one who wins favor
G474	human
G475	murderer
G476	human being
G477	to be proconsul
G478	proconsul
G479	loosen
G480	merciless
G481	unwashed
G482	to get up
G483	Anna
G484	Annas
G485	foolish
G486	folly
G487	to open
G488	to rebuild
G489	(the act of) opening
G490	wickedness
G491	without law
G493	useless
G494	to restore
G495	unholy
G496	tolerance
G497	to struggle against
G498	something given in exchange
G499	to fill up
G500	to repay
G501	repayment
G502	reward
G503	to talk back
G504	to be devoted
G505	in exchange for
G506	to discuss
G507	to oppose
G508	enemy
G509	opposition
G510	to resist
G511	to invite in reciprocation
G512	to be an opponent
G513	opposite of
G514	to help
G515	to speak against
G516	help
G517	argument
G518	to retaliate
G519	ransom
G520	to measure in return
G521	an exchange
G522	Antioch
G523	from Antioch
G524	to pass by on the opposite side
G525	Antipas
G526	Antipatris
G527	across from
G528	to resist
G529	to wage war against
G530	to oppose
G531	copy
G532	antichrist
G533	to draw (water)
G534	container to draw water with
G535	to head into
G536	arid
G537	sincere
G538	rebellious
G539	above
G540	from above
G541	interior
G542	higher
G543	unprofitable
G544	ax
G545	worthy
G546	to consider worthy
G548	invisible
G550	to tell
G551	to hang (oneself)
G552	to lead away
G553	stupid
G554	to take away
G555	to demand back
G556	to lose all sensitivity
G557	(act.) to set free
G558	to be excluded
G559	tender (referring to sprouts)
G560	to meet
G561	(the act of) meeting
G562	once
G563	permanent
G564	unprepared
G565	to disown
G566	exactly
G568	completion
G569	firstfruits
G570	all
G571	to say farewell
G572	to deceive
G573	deception
G574	fatherless
G575	radiance
G576	to cast off like foam
G577	disobedience
G578	to disobey
G579	disobedient
G580	to threaten
G581	threat
G582	to be absent
G584	to renounce
G585	incapable of being tempted
G586	not acquainted with
G587	wait eagerly for
G588	to take off
G589	removal
G590	to eject from (court)
G591	disrepute
G592	freedman
G593	Apelles
G594	to expect nothing in return
G595	opposite
G596	endless
G597	undivided
G598	uncircumcised (with a possible implication of being stubborn and obstinate)
G599	to go away
G600	to receive (in full)
G601	to disbelieve
G602	unbelief
G603	unbelieving
G604	good
G605	Formally <i>the quality of singleness
G606	good in the sense of healthy
G607	generously
G608	from
G609	to leave
G610	to throw away
G611	to look ahead
G612	rejected (as unclean)
G613	rejection
G614	to die
G615	census
G616	to take a census
G617	to display
G618	demonstration
G619	to tithe
G620	to give a tenth
G621	pleasing
G622	to welcome
G623	to go away on a journey
G624	going away on a journey
G625	give
G626	to divide
G627	to reject
G628	acceptance
G629	removal
G630	barn
G631	to store up treasure
G632	to press against
G633	to die (in a literal or fig. sense)
G634	to restore
G635	to (completely) restore
G636	to reveal
G637	revelation
G638	eager expectation
G639	to reconcile
G640	restoration
G641	to be stored up
G642	to behead
G643	to close
G644	to cut off
G645	sentence
G646	to answer
G647	answer
G648	to hide
G649	concealed
G650	to kill (either natural life or spiritual life)
G651	to kill
G652	to give birth to
G653	to roll away
G655	to receive
G656	enjoyment
G657	to leave behind
G658	lick
G659	leave behind
G660	to destroy (an inanimate object)
G661	Apollyon
G662	Apollonia
G663	Apollos
G664	to defend oneself
G665	defense
G666	to wash away
G667	redemption
G668	to release (forgive
G669	to wipe off (this refers to an action of protest)
G671	to treat with
G672	to wash off
G673	to send out
G674	to fall away
G675	to deceive
G676	to sail away from
G677	to wash off
G678	to choke
G679	to be puzzled
G680	perplexity
G681	to jump into
G682	to make an orphan of
G683	to pack up
G684	shadow
G685	to draw out
G686	turning away
G687	divorce
G688	deserter
G689	to make an opening in a roof
G690	to send
G691	to defraud
G692	apostleship
G693	apostle
G694	to besiege with questions
G695	to turn away from
G696	to hate
G697	put out of the synagogue
G698	to say good-by
G699	to bring to completion
G700	to put aside
G701	to shake off
G702	to pay back
G703	to bring forth boldly
G704	sternness
G705	harshly
G706	to have nothing to do with
G707	absence
G708	to carry away
G709	to escape (from)
G710	to say
G711	to unload
G712	using up
G713	to go away from
G714	to part company
G715	to faint (some translate <i>to die</i>)
G716	Appius
G717	unapproachable
G718	blameless
G719	impartially
G720	without falling
G721	to touch
G722	Apphia
G723	to reject
G724	destruction
G725	curse
G728	Arabia
G729	Arabs
G730	Ram
G731	seamless
G732	Arab
G733	to be idle
G734	idle
G735	(made of) silver
G736	silver (always referring to money)
G737	silversmith
G738	silver
G739	(made of) silver
G740	meeting of the Areopagus
G741	member of the Areopagus
G742	pleasing
G743	to please
G744	pleasing
G745	Aretas
G746	(moral) goodness
G748	lamb
G749	to count
G750	number
G751	Arimathea
G752	Aristarchus
G753	to eat (breakfast)
G754	left side
G755	Aristobulus
G756	meal
G757	enough
G758	(mid./pass.) to be content
G759	bear
G760	bear
G761	chariot
G762	Armageddon
G764	to promise for marriage
G765	joint (where bones connect)
G766	to deny
G767	Arni
G768	lamb
G769	to plow
G770	plow
G771	greediness
G772	something to hold onto
G773	to catch
G774	swindling
G775	deposit which guarantees
G776	male
G777	inexpressible
G779	sick
G780	one engaging in homosexual acts (likely referring to the active male partner)
G781	male
G782	Artemas
G783	Artemis
G784	foresail
G785	now
G786	newborn
G787	thorough
G788	(loaf of) bread
G789	to make salty
G790	Arphaxad
G791	archangel
G792	ancient
G793	Archelaus
G794	beginning
G795	author
G796	of the high priest
G797	chief priest
G798	head of a rebellion
G799	chief shepherd
G800	Archippus
G801	leader of the synagogue
G802	expert builder
G803	chief tax collector
G804	master of the banquet
G806	(act.) to rule
G807	ruler
G808	spices
G809	Asa
G810	unshakable
G811	Asaph
G812	unquenchable
G813	ungodliness
G814	to do ungodly acts
G815	ungodly
G816	debauchery
G817	ordinary
G818	Asher
G819	weakness
G820	to be weak
G821	failing
G822	weak
G823	Asia
G824	one from the Roman province of Asia
G825	official of the province of Asia
G826	going without food
G827	going without food
G828	to strive
G829	wineskin
G830	warmly
G831	unwise
G832	to give greetings (hello or good-bye)
G833	greeting
G834	without spot
G835	viper
G836	unforgiving
G837	assarion (coin worth one-sixteenth of a day's wage)
G838	Assaron
G839	nearer
G840	Assos
G841	to be homeless
G842	not ordinary
G843	star
G844	unstable
G845	without love
G846	to wander away
G847	lightning
G848	to flash
G849	star
G850	Asyncritus
G851	disagreeable
G852	senseless
G853	faithless
G854	security
G855	safe
G856	to make secure
G857	carefully
G858	to act improperly
G859	indecent act
G860	unpresentable
G861	debauchery
G862	wildly
G863	to be idle
G864	idle
G866	childless
G867	to look intently
G868	without
G869	to dishonor
G870	to treat shamefully
G871	dishonor
G872	without honor
G873	to disgrace
G874	mist
G875	in a flash
G876	wrong
G877	Attalia
G878	to see
G879	daylight
G880	Augustus
G881	overbearing
G882	on one's own initiative
G883	to have authority over
G884	to play the flute
G885	palace
G886	flute player
G887	to spend the night
G888	flute
G889	to cause to grow
G890	growth
G891	to cause to grow
G892	tomorrow
G893	hard
G894	contentment
G895	content
G896	self-condemned
G897	by itself
G898	eyewitness
G899	he
G900	in the act
G901	with one's own hand
G902	to boast
G903	dark
G904	to take away from
G905	hidden
G906	to destroy
G907	disappearance
G908	disappearing
G909	latrine
G910	harsh treatment
G911	sincerity
G912	forgiveness
G913	ligament
G914	imperishableness
G915	imperishable
G916	willingness
G917	integrity
G918	to forgive
G919	to reach
G920	not loving good
G921	not loving money
G922	leaving
G923	to leave
G924	suddenly
G925	fearlessly
G926	(pass.) to be like
G927	to fix one's eyes
G928	to separate
G929	opportunity
G930	to foam at the mouth
G931	foam
G932	foolishness
G933	foolish
G934	to fall asleep
G935	withhold
G936	silent
G937	Ahaz
G938	Achaia
G939	Achaicus
G940	ungrateful
G941	Ahaz
G942	not made by human hands
G943	Akim
G944	mistiness
G945	worthless
G946	(pass.) to become worthless
G947	useless
G948	until
G949	chaff
G950	not a liar
G951	wormwood
G952	(m.) Wormwood
G953	lifeless
G954	letter of the Greek alphabet
G955	Baal
G956	Babylon
G957	standing
G958	depth
G959	to go down deep
G960	deep
G961	(palm) branch
G962	Balaam
G963	Balak
G964	purse
G965	to throw
G966	to baptize
G967	baptism
G968	baptism
G969	Baptist
G970	to dip (in)
G971	Not in NIV. son
G972	Barabbas
G973	Barak
G974	Berekiah
G975	non-Greek
G976	(pass.) to be burdened
G977	with difficulty
G978	Bartholomew
G979	Bar-Jesus
G980	son of Jonah
G981	son of Jonah
G982	Barnabas
G983	burden
G984	Barsabbas
G985	Bartimaeus
G987	burdensome
G988	very expensive
G989	to torture
G990	torment
G991	torturer
G992	torment
G993	kingdom
G994	royal
G995	king
G996	to reign as a king
G997	royal
G998	petty king
G999	queen
G1000	foot
G1001	to bewitch
G1002	to carry
G1003	bush
G1005	frog
G1006	to babble
G1007	abomination
G1008	detestable
G1009	(mid.) to abhor
G1010	firm
G1011	to confirm
G1012	confirmation
G1013	godless
G1014	to desecrate
G1015	Beelzebub
G1016	Belial
G1017	needle
G1018	arrow
G1019	having a detailed knowledge
G1021	Benjamin
G1022	Bernice
G1023	Berea
G1024	Berean
G1027	Beor
G1028	Bethabara
G1029	Bethany
G1031	Bethesda
G1032	Bethzatha
G1033	Bethlehem
G1034	Bethsaida
G1036	Bethphage
G1037	judicial court
G1038	Bereus
G1039	beryl
G1040	force
G1041	(mid.) to force one's way
G1042	violent
G1043	forceful one
G1044	little scroll
G1046	scroll
G1047	book
G1048	to eat
G1049	Bithynia
G1050	(everyday) life
G1051	to live
G1052	the way one lives
G1053	(lesser things) of this life
G1054	harmful
G1055	to hurt
G1056	to sprout
G1058	Blastus
G1059	to blaspheme
G1060	blasphemy
G1061	blasphemous
G1062	act of seeing
G1063	to see
G1064	must be put
G1065	Boanerges
G1066	to call
G1067	Boaz
G1068	cry
G1069	help
G1070	to help
G1071	helpful (one)
G1072	pit
G1073	pit
G1074	throwing
G1075	to take a sounding (a nautical technical term)
G1076	missile
G1077	Boaz
G1078	Boaz
G1079	mud
G1080	the north
G1081	to feed
G1082	Bosor
G1083	crop (from any kind of plant or vegetation)
G1084	grape cluster
G1085	member of a council (an advisory or legislative body)
G1086	to make plans
G1087	plan
G1088	plan
G1089	to wish
G1090	hill
G1091	ox
G1092	prize (from a contest or foot race)
G1093	to rule
G1094	to delay
G1095	to sail slowly
G1096	slow
G1097	slowness
G1098	arm
G1099	little
G1100	baby
G1101	to rain down (water or sulfur)
G1103	thunder
G1104	rain
G1105	restriction
G1106	gnashing
G1107	to gnash
G1108	to flow
G1109	food
G1110	eatable
G1111	consumable
G1112	(act.) to plunge
G1113	open sea
G1114	tanner
G1115	made of fine linen
G1116	fine linen
G1117	altar
G1118	letter of the Greek alphabet
G1119	Gabbatha
G1120	Gabriel
G1121	gangrene
G1122	Gad
G1123	Gadarene
G1124	Gaza
G1126	treasury
G1127	Gaius
G1128	milk
G1129	Galatian
G1130	Galatia
G1131	Galatian
G1132	calm
G1133	Galilee
G1134	Galilean
G1135	Gaul
G1136	Gallio
G1137	Gamaliel
G1138	to marry
G1139	to give in marriage
G1140	(pass.) to be given in marriage
G1141	wedding banquet (a festive time in the community)
G1142	shows inference or continuation: for
G1143	belly
G1145	emphatic particle: indeed
G1146	Gideon
G1147	Gehenna
G1149	Gethsemane
G1150	neighbor
G1151	to laugh
G1152	laughter
G1153	to fill
G1154	to be full
G1155	generation
G1156	to trace genealogical descent
G1157	genealogy
G1159	pertaining to birth
G1160	birthday (a day that was celebrated)
G1161	birth
G1162	birth
G1163	fruit
G1164	to become the father of
G1165	offspring
G1166	Gennesaret
G1167	birth
G1168	pertaining to birth
G1169	family
G1170	Gerasene
G1171	Gergesene
G1172	assembly of the elders
G1173	old person
G1174	to taste
G1175	to farm
G1176	(farmer's) field
G1177	farmer
G1179	old age
G1180	to grow old
G1181	to be
G1182	to know
G1183	(sweet) wine
G1184	sweet
G1185	tongue
G1186	container for money
G1187	bleacher
G1188	true
G1190	darkness
G1191	purpose
G1192	to make known
G1193	acquainted with
G1194	knowledge
G1195	one well acquainted with
G1196	known
G1197	to grumble
G1198	complaint
G1199	grumbler
G1200	imposter
G1201	Golgotha
G1202	Gomorrah
G1203	cargo
G1204	(pl.) parents
G1205	knee
G1206	to kneel (before in submission or worship)
G1207	letter (of the alphabet)
G1208	teacher or expert in the law
G1209	written
G1210	(s.) a passage of Scripture
G1211	to write
G1212	old wives' tale
G1213	to keep watch
G1214	to train
G1215	training
G1216	to be poorly dressed
G1217	to be in ragged clothing
G1218	naked
G1219	nakedness
G1220	weak-willed woman
G1221	feminine
G1222	woman
G1223	Gog
G1224	corner
G1226	David
G1227	to be demon-possessed
G1228	demon
G1229	of the devil
G1230	demon
G1231	to bite
G1232	teardrop
G1233	to weep
G1234	(finger) ring
G1235	finger
G1236	Dalmanutha
G1237	Dalmatia
G1238	to tame
G1239	heifer
G1240	Damaris
G1241	Damascene
G1242	Damascus
G1243	Dan
G1244	to lend
G1245	debt
G1246	moneylender
G1247	to lend
G1248	Daniel
G1250	moneylender
G1251	to spend
G1252	cost
G1253	David
G1254	but
G1255	prayer
G1256	it is a must
G1257	example
G1258	to expose to public disgrace
G1259	to show
G1260	to show
G1261	timidity
G1262	to be afraid
G1264	afraid
G1265	a certain one
G1267	terribly
G1268	to eat supper
G1270	banquet
G1272	religion
G1273	(very) religious
G1274	ten
G1275	twelve
G1277	eighteen
G1278	fifteen
G1279	Decapolis
G1280	fourteen
G1281	tenth in a series of things or events
G1282	to collect a tenth
G1283	acceptable
G1284	to entice
G1285	tree
G1287	spearman
G1288	the right hand or side in contrast to the left
G1289	to pray
G1290	awe
G1291	from Derbe
G1292	Derbe
G1293	skin
G1294	made of leather
G1295	skin
G1296	to beat up
G1297	to tie up
G1298	to tie
G1299	bundle
G1300	prisoner
G1301	chain
G1302	jailer
G1303	prison
G1304	prisoner
G1305	master
G1306	come
G1307	come
G1308	on the following day
G1309	for the second time
G1310	lit: <i>second-first</i>
G1311	second
G1312	to welcome
G1313	to tie
G1315	very clearly
G1316	clear
G1317	to make clear
G1318	Demas
G1319	to deliver a public address
G1320	Demetrius
G1321	builder
G1322	people
G1323	public
G1324	denarius [about a day's wage]
G1325	whatever
G1327	surely
G1328	(gen.) through
G1329	to pass through
G1330	(pass.) to have accusations brought upon someone
G1331	to confidently affirm
G1332	to see clearly
G1333	devilish
G1334	to proclaim (throughout)
G1335	to pass
G1336	to determine
G1337	to give an exact report
G1338	decision
G1339	to mutter
G1340	to become fully awake
G1341	to live
G1342	to receive (in turn)
G1343	crown
G1344	to distribute
G1345	successor
G1346	to wrap around
G1347	covenant
G1348	difference
G1349	to divide
G1350	to clear out
G1351	to clear out
G1352	to refute (thoroughly)
G1353	to order
G1354	to serve
G1355	ministry
G1356	servant
G1357	two hundred
G1358	to give a (legal) hearing
G1359	to make a distinction
G1360	distinguishing
G1361	to deter
G1362	to talk about
G1363	to reason
G1364	to stop
G1365	language
G1366	to stop
G1367	to become reconciled
G1368	to think
G1369	thought
G1370	to disperse
G1371	to (solemnly) warn or charge
G1372	to argue vigorously
G1373	to remain (constantly)
G1374	to divide
G1375	division
G1376	(pass.) to be spread
G1377	to make signs
G1378	thought
G1379	mind
G1380	to open
G1381	to spend the (entire) night
G1382	to continue
G1383	always
G1384	constant friction
G1385	to cross over
G1386	to sail across
G1387	to be greatly disturbed
G1388	to go through
G1389	to be perplexed
G1390	to gain
G1391	(pass.) to be furious
G1392	to tear
G1393	to tear
G1395	to rob
G1396	to tear (clothes)
G1397	to tell
G1398	to extort money
G1399	to scatter
G1400	(pass.) to be torn to pieces
G1401	(pass.) to be scattered
G1402	scattering
G1403	(mid.) to give orders
G1404	later time
G1405	difference
G1406	(act.) to subvert
G1407	save
G1408	putting into effect
G1409	edict
G1410	(pass.) to be greatly troubled
G1411	(act./mid.) to command
G1412	to continue
G1413	to keep
G1414	why?
G1416	to make a covenant or a will
G1417	to stay
G1418	food
G1419	to dawn
G1420	transparent
G1421	transparent
G1422	(tr.) to carry
G1423	to escape
G1424	to spread news about
G1425	to destroy
G1426	decay
G1427	different
G1428	to guard carefully
G1429	(mid.) to kill
G1430	to make fun of
G1431	(pass.) to be separated
G1432	second marriage
G1433	pertaining to a second marriage
G1434	able to teach
G1435	taught
G1436	teaching
G1437	teacher
G1438	to teach
G1439	(the activity or content of ) teaching
G1440	two-drachma (temple tax)
G1441	Didymus
G1442	I give
G1443	to give
G1444	to get up
G1445	to think
G1446	to come out
G1447	(street) corner
G1448	explanation
G1449	interpreter
G1450	to interpret
G1451	to go through
G1452	to find out
G1453	two years old
G1454	two years
G1455	to tell
G1456	account
G1457	forever
G1458	sandbar
G1459	to penetrate
G1460	to leave
G1462	to assert
G1464	righteous judgment
G1465	right
G1466	righteousness
G1467	to justify
G1468	regulation
G1470	justification
G1471	judge
G1472	punishment
G1473	(fish) net
G1474	insincere
G1475	therefore
G1476	to go through
G1477	Dionysius
G1478	therefore
G1479	(the image) fallen from heaven (given by the pagan god Zeus)
G1480	reform
G1481	a new order
G1482	to break in
G1483	the twin gods Castor and Pollux
G1484	therefore
G1485	Diotrephes
G1486	double
G1487	double
G1488	to double
G1489	twice
G1490	twenty thousand
G1491	to doubt
G1492	double-edged
G1493	two thousand
G1494	to strain out
G1495	to turn (one against another)
G1496	division
G1497	to cut to pieces
G1498	to be thirsty
G1499	thirst
G1500	double-minded
G1501	persecution
G1502	persecutor
G1503	to pursue
G1504	decree
G1505	(pass.) to submit to a rule
G1506	to think
G1507	to test
G1508	testing
G1509	character
G1510	testing
G1511	approved by testing
G1512	plank
G1513	deceitful
G1514	to practice deceit
G1515	deceit
G1516	to distort
G1517	gift
G1518	glory
G1519	to glorify
G1520	Dorcas
G1521	gift
G1522	giver
G1524	to enslave
G1525	slavery
G1526	to serve (as a slave)
G1527	female servant
G1528	servant
G1530	to enslave
G1531	banquet
G1532	dragon
G1533	to catch
G1534	silver coin
G1535	sickle
G1536	race
G1537	Drusilla
G1538	to be able
G1539	power
G1540	(pass.) to be strengthened
G1541	ruler
G1542	to be able
G1543	possible (based on power)
G1544	to set (of the sun)
G1545	two
G1546	hard to carry
G1548	dysentery
G1549	hard to explain
G1550	west
G1551	hard
G1553	west (setting of the sun)
G1554	hard to understand
G1555	(pass.) to be slandered
G1556	bad report
G1557	twelve
G1558	twelfth
G1559	twelve tribes
G1561	gift
G1562	freely
G1563	to give
G1564	gift
G1565	gift
G1566	the bringing of a gift
G1567	letter of the Greek alphabet
G1568	ha!
G1569	if (usually used in general conditions or conditions that imply some doubt)
G1570	if
G1571	himself
G1572	to let
G1573	seventy
G1574	seventy times
G1575	seventh
G1576	Eber
G1577	Hebrew
G1578	a Hebrew
G1579	Aramaic
G1580	in Aramaic
G1581	come near
G1582	to write in
G1583	(n.) guarantee
G1584	near
G1585	nearer
G1586	to arise
G1587	resurrection
G1588	(n.) spy
G1589	Feast of Dedication (Hanukkah)
G1590	(pass.) to be put into effect
G1591	to give up
G1592	to bring charges
G1593	to forsake
G1594	to live among
G1595	to boast
G1596	to graft into
G1597	to lock up
G1598	charge
G1599	to clothe (oneself) with
G1600	hinderance
G1601	to hinder
G1602	self-control
G1603	to have control (of oneself)
G1604	disciplined
G1605	to classify
G1606	to mix
G1607	pregnant
G1608	to put on
G1609	I
G1610	to dash to the ground
G1611	ground
G1612	firm
G1613	foundation
G1614	Hezekiah
G1615	self-imposed religion
G1616	(pass.) to be accustomed
G1617	governor
G1618	pagan
G1620	Gentile
G1621	custom
G1623	if
G1624	appearance (usually implies a condition of reality)
G1625	to see
G1626	form
G1627	temple of an idol
G1628	(food) sacrificed to idols
G1629	idolater
G1630	idolatry
G1631	idol
G1632	in vain
G1633	twenty
G1634	to give in
G1635	image
G1636	sincerity
G1637	pure
G1638	surely
G1639	to be
G1641	because of
G1642	if indeed
G1643	if perhaps
G1644	to live in peace
G1645	peace
G1646	peace-loving
G1647	to make peace
G1648	peacemaker
G1650	to
G1651	one
G1652	to bring in
G1653	(pass.) to be heard
G1654	to receive
G1655	to go in
G1656	to go in
G1657	to invite into
G1658	entering
G1659	to rush in
G1660	to go in
G1661	to run in
G1662	to bring in
G1663	then
G1664	if
G1665	to have a custom
G1666	of
G1667	each
G1668	always
G1669	hundred
G1670	a hundred years old
G1671	a hundred times
G1672	centurion
G1673	centurion
G1674	to leave
G1675	to take out
G1676	way out
G1677	to sprout up
G1678	throwing out (a ship's cargo)
G1679	to marry
G1681	(n.) grandchild
G1682	(pass.) to be completely expended
G1683	to wait for
G1684	clear
